languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.1,Gen 1:1,0,"In the beginning, God created the heavens and the earth."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.2,Gen 1:2,1,"The earth was without form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.3,Gen 1:3,2,"And God said, ""Let there be light,"" and there was light."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.4,Gen 1:4,3,And God saw that the light was good. And God separated the light from the darkness.
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.5,Gen 1:5,4,"God called the light Day, and the darkness he called Night. And there was evening and there was morning, the first day."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.6,Gen 1:6,5,"And God said, ""Let there be an expanse in the midst of the waters, and let it separate the waters from the waters."""
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.7,Gen 1:7,6,And God made the expanse and separated the waters that were under the expanse from the waters that were above the expanse. And it was so.
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.8,Gen 1:8,7,"And God called the expanse Heaven. And there was evening and there was morning, the second day."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.9,Gen 1:9,8,"And God said, ""Let the waters under the heavens be gathered together into one place, and let the dry land appear."" And it was so."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.10,Gen 1:10,9,"God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.11,Gen 1:11,10,"And God said, ""Let the earth sprout vegetation, plants yielding seed, and fruit trees bearing fruit in which is their seed, each according to its kind, on the earth."" And it was so."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.12,Gen 1:12,11,"The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it was good."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.13,Gen 1:13,12,"And there was evening and there was morning, the third day."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.14,Gen 1:14,13,"And God said, ""Let there be lights in the expanse of the heavens to separate the day from the night. And let them be for signs and for seasons, and for days and years,"
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.15,Gen 1:15,14,"and let them be lights in the expanse of the heavens to give light upon the earth."" And it was so."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.16,Gen 1:16,15,And God made the two great lights- the greater light to rule the day and the lesser light to rule the night- and the stars.
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.17,Gen 1:17,16,"And God set them in the expanse of the heavens to give light on the earth,"
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.18,Gen 1:18,17,"to rule over the day and over the night, and to separate the light from the darkness. And God saw that it was good."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.19,Gen 1:19,18,"And there was evening and there was morning, the fourth day."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.20,Gen 1:20,19,"And God said, ""Let the waters swarm with swarms of living creatures, and let birds fly above the earth across the expanse of the heavens."""
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.21,Gen 1:21,20,"So God created the great sea creatures and every living creature that moves, with which the waters swarm, according to their kinds, and every winged bird according to its kind. And God saw that it was good."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.22,Gen 1:22,21,"And God blessed them, saying, ""Be fruitful and multiply and fill the waters in the seas, and let birds multiply on the earth."""
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.23,Gen 1:23,22,"And there was evening and there was morning, the fifth day."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.24,Gen 1:24,23,"And God said, ""Let the earth bring forth living creatures according to their kinds- livestock and creeping things and beasts of the earth according to their kinds."" And it was so."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.25,Gen 1:25,24,"And God made the beasts of the earth according to their kinds and the livestock according to their kinds, and everything that creeps on the ground according to its kind. And God saw that it was good."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.26,Gen 1:26,25,"Then God said, ""Let us make man in our image, after our likeness. And let them have dominion over the fish of the sea and over the birds of the heavens and over the livestock and over all the earth and over every creeping thing that creeps on the earth."""
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.27,Gen 1:27,26,"So God created man in his own image, in the image of God he created him; male and female he created them."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.28,Gen 1:28,27,"And God blessed them. And God said to them, ""Be fruitful and multiply and fill the earth and subdue it and have dominion over the fish of the sea and over the birds of the heavens and over every living thing that moves on the earth."""
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.29,Gen 1:29,28,"And God said, ""Behold, I have given you every plant yielding seed that is on the face of all the earth, and every tree with seed in its fruit. You shall have them for food."
en,ESV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.30,Gen 1:30,29,"And to every beast of the earth and to every bird of the heavens and to everything that creeps on the earth, everything that has the breath of life, I have given every green plant for food."" And it was so."
