languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.1,Exod 1:1,0,"These are the names of the sons of Israel who came to Egypt with Jacob, each with his household:"
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.2,Exod 1:2,1,"Reuben, Simeon, Levi, and Judah,"
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.3,Exod 1:3,2,"Issachar, Zebulun, and Benjamin,"
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.4,Exod 1:4,3,"Dan and Naphtali, Gad and Asher."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.5,Exod 1:5,4,All the descendants of Jacob were seventy persons; Joseph was already in Egypt.
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.6,Exod 1:6,5,"Then Joseph died, and all his brothers and all that generation."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.7,Exod 1:7,6,"But the people of Israel were fruitful and increased greatly; they multiplied and grew exceedingly strong, so that the land was filled with them."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.8,Exod 1:8,7,"Now there arose a new king over Egypt, who did not know Joseph."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.9,Exod 1:9,8,"And he said to his people, ""Behold, the people of Israel are too many and too mighty for us."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.10,Exod 1:10,9,"Come, let us deal shrewdly with them, lest they multiply, and, if war breaks out, they join our enemies and fight against us and escape from the land."""
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.11,Exod 1:11,10,"Therefore they set taskmasters over them to afflict them with heavy burdens. They built for Pharaoh store cities, Pithom and Raamses."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.12,Exod 1:12,11,"But the more they were oppressed, the more they multiplied and the more they spread abroad. And the Egyptians were in dread of the people of Israel."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.13,Exod 1:13,12,So they ruthlessly made the people of Israel work as slaves
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.14,Exod 1:14,13,"and made their lives bitter with hard service, in mortar and brick, and in all kinds of work in the field. In all their work they ruthlessly made them work as slaves."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.15,Exod 1:15,14,"Then the king of Egypt said to the Hebrew midwives, one of whom was named Shiphrah and the other Puah,"
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.16,Exod 1:16,15,"""When you serve as midwife to the Hebrew women and see them on the birthstool, if it is a son, you shall kill him, but if it is a daughter, she shall live."""
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.17,Exod 1:17,16,"But the midwives feared God and did not do as the king of Egypt commanded them, but let the male children live."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.18,Exod 1:18,17,"So the king of Egypt called the midwives and said to them, ""Why have you done this, and let the male children live?"""
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.19,Exod 1:19,18,"The midwives said to Pharaoh, ""Because the Hebrew women are not like the Egyptian women, for they are vigorous and give birth before the midwife comes to them."""
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.20,Exod 1:20,19,So God dealt well with the midwives. And the people multiplied and grew very strong.
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.21,Exod 1:21,20,"And because the midwives feared God, he gave them families."
en,ESV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.22,Exod 1:22,21,"Then Pharaoh commanded all his people, ""Every son that is born to the Hebrews you shall cast into the Nile, but you shall let every daughter live."""
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.1,Exod 2:1,0,Now a man from the house of Levi went and took as his wife a Levite woman.
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.2,Exod 2:2,1,"The woman conceived and bore a son, and when she saw that he was a fine child, she hid him three months."
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.3,Exod 2:3,2,"When she could hide him no longer, she took for him a basket made of bulrushes and daubed it with bitumen and pitch. She put the child in it and placed it among the reeds by the river bank."
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.4,Exod 2:4,3,And his sister stood at a distance to know what would be done to him.
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.5,Exod 2:5,4,"Now the daughter of Pharaoh came down to bathe at the river, while her young women walked beside the river. She saw the basket among the reeds and sent her servant woman, and she took it."
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.6,Exod 2:6,5,"When she opened it, she saw the child, and behold, the baby was crying. She took pity on him and said, ""This is one of the Hebrews' children."""
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.7,Exod 2:7,6,"Then his sister said to Pharaoh's daughter, ""Shall I go and call you a nurse from the Hebrew women to nurse the child for you?"""
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.8,Exod 2:8,7,"And Pharaoh's daughter said to her, ""Go."" So the girl went and called the child's mother."
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.9,Exod 2:9,8,"And Pharaoh's daughter said to her, ""Take this child away and nurse him for me, and I will give you your wages."" So the woman took the child and nursed him."
en,ESV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.10,Exod 2:10,9,"When the child grew up, she brought him to Pharaoh's daughter, and he became her son. She named him Moses, ""Because,"" she said, ""I drew him out of the water."""
