languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.1,Num 1:1,0,"The LORD spoke to Moses in the wilderness of Sinai, in the tent of meeting, on the first day of the second month, in the second year after they had come out of the land of Egypt, saying,"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.2,Num 1:2,1,"""Take a census of all the congregation of the people of Israel, by clans, by fathers' houses, according to the number of names, every male, head by head."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.3,Num 1:3,2,"From twenty years old and upward, all in Israel who are able to go to war, you and Aaron shall list them, company by company."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.4,Num 1:4,3,"And there shall be with you a man from each tribe, each man being the head of the house of his fathers."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.5,Num 1:5,4,"And these are the names of the men who shall assist you. From Reuben, Elizur the son of Shedeur;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.6,Num 1:6,5,"from Simeon, Shelumiel the son of Zurishaddai;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.7,Num 1:7,6,"from Judah, Nahshon the son of Amminadab;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.8,Num 1:8,7,"from Issachar, Nethanel the son of Zuar;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.9,Num 1:9,8,"from Zebulun, Eliab the son of Helon;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.10,Num 1:10,9,"from the sons of Joseph, from Ephraim, Elishama the son of Ammihud, and from Manasseh, Gamaliel the son of Pedahzur;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.11,Num 1:11,10,"from Benjamin, Abidan the son of Gideoni;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.12,Num 1:12,11,"from Dan, Ahiezer the son of Ammishaddai;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.13,Num 1:13,12,"from Asher, Pagiel the son of Ochran;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.14,Num 1:14,13,"from Gad, Eliasaph the son of Deuel;"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.15,Num 1:15,14,"from Naphtali, Ahira the son of Enan."""
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.16,Num 1:16,15,"These were the ones chosen from the congregation, the chiefs of their ancestral tribes, the heads of the clans of Israel."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.17,Num 1:17,16,"Moses and Aaron took these men who had been named,"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.18,Num 1:18,17,"and on the first day of the second month, they assembled the whole congregation together, who registered themselves by clans, by fathers' houses, according to the number of names from twenty years old and upward, head by head,"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.19,Num 1:19,18,as the LORD commanded Moses. So he listed them in the wilderness of Sinai.
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.20,Num 1:20,19,"The people of Reuben, Israel's firstborn, their generations, by their clans, by their fathers' houses, according to the number of names, head by head, every male from twenty years old and upward, all who were able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.21,Num 1:21,20,"those listed of the tribe of Reuben were 46,500."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.22,Num 1:22,21,"Of the people of Simeon, their generations, by their clans, by their fathers' houses, those of them who were listed, according to the number of names, head by head, every male from twenty years old and upward, all who were able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.23,Num 1:23,22,"those listed of the tribe of Simeon were 59,300."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.24,Num 1:24,23,"Of the people of Gad, their generations, by their clans, by their fathers' houses, according to the number of the names, from twenty years old and upward, all who were able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.25,Num 1:25,24,"those listed of the tribe of Gad were 45,650."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.26,Num 1:26,25,"Of the people of Judah, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.27,Num 1:27,26,"those listed of the tribe of Judah were 74,600."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.28,Num 1:28,27,"Of the people of Issachar, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.29,Num 1:29,28,"those listed of the tribe of Issachar were 54,400."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.30,Num 1:30,29,"Of the people of Zebulun, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.31,Num 1:31,30,"those listed of the tribe of Zebulun were 57,400."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.32,Num 1:32,31,"Of the people of Joseph, namely, of the people of Ephraim, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.33,Num 1:33,32,"those listed of the tribe of Ephraim were 40,500."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.34,Num 1:34,33,"Of the people of Manasseh, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.35,Num 1:35,34,"those listed of the tribe of Manasseh were 32,200."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.36,Num 1:36,35,"Of the people of Benjamin, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.37,Num 1:37,36,"those listed of the tribe of Benjamin were 35,400."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.38,Num 1:38,37,"Of the people of Dan, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.39,Num 1:39,38,"those listed of the tribe of Dan were 62,700."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.40,Num 1:40,39,"Of the people of Asher, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.41,Num 1:41,40,"those listed of the tribe of Asher were 41,500."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.42,Num 1:42,41,"Of the people of Naphtali, their generations, by their clans, by their fathers' houses, according to the number of names, from twenty years old and upward, every man able to go to war:"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.43,Num 1:43,42,"those listed of the tribe of Naphtali were 53,400."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.44,Num 1:44,43,"These are those who were listed, whom Moses and Aaron listed with the help of the chiefs of Israel, twelve men, each representing his fathers' house."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.45,Num 1:45,44,"So all those listed of the people of Israel, by their fathers' houses, from twenty years old and upward, every man able to go to war in Israel-"
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.46,Num 1:46,45,"all those listed were 603,550."
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.47,Num 1:47,46,But the Levites were not listed along with them by their ancestral tribe.
en,ESV,Num,Num,3,Num.1,Num 1,0,Num.1.48,Num 1:48,47,"For the LORD spoke to Moses, saying,"
