languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.1,Deut 1:1,0,"These are the words that Moses spoke to all Israel beyond the Jordan in the wilderness, in the Arabah opposite Suph, between Paran and Tophel, Laban, Hazeroth, and Dizahab."
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.2,Deut 1:2,1,It is eleven days' journey from Horeb by the way of Mount Seir to Kadesh-barnea.
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.3,Deut 1:3,2,"In the fortieth year, on the first day of the eleventh month, Moses spoke to the people of Israel according to all that the LORD had given him in commandment to them,"
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.4,Deut 1:4,3,"after he had defeated Sihon the king of the Amorites, who lived in Heshbon, and Og the king of Bashan, who lived in Ashtaroth and in Edrei."
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.5,Deut 1:5,4,"Beyond the Jordan, in the land of Moab, Moses undertook to explain this law, saying,"
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.6,Deut 1:6,5,"""The LORD our God said to us in Horeb, 'You have stayed long enough at this mountain."
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.7,Deut 1:7,6,"Turn and take your journey, and go to the hill country of the Amorites and to all their neighbors in the Arabah, in the hill country and in the lowland and in the Negeb and by the seacoast, the land of the Canaanites, and Lebanon, as far as the great river, the river Euphrates."
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.8,Deut 1:8,7,"See, I have set the land before you. Go in and take possession of the land that the LORD swore to your fathers, to Abraham, to Isaac, and to Jacob, to give to them and to their offspring after them.'"
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.9,Deut 1:9,8,"""At that time I said to you, 'I am not able to bear you by myself."
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.10,Deut 1:10,9,"The LORD your God has multiplied you, and behold, you are today as numerous as the stars of heaven."
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.11,Deut 1:11,10,"May the LORD, the God of your fathers, make you a thousand times as many as you are and bless you, as he has promised you!"
en,ESV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.12,Deut 1:12,11,How can I bear by myself the weight and burden of you and your strife?
