languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.1,2Sam 1:1,0,"After the death of Saul, when David had returned from striking down the Amalekites, David remained two days in Ziklag."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.2,2Sam 1:2,1,"And on the third day, behold, a man came from Saul's camp, with his clothes torn and dirt on his head. And when he came to David, he fell to the ground and paid homage."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.3,2Sam 1:3,2,"David said to him, ""Where do you come from?"" And he said to him, ""I have escaped from the camp of Israel."""
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.4,2Sam 1:4,3,"And David said to him, ""How did it go? Tell me."" And he answered, ""The people fled from the battle, and also many of the people have fallen and are dead, and Saul and his son Jonathan are also dead."""
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.5,2Sam 1:5,4,"Then David said to the young man who told him, ""How do you know that Saul and his son Jonathan are dead?"""
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.6,2Sam 1:6,5,"And the young man who told him said, ""By chance I happened to be on Mount Gilboa, and there was Saul leaning on his spear, and behold, the chariots and the horsemen were close upon him."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.7,2Sam 1:7,6,"And when he looked behind him, he saw me, and called to me. And I answered, 'Here I am.'"
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.8,2Sam 1:8,7,"And he said to me, 'Who are you?' I answered him, 'I am an Amalekite.'"
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.9,2Sam 1:9,8,"And he said to me 'Stand beside me and kill me, for anguish has seized me, and yet my life still lingers.'"
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.10,2Sam 1:10,9,"So I stood beside him and killed him, because I was sure that he could not live after he had fallen. And I took the crown that was on his head and the armlet that was on his arm, and I have brought them here to my lord."""
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.11,2Sam 1:11,10,"Then David took hold of his clothes and tore them, and so did all the men who were with him."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.12,2Sam 1:12,11,"And they mourned and wept and fasted until evening for Saul and for Jonathan his son and for the people of the LORD and for the house of Israel, because they had fallen by the sword."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.13,2Sam 1:13,12,"And David said to the young man who told him, ""Where do you come from?"" And he answered, ""I am the son of a sojourner, an Amalekite."""
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.14,2Sam 1:14,13,"David said to him, ""How is it you were not afraid to put out your hand to destroy the LORD's anointed?"""
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.15,2Sam 1:15,14,"Then David called one of the young men and said, ""Go, execute him."" And he struck him down so that he died."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.16,2Sam 1:16,15,"And David said to him, ""Your blood be on your head, for your own mouth has testified against you, saying, 'I have killed the LORD's anointed.'"""
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.17,2Sam 1:17,16,"And David lamented with this lamentation over Saul and Jonathan his son,"
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.18,2Sam 1:18,17,"and he said it should be taught to the people of Judah; behold, it is written in the Book of Jashar. He said:"
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.19,2Sam 1:19,18,"""Your glory, O Israel, is slain on your high places! How the mighty have fallen!"
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.20,2Sam 1:20,19,"Tell it not in Gath, publish it not in the streets of Ashkelon, lest the daughters of the Philistines rejoice, lest the daughters of the uncircumcised exult."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.21,2Sam 1:21,20,"""You mountains of Gilboa, let there be no dew or rain upon you, nor fields of offerings! For there the shield of the mighty was defiled, the shield of Saul, not anointed with oil."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.22,2Sam 1:22,21,"""From the blood of the slain, from the fat of the mighty, the bow of Jonathan turned not back, and the sword of Saul returned not empty."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.23,2Sam 1:23,22,"""Saul and Jonathan, beloved and lovely! In life and in death they were not divided; they were swifter than eagles; they were stronger than lions."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.24,2Sam 1:24,23,"""You daughters of Israel, weep over Saul, who clothed you luxuriously in scarlet, who put ornaments of gold on your apparel."
en,ESV,2Sam,2Sam,9,2Sam.1,2Sam 1,0,2Sam.1.25,2Sam 1:25,24,"""How the mighty have fallen in the midst of the battle! ""Jonathan lies slain on your high places."
