languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.1,2Kgs 1:1,0,"After the death of Ahab, Moab rebelled against Israel."
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.2,2Kgs 1:2,1,"Now Ahaziah fell through the lattice in his upper chamber in Samaria, and lay sick; so he sent messengers, telling them, ""Go, inquire of Baal-zebub, the god of Ekron, whether I shall recover from this sickness."""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.3,2Kgs 1:3,2,"But the angel of the LORD said to Elijah the Tishbite, ""Arise, go up to meet the messengers of the king of Samaria, and say to them, 'Is it because there is no God in Israel that you are going to inquire of Baal-zebub, the god of Ekron?"
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.4,2Kgs 1:4,3,"Now therefore thus says the LORD, You shall not come down from the bed to which you have gone up, but you shall surely die.'""So Elijah went."
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.5,2Kgs 1:5,4,"The messengers returned to the king, and he said to them, ""Why have you returned?"""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.6,2Kgs 1:6,5,"And they said to him, ""There came a man to meet us, and said to us, 'Go back to the king who sent you, and say to him, Thus says the LORD, Is it because there is no God in Israel that you are sending to inquire of Baal-zebub, the god of Ekron? Therefore you shall not come down from the bed to which you have gone up, but you shall surely die.'"""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.7,2Kgs 1:7,6,"He said to them, ""What kind of man was he who came to meet you and told you these things?"""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.8,2Kgs 1:8,7,"They answered him, ""He wore a garment of hair, with a belt of leather about his waist."" And he said, ""It is Elijah the Tishbite."""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.9,2Kgs 1:9,8,"Then the king sent to him a captain of fifty men with his fifty. He went up to Elijah, who was sitting on the top of a hill, and said to him, ""O man of God, the king says, 'Come down.'"""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.10,2Kgs 1:10,9,"But Elijah answered the captain of fifty, ""If I am a man of God, let fire come down from heaven and consume you and your fifty."" Then fire came down from heaven and consumed him and his fifty."
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.11,2Kgs 1:11,10,"Again the king sent to him another captain of fifty men with his fifty. And he answered and said to him, ""O man of God, this is the king's order, 'Come down quickly!'"""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.12,2Kgs 1:12,11,"But Elijah answered them, ""If I am a man of God, let fire come down from heaven and consume you and your fifty."" Then the fire of God came down from heaven and consumed him and his fifty."
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.13,2Kgs 1:13,12,"Again the king sent the captain of a third fifty with his fifty. And the third captain of fifty went up and came and fell on his knees before Elijah and entreated him, ""O man of God, please let my life, and the life of these fifty servants of yours, be precious in your sight."
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.14,2Kgs 1:14,13,"Behold, fire came down from heaven and consumed the two former captains of fifty men with their fifties, but now let my life be precious in your sight."""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.15,2Kgs 1:15,14,"Then the angel of the LORD said to Elijah, ""Go down with him; do not be afraid of him."" So he arose and went down with him to the king"
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.16,2Kgs 1:16,15,"and said to him, ""Thus says the LORD, 'Because you have sent messengers to inquire of Baal-zebub, the god of Ekron- is it because there is no God in Israel to inquire of his word?- therefore you shall not come down from the bed to which you have gone up, but you shall surely die.'"""
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.17,2Kgs 1:17,16,"So he died according to the word of the LORD that Elijah had spoken. Jehoram became king in his place in the second year of Jehoram the son of Jehoshaphat, king of Judah, because Ahaziah had no son."
en,ESV,2Kgs,2Kgs,11,2Kgs.1,2Kgs 1,0,2Kgs.1.18,2Kgs 1:18,17,"Now the rest of the acts of Ahaziah that he did, are they not written in the Book of the Chronicles of the Kings of Israel?"
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.1,2Kgs 2:1,0,"Now when the LORD was about to take Elijah up to heaven by a whirlwind, Elijah and Elisha were on their way from Gilgal."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.2,2Kgs 2:2,1,"And Elijah said to Elisha, ""Please stay here, for the LORD has sent me as far as Bethel."" But Elisha said, ""As the LORD lives, and as you yourself live, I will not leave you."" So they went down to Bethel."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.3,2Kgs 2:3,2,"And the sons of the prophets who were in Bethel came out to Elisha and said to him, ""Do you know that today the LORD will take away your master from over you?"" And he said, ""Yes, I know it; keep quiet."""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.4,2Kgs 2:4,3,"Elijah said to him, ""Elisha, please stay here, for the LORD has sent me to Jericho."" But he said, ""As the LORD lives, and as you yourself live, I will not leave you."" So they came to Jericho."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.5,2Kgs 2:5,4,"The sons of the prophets who were at Jericho drew near to Elisha and said to him, ""Do you know that today the LORD will take away your master from over you?"" And he answered, ""Yes, I know it; keep quiet."""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.6,2Kgs 2:6,5,"Then Elijah said to him, ""Please stay here, for the LORD has sent me to the Jordan."" But he said, ""As the LORD lives, and as you yourself live, I will not leave you."" So the two of them went on."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.7,2Kgs 2:7,6,"Fifty men of the sons of the prophets also went and stood at some distance from them, as they both were standing by the Jordan."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.8,2Kgs 2:8,7,"Then Elijah took his cloak and rolled it up and struck the water, and the water was parted to the one side and to the other, till the two of them could go over on dry ground."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.9,2Kgs 2:9,8,"When they had crossed, Elijah said to Elisha, ""Ask what I shall do for you, before I am taken from you."" And Elisha said, ""Please let there be a double portion of your spirit on me."""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.10,2Kgs 2:10,9,"And he said, ""You have asked a hard thing; yet, if you see me as I am being taken from you, it shall be so for you, but if you do not see me, it shall not be so."""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.11,2Kgs 2:11,10,"And as they still went on and talked, behold, chariots of fire and horses of fire separated the two of them. And Elijah went up by a whirlwind into heaven."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.12,2Kgs 2:12,11,"And Elisha saw it and he cried, ""My father, my father! The chariots of Israel and its horsemen!"" And he saw him no more. Then he took hold of his own clothes and tore them in two pieces."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.13,2Kgs 2:13,12,And he took up the cloak of Elijah that had fallen from him and went back and stood on the bank of the Jordan.
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.14,2Kgs 2:14,13,"Then he took the cloak of Elijah that had fallen from him and struck the water, saying, ""Where is the LORD, the God of Elijah?"" And when he had struck the water, the water was parted to the one side and to the other, and Elisha went over."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.15,2Kgs 2:15,14,"Now when the sons of the prophets who were at Jericho saw him opposite them, they said, ""The spirit of Elijah rests on Elisha."" And they came to meet him and bowed to the ground before him."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.16,2Kgs 2:16,15,"And they said to him, ""Behold now, there are with your servants fifty strong men. Please let them go and seek your master. It may be that the Spirit of the LORD has caught him up and cast him upon some mountain or into some valley."" And he said, ""You shall not send."""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.17,2Kgs 2:17,16,"But when they urged him till he was ashamed, he said, ""Send."" They sent therefore fifty men. And for three days they sought him but did not find him."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.18,2Kgs 2:18,17,"And they came back to him while he was staying at Jericho, and he said to them, ""Did I not say to you, 'Do not go'?"""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.19,2Kgs 2:19,18,"Now the men of the city said to Elisha, ""Behold, the situation of this city is pleasant, as my lord sees, but the water is bad, and the land is unfruitful."""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.20,2Kgs 2:20,19,"He said, ""Bring me a new bowl, and put salt in it."" So they brought it to him."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.21,2Kgs 2:21,20,"Then he went to the spring of water and threw salt in it and said, ""Thus says the LORD, I have healed this water; from now on neither death nor miscarriage shall come from it."""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.22,2Kgs 2:22,21,"So the water has been healed to this day, according to the word that Elisha spoke."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.23,2Kgs 2:23,22,"He went up from there to Bethel, and while he was going up on the way, some small boys came out of the city and jeered at him, saying, ""Go up, you baldhead! Go up, you baldhead!"""
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.24,2Kgs 2:24,23,"And he turned around, and when he saw them, he cursed them in the name of the LORD. And two she-bears came out of the woods and tore forty-two of the boys."
en,ESV,2Kgs,2Kgs,11,2Kgs.2,2Kgs 2,1,2Kgs.2.25,2Kgs 2:25,24,"From there he went on to Mount Carmel, and from there he returned to Samaria."
en,ESV,2Kgs,2Kgs,11,2Kgs.3,2Kgs 3,2,2Kgs.3.1,2Kgs 3:1,0,"In the eighteenth year of Jehoshaphat king of Judah, Jehoram the son of Ahab became king over Israel in Samaria, and he reigned twelve years."
en,ESV,2Kgs,2Kgs,11,2Kgs.3,2Kgs 3,2,2Kgs.3.2,2Kgs 3:2,1,"He did what was evil in the sight of the LORD, though not like his father and mother, for he put away the pillar of Baal that his father had made."
