languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.1,1Chr 1:1,0,"Adam, Seth, Enosh;"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.2,1Chr 1:2,1,"Kenan, Mahalalel, Jared;"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.3,1Chr 1:3,2,"Enoch, Methuselah, Lamech;"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.4,1Chr 1:4,3,"Noah, Shem, Ham, and Japheth."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.5,1Chr 1:5,4,"The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.6,1Chr 1:6,5,"The sons of Gomer: Ashkenaz, Riphath, and Togarmah."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.7,1Chr 1:7,6,"The sons of Javan: Elishah, Tarshish, Kittim, and Rodanim."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.8,1Chr 1:8,7,"The sons of Ham: Cush, Egypt, Put, and Canaan."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.9,1Chr 1:9,8,"The sons of Cush: Seba, Havilah, Sabta, Raama, and Sabteca. The sons of Raamah: Sheba and Dedan."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.10,1Chr 1:10,9,Cush fathered Nimrod. He was the first on earth to be a mighty man.
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.11,1Chr 1:11,10,"Egypt fathered Ludim, Anamim, Lehabim, Naphtuhim,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.12,1Chr 1:12,11,"Pathrusim, Casluhim (from whom the Philistines came), and Caphtorim."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.13,1Chr 1:13,12,"Canaan fathered Sidon his firstborn and Heth,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.14,1Chr 1:14,13,"and the Jebusites, the Amorites, the Girgashites,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.15,1Chr 1:15,14,"the Hivites, the Arkites, the Sinites,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.16,1Chr 1:16,15,"the Arvadites, the Zemarites, and the Hamathites."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.17,1Chr 1:17,16,"The sons of Shem: Elam, Asshur, Arpachshad, Lud, and Aram. And the sons of Aram: Uz, Hul, Gether, and Meshech."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.18,1Chr 1:18,17,"Arpachshad fathered Shelah, and Shelah fathered Eber."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.19,1Chr 1:19,18,"To Eber were born two sons: the name of the one was Peleg (for in his days the earth was divided), and his brother's name was Joktan."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.20,1Chr 1:20,19,"Joktan fathered Almodad, Sheleph, Hazarmaveth, Jerah,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.21,1Chr 1:21,20,"Hadoram, Uzal, Diklah,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.22,1Chr 1:22,21,"Obal, Abimael, Sheba,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.23,1Chr 1:23,22,"Ophir, Havilah, and Jobab; all these were the sons of Joktan."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.24,1Chr 1:24,23,"Shem, Arpachshad, Shelah;"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.25,1Chr 1:25,24,"Eber, Peleg, Reu;"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.26,1Chr 1:26,25,"Serug, Nahor, Terah;"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.27,1Chr 1:27,26,"Abram, that is, Abraham."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.28,1Chr 1:28,27,The sons of Abraham: Isaac and Ishmael.
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.29,1Chr 1:29,28,"These are their genealogies: the firstborn of Ishmael, Nebaioth, and Kedar, Adbeel, Mibsam,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.30,1Chr 1:30,29,"Mishma, Dumah, Massa, Hadad, Tema,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.31,1Chr 1:31,30,"Jetur, Naphish, and Kedemah. These are the sons of Ishmael."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.32,1Chr 1:32,31,"The sons of Keturah, Abraham's concubine: she bore Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah. The sons of Jokshan: Sheba and Dedan."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.33,1Chr 1:33,32,"The sons of Midian: Ephah, Epher, Hanoch, Abida, and Eldaah. All these were the descendants of Keturah."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.34,1Chr 1:34,33,Abraham fathered Isaac. The sons of Isaac: Esau and Israel.
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.35,1Chr 1:35,34,"The sons of Esau: Eliphaz, Reuel, Jeush, Jalam, and Korah."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.36,1Chr 1:36,35,"The sons of Eliphaz: Teman, Omar, Zepho, Gatam, Kenaz, and of Timna, Amalek."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.37,1Chr 1:37,36,"The sons of Reuel: Nahath, Zerah, Shammah, and Mizzah."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.38,1Chr 1:38,37,"The sons of Seir: Lotan, Shobal, Zibeon, Anah, Dishon, Ezer, and Dishan."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.39,1Chr 1:39,38,The sons of Lotan: Hori and Hemam; and Lotan's sister was Timna.
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.40,1Chr 1:40,39,"The sons of Shobal: Alvan, Manahath, Ebal, Shepho, and Onam. The sons of Zibeon: Aiah and Anah."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.41,1Chr 1:41,40,"The son of Anah: Dishon. The sons of Dishon: Hemdan, Eshban, Ithran, and Cheran."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.42,1Chr 1:42,41,"The sons of Ezer: Bilhan, Zaavan, and Akan. The sons of Dishan: Uz and Aran."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.43,1Chr 1:43,42,"These are the kings who reigned in the land of Edom before any king reigned over the people of Israel: Bela the son of Beor, the name of his city being Dinhabah."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.44,1Chr 1:44,43,"Bela died, and Jobab the son of Zerah of Bozrah reigned in his place."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.45,1Chr 1:45,44,"Jobab died, and Husham of the land of the Temanites reigned in his place."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.46,1Chr 1:46,45,"Husham died, and Hadad the son of Bedad, who defeated Midian in the country of Moab, reigned in his place, the name of his city being Avith."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.47,1Chr 1:47,46,"Hadad died, and Samlah of Masrekah reigned in his place."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.48,1Chr 1:48,47,"Samlah died, and Shaul of Rehoboth on the Euphrates reigned in his place."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.49,1Chr 1:49,48,"Shaul died, and Baal-hanan, the son of Achbor, reigned in his place."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.50,1Chr 1:50,49,"Baal-hanan died, and Hadad reigned in his place, the name of his city being Pai; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab."
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.51,1Chr 1:51,50,"And Hadad died. The chiefs of Edom were: chiefs Timna, Alvah, Jetheth,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.52,1Chr 1:52,51,"Oholibamah, Elah, Pinon,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.53,1Chr 1:53,52,"Kenaz, Teman, Mibzar,"
en,ESV,1Chr,1Chr,12,1Chr.1,1Chr 1,0,1Chr.1.54,1Chr 1:54,53,"Magdiel, and Iram; these are the chiefs of Edom."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.1,1Chr 2:1,0,"These are the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,"
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.2,1Chr 2:2,1,"Dan, Joseph, Benjamin, Naphtali, Gad, and Asher."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.3,1Chr 2:3,2,"The sons of Judah: Er, Onan and Shelah; these three Bath-shua the Canaanite bore to him. Now Er, Judah's firstborn, was evil in the sight of the LORD, and he put him to death."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.4,1Chr 2:4,3,His daughter-in-law Tamar also bore him Perez and Zerah. Judah had five sons in all.
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.5,1Chr 2:5,4,The sons of Perez: Hezron and Hamul.
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.6,1Chr 2:6,5,"The sons of Zerah: Zimri, Ethan, Heman, Calcol, and Dara, five in all."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.7,1Chr 2:7,6,"The son of Carmi: Achan, the troubler of Israel, who broke faith in the matter of the devoted thing;"
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.8,1Chr 2:8,7,and Ethan's son was Azariah.
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.9,1Chr 2:9,8,"The sons of Hezron that were born to him: Jerahmeel, Ram, and Chelubai."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.10,1Chr 2:10,9,"Ram fathered Amminadab, and Amminadab fathered Nahshon, prince of the sons of Judah."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.11,1Chr 2:11,10,"Nahshon fathered Salmon, Salmon fathered Boaz,"
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.12,1Chr 2:12,11,"Boaz fathered Obed, Obed fathered Jesse."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.13,1Chr 2:13,12,"Jesse fathered Eliab his firstborn, Abinadab the second, Shimea the third,"
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.14,1Chr 2:14,13,"Nethanel the fourth, Raddai the fifth,"
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.15,1Chr 2:15,14,"Ozem the sixth, David the seventh."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.16,1Chr 2:16,15,"And their sisters were Zeruiah and Abigail. The sons of Zeruiah: Abishai, Joab, and Asahel, three."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.17,1Chr 2:17,16,"Abigail bore Amasa, and the father of Amasa was Jether the Ishmaelite."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.18,1Chr 2:18,17,"Caleb the son of Hezron fathered children by his wife Azubah, and by Jerioth; and these were her sons: Jesher, Shobab, and Ardon."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.19,1Chr 2:19,18,"When Azubah died, Caleb married Ephrath, who bore him Hur."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.20,1Chr 2:20,19,"Hur fathered Uri, and Uri fathered Bezalel."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.21,1Chr 2:21,20,"Afterward Hezron went in to the daughter of Machir the father of Gilead, whom he married when he was sixty years old, and she bore him Segub."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.22,1Chr 2:22,21,"And Segub fathered Jair, who had twenty-three cities in the land of Gilead."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.23,1Chr 2:23,22,"But Geshur and Aram took from them Havvoth-jair, Kenath, and its villages, sixty towns. All these were descendants of Machir, the father of Gilead."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.24,1Chr 2:24,23,"After the death of Hezron, Caleb went in to Ephrathah, the wife of Hezron his father, and she bore him Ashhur, the father of Tekoa."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.25,1Chr 2:25,24,"The sons of Jerahmeel, the firstborn of Hezron: Ram, his firstborn, Bunah, Oren, Ozem, and Ahijah."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.26,1Chr 2:26,25,"Jerahmeel also had another wife, whose name was Atarah; she was the mother of Onam."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.27,1Chr 2:27,26,"The sons of Ram, the firstborn of Jerahmeel: Maaz, Jamin, and Eker."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.28,1Chr 2:28,27,The sons of Onam: Shammai and Jada. The sons of Shammai: Nadab and Abishur.
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.29,1Chr 2:29,28,"The name of Abishur's wife was Abihail, and she bore him Ahban and Molid."
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.30,1Chr 2:30,29,The sons of Nadab: Seled and Appaim; and Seled died childless.
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.31,1Chr 2:31,30,The son of Appaim: Ishi. The son of Ishi: Sheshan. The son of Sheshan: Ahlai.
en,ESV,1Chr,1Chr,12,1Chr.2,1Chr 2,1,1Chr.2.32,1Chr 2:32,31,"The sons of Jada, Shammai's brother: Jether and Jonathan; and Jether died childless."
