languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.1,Neh 1:1,0,"The words of Nehemiah the son of Hacaliah. Now it happened in the month of Chislev, in the twentieth year, as I was in Susa the capital,"
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.2,Neh 1:2,1,"that Hanani, one of my brothers, came with certain men from Judah. And I asked them concerning the Jews who escaped, who had survived the exile, and concerning Jerusalem."
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.3,Neh 1:3,2,"And they said to me, ""The remnant there in the province who had survived the exile is in great trouble and shame. The wall of Jerusalem is broken down, and its gates are destroyed by fire."""
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.4,Neh 1:4,3,"As soon as I heard these words I sat down and wept and mourned for days, and I continued fasting and praying before the God of heaven."
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.5,Neh 1:5,4,"And I said, ""O LORD God of heaven, the great and awesome God who keeps covenant and steadfast love with those who love him and keep his commandments,"
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.6,Neh 1:6,5,"let your ear be attentive and your eyes open, to hear the prayer of your servant that I now pray before you day and night for the people of Israel your servants, confessing the sins of the people of Israel, which we have sinned against you. Even I and my father's house have sinned."
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.7,Neh 1:7,6,"We have acted very corruptly against you and have not kept the commandments, the statutes, and the rules that you commanded your servant Moses."
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.8,Neh 1:8,7,"Remember the word that you commanded your servant Moses, saying, 'If you are unfaithful, I will scatter you among the peoples,"
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.9,Neh 1:9,8,"but if you return to me and keep my commandments and do them, though your dispersed be under the farthest skies, I will gather them from there and bring them to the place that I have chosen, to make my name dwell there.'"
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.10,Neh 1:10,9,"They are your servants and your people, whom you have redeemed by your great power and by your strong hand."
en,ESV,Neh,Neh,15,Neh.1,Neh 1,0,Neh.1.11,Neh 1:11,10,"O Lord, let your ear be attentive to the prayer of your servant, and to the prayer of your servants who delight to fear your name, and give success to your servant today, and grant him mercy in the sight of this man."" Now I was cupbearer to the king."
en,ESV,Neh,Neh,15,Neh.2,Neh 2,1,Neh.2.1,Neh 2:1,0,"In the month of Nisan, in the twentieth year of King Artaxerxes, when wine was before him, I took up the wine and gave it to the king. Now I had not been sad in his presence."
