languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.1,Job 1:1,0,"There was a man in the land of Uz whose name was Job, and that man was blameless and upright, one who feared God and turned away from evil."
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.2,Job 1:2,1,There were born to him seven sons and three daughters.
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.3,Job 1:3,2,"He possessed 7,000 sheep, 3,000 camels, 500 yoke of oxen, and 500 female donkeys, and very many servants, so that this man was the greatest of all the people of the east."
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.4,Job 1:4,3,"His sons used to go and hold a feast in the house of each one on his day, and they would send and invite their three sisters to eat and drink with them."
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.5,Job 1:5,4,"And when the days of the feast had run their course, Job would send and consecrate them, and he would rise early in the morning and offer burnt offerings according to the number of them all. For Job said, ""It may be that my children have sinned, and cursed God in their hearts."" Thus Job did continually."
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.6,Job 1:6,5,"Now there was a day when the sons of God came to present themselves before the LORD, and Satan also came among them."
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.7,Job 1:7,6,"The LORD said to Satan, ""From where have you come?"" Satan answered the LORD and said, ""From going to and fro on the earth, and from walking up and down on it."""
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.8,Job 1:8,7,"And the LORD said to Satan, ""Have you considered my servant Job, that there is none like him on the earth, a blameless and upright man, who fears God and turns away from evil?"""
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.9,Job 1:9,8,"Then Satan answered the LORD and said, ""Does Job fear God for no reason?"
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.10,Job 1:10,9,"Have you not put a hedge around him and his house and all that he has, on every side? You have blessed the work of his hands, and his possessions have increased in the land."
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.11,Job 1:11,10,"But stretch out your hand and touch all that he has, and he will curse you to your face."""
en,ESV,Job,Job,17,Job.1,Job 1,0,Job.1.12,Job 1:12,11,"And the LORD said to Satan, ""Behold, all that he has is in your hand. Only against him do not stretch out your hand."" So Satan went out from the presence of the LORD."
