languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.1,Ps 1:1,0,"Blessed is the man who walks not in the counsel of the wicked, nor stands in the way of sinners, nor sits in the seat of scoffers;"
en,ESV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.2,Ps 1:2,1,"but his delight is in the law of the LORD, and on his law he meditates day and night."
en,ESV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.3,Ps 1:3,2,"He is like a tree planted by streams of water that yields its fruit in its season, and its leaf does not wither. In all that he does, he prospers."
en,ESV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.4,Ps 1:4,3,"The wicked are not so, but are like chaff that the wind drives away."
en,ESV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.5,Ps 1:5,4,"Therefore the wicked will not stand in the judgment, nor sinners in the congregation of the righteous;"
en,ESV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.6,Ps 1:6,5,"for the LORD knows the way of the righteous, but the way of the wicked will perish."
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.1,Ps 2:1,0,Why do the nations rage and the peoples plot in vain?
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.2,Ps 2:2,1,"The kings of the earth set themselves, and the rulers take counsel together, against the LORD and against his anointed, saying,"
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.3,Ps 2:3,2,"""Let us burst their bonds apart and cast away their cords from us."""
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.4,Ps 2:4,3,He who sits in the heavens laughs; the Lord holds them in derision.
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.5,Ps 2:5,4,"Then he will speak to them in his wrath, and terrify them in his fury, saying,"
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.6,Ps 2:6,5,"""As for me, I have set my King on Zion, my holy hill."""
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.7,Ps 2:7,6,"I will tell of the decree: The LORD said to me, ""You are my Son; today I have begotten you."
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.8,Ps 2:8,7,"Ask of me, and I will make the nations your heritage, and the ends of the earth your possession."
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.9,Ps 2:9,8,"You shall break them with a rod of iron and dash them in pieces like a potter's vessel."""
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.10,Ps 2:10,9,"Now therefore, O kings, be wise; be warned, O rulers of the earth."
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.11,Ps 2:11,10,"Serve the LORD with fear, and rejoice with trembling."
en,ESV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.12,Ps 2:12,11,"Kiss the Son, lest he be angry, and you perish in the way, for his wrath is quickly kindled. Blessed are all who take refuge in him."
en,ESV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.1,Ps 3:1,0,"A PSALM OF DAVID, WHEN HE FLED FROM ABSALOM HIS SON. O LORD, how many are my foes! Many are rising against me;"
en,ESV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.2,Ps 3:2,1,"many are saying of my soul, there is no salvation for him in God. Selah"
en,ESV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.3,Ps 3:3,2,"But you, O LORD, are a shield about me, my glory, and the lifter of my head."
en,ESV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.4,Ps 3:4,3,"I cried aloud to the LORD, and he answered me from his holy hill. Selah"
en,ESV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.5,Ps 3:5,4,"I lay down and slept; I woke again, for the LORD sustained me."
en,ESV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.6,Ps 3:6,5,I will not be afraid of many thousands of people who have set themselves against me all around.
