languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.1,Prov 1:1,0,"The proverbs of Solomon, son of David, king of Israel:"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.2,Prov 1:2,1,"To know wisdom and instruction, to understand words of insight,"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.3,Prov 1:3,2,"to receive instruction in wise dealing, in righteousness, justice, and equity;"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.4,Prov 1:4,3,"to give prudence to the simple, knowledge and discretion to the youth-"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.5,Prov 1:5,4,"Let the wise hear and increase in learning, and the one who understands obtain guidance,"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.6,Prov 1:6,5,"to understand a proverb and a saying, the words of the wise and their riddles."
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.7,Prov 1:7,6,The fear of the LORD is the beginning of knowledge; fools despise wisdom and instruction.
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.8,Prov 1:8,7,"Hear, my son, your father's instruction, and forsake not your mother's teaching,"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.9,Prov 1:9,8,for they are a graceful garland for your head and pendants for your neck.
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.10,Prov 1:10,9,"My son, if sinners entice you, do not consent."
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.11,Prov 1:11,10,"If they say, ""Come with us, let us lie in wait for blood; let us ambush the innocent without reason;"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.12,Prov 1:12,11,"like Sheol let us swallow them alive, and whole, like those who go down to the pit;"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.13,Prov 1:13,12,"we shall find all precious goods, we shall fill our houses with plunder;"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.14,Prov 1:14,13,"throw in your lot among us; we will all have one purse""-"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.15,Prov 1:15,14,"my son, do not walk in the way with them; hold back your foot from their paths,"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.16,Prov 1:16,15,"for their feet run to evil, and they make haste to shed blood."
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.17,Prov 1:17,16,"For in vain is a net spread in the sight of any bird,"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.18,Prov 1:18,17,but these men lie in wait for their own blood; they set an ambush for their own lives.
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.19,Prov 1:19,18,Such are the ways of everyone who is greedy for unjust gain; it takes away the life of its possessors.
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.20,Prov 1:20,19,"Wisdom cries aloud in the street, in the markets she raises her voice;"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.21,Prov 1:21,20,at the head of the noisy streets she cries out; at the entrance of the city gates she speaks:
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.22,Prov 1:22,21,"""How long, O simple ones, will you love being simple? How long will scoffers delight in their scoffing and fools hate knowledge?"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.23,Prov 1:23,22,"If you turn at my reproof, behold, I will pour out my spirit to you; I will make my words known to you."
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.24,Prov 1:24,23,"Because I have called and you refused to listen, have stretched out my hand and no one has heeded,"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.25,Prov 1:25,24,"because you have ignored all my counsel and would have none of my reproof,"
en,ESV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.26,Prov 1:26,25,"I also will laugh at your calamity; I will mock when terror strikes you,"
