languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.1,Song 1:1,0,"The Song of Songs, which is Solomon's."
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.2,Song 1:2,1,Let him kiss me with the kisses of his mouth! For your love is better than wine;
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.3,Song 1:3,2,your anointing oils are fragrant; your name is oil poured out; therefore virgins love you.
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.4,Song 1:4,3,Draw me after you; let us run. The king has brought me into his chambers. We will exult and rejoice in you; we will extol your love more than wine; rightly do they love you.
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.5,Song 1:5,4,"I am very dark, but lovely, O daughters of Jerusalem, like the tents of Kedar, like the curtains of Solomon."
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.6,Song 1:6,5,"Do not gaze at me because I am dark, because the sun has looked upon me. My mother's sons were angry with me; they made me keeper of the vineyards, but my own vineyard I have not kept!"
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.7,Song 1:7,6,"Tell me, you whom my soul loves, where you pasture your flock, where you make it lie down at noon; for why should I be like one who veils herself beside the flocks of your companions?"
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.8,Song 1:8,7,"If you do not know, O most beautiful among women, follow in the tracks of the flock, and pasture your young goats beside the shepherds' tents."
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.9,Song 1:9,8,"I compare you, my love, to a mare among Pharaoh's chariots."
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.10,Song 1:10,9,"Your cheeks are lovely with ornaments, your neck with strings of jewels."
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.11,Song 1:11,10,"We will make for you ornaments of gold, studded with silver."
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.12,Song 1:12,11,"While the king was on his couch, my nard gave forth its fragrance."
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.13,Song 1:13,12,My beloved is to me a sachet of myrrh that lies between my breasts.
en,ESV,Song,Song,21,Song.1,Song 1,0,Song.1.14,Song 1:14,13,My beloved is to me a cluster of henna blossoms in the vineyards of Engedi.
