languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.1,Ezek 1:1,0,"In the thirtieth year, in the fourth month, on the fifth day of the month, as I was among the exiles by the Chebar canal, the heavens were opened, and I saw visions of God."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.2,Ezek 1:2,1,"On the fifth day of the month (it was the fifth year of the exile of King Jehoiachin),"
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.3,Ezek 1:3,2,"the word of the LORD came to Ezekiel the priest, the son of Buzi, in the land of the Chaldeans by the Chebar canal, and the hand of the LORD was upon him there."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.4,Ezek 1:4,3,"As I looked, behold, a stormy wind came out of the north, and a great cloud, with brightness around it, and fire flashing forth continually, and in the midst of the fire, as it were gleaming metal."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.5,Ezek 1:5,4,"And from the midst of it came the likeness of four living creatures. And this was their appearance: they had a human likeness,"
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.6,Ezek 1:6,5,"but each had four faces, and each of them had four wings."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.7,Ezek 1:7,6,"Their legs were straight, and the soles of their feet were like the sole of a calf's foot. And they sparkled like burnished bronze."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.8,Ezek 1:8,7,Under their wings on their four sides they had human hands. And the four had their faces and their wings thus:
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.9,Ezek 1:9,8,"their wings touched one another. Each one of them went straight forward, without turning as they went."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.10,Ezek 1:10,9,"As for the likeness of their faces, each had a human face. The four had the face of a lion on the right side, the four had the face of an ox on the left side, and the four had the face of an eagle."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.11,Ezek 1:11,10,"Such were their faces. And their wings were spread out above. Each creature had two wings, each of which touched the wing of another, while two covered their bodies."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.12,Ezek 1:12,11,"And each went straight forward. Wherever the spirit would go, they went, without turning as they went."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.13,Ezek 1:13,12,"As for the likeness of the living creatures, their appearance was like burning coals of fire, like the appearance of torches moving to and fro among the living creatures. And the fire was bright, and out of the fire went forth lightning."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.14,Ezek 1:14,13,"And the living creatures darted to and fro, like the appearance of a flash of lightning."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.15,Ezek 1:15,14,"Now as I looked at the living creatures, I saw a wheel on the earth beside the living creatures, one for each of the four of them."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.16,Ezek 1:16,15,"As for the appearance of the wheels and their construction: their appearance was like the gleaming of beryl. And the four had the same likeness, their appearance and construction being as it were a wheel within a wheel."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.17,Ezek 1:17,16,"When they went, they went in any of their four directions without turning as they went."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.18,Ezek 1:18,17,"And their rims were tall and awesome, and the rims of all four were full of eyes all around."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.19,Ezek 1:19,18,"And when the living creatures went, the wheels went beside them; and when the living creatures rose from the earth, the wheels rose."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.20,Ezek 1:20,19,"Wherever the spirit wanted to go, they went, and the wheels rose along with them, for the spirit of the living creatures was in the wheels."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.21,Ezek 1:21,20,"When those went, these went; and when those stood, these stood; and when those rose from the earth, the wheels rose along with them, for the spirit of the living creatures was in the wheels."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.22,Ezek 1:22,21,"Over the heads of the living creatures there was the likeness of an expanse, shining like awe-inspiring crystal, spread out above their heads."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.23,Ezek 1:23,22,"And under the expanse their wings were stretched out straight, one toward another. And each creature had two wings covering its body."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.24,Ezek 1:24,23,"And when they went, I heard the sound of their wings like the sound of many waters, like the sound of the Almighty, a sound of tumult like the sound of an army. When they stood still, they let down their wings."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.25,Ezek 1:25,24,"And there came a voice from above the expanse over their heads. When they stood still, they let down their wings."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.26,Ezek 1:26,25,"And above the expanse over their heads there was the likeness of a throne, in appearance like sapphire; and seated above the likeness of a throne was a likeness with a human appearance."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.27,Ezek 1:27,26,"And upward from what had the appearance of his waist I saw as it were gleaming metal, like the appearance of fire enclosed all around. And downward from what had the appearance of his waist I saw as it were the appearance of fire, and there was brightness around him."
en,ESV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.28,Ezek 1:28,27,"Like the appearance of the bow that is in the cloud on the day of rain, so was the appearance of the brightness all around. Such was the appearance of the likeness of the glory of the LORD. And when I saw it, I fell on my face, and I heard the voice of one speaking."
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.1,Ezek 2:1,0,"And he said to me, ""Son of man, stand on your feet, and I will speak with you."""
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.2,Ezek 2:2,1,"And as he spoke to me, the Spirit entered into me and set me on my feet, and I heard him speaking to me."
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.3,Ezek 2:3,2,"And he said to me, ""Son of man, I send you to the people of Israel, to nations of rebels, who have rebelled against me. They and their fathers have transgressed against me to this very day."
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.4,Ezek 2:4,3,"The descendants also are impudent and stubborn: I send you to them, and you shall say to them, 'Thus says the Lord GOD.'"
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.5,Ezek 2:5,4,And whether they hear or refuse to hear (for they are a rebellious house) they will know that a prophet has been among them.
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.6,Ezek 2:6,5,"And you, son of man, be not afraid of them, nor be afraid of their words, though briers and thorns are with you and you sit on scorpions. Be not afraid of their words, nor be dismayed at their looks, for they are a rebellious house."
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.7,Ezek 2:7,6,"And you shall speak my words to them, whether they hear or refuse to hear, for they are a rebellious house."
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.8,Ezek 2:8,7,"""But you, son of man, hear what I say to you. Be not rebellious like that rebellious house; open your mouth and eat what I give you."""
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.9,Ezek 2:9,8,"And when I looked, behold, a hand was stretched out to me, and behold, a scroll of a book was in it."
en,ESV,Ezek,Ezek,25,Ezek.2,Ezek 2,1,Ezek.2.10,Ezek 2:10,9,"And he spread it before me. And it had writing on the front and on the back, and there were written on it words of lamentation and mourning and woe."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.1,Ezek 3:1,0,"And he said to me, ""Son of man, eat whatever you find here. Eat this scroll, and go, speak to the house of Israel."""
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.2,Ezek 3:2,1,"So I opened my mouth, and he gave me this scroll to eat."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.3,Ezek 3:3,2,"And he said to me, ""Son of man, feed your belly with this scroll that I give you and fill your stomach with it."" Then I ate it, and it was in my mouth as sweet as honey."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.4,Ezek 3:4,3,"And he said to me, ""Son of man, go to the house of Israel and speak with my words to them."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.5,Ezek 3:5,4,"For you are not sent to a people of foreign speech and a hard language, but to the house of Israel-"
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.6,Ezek 3:6,5,"not to many peoples of foreign speech and a hard language, whose words you cannot understand. Surely, if I sent you to such, they would listen to you."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.7,Ezek 3:7,6,"But the house of Israel will not be willing to listen to you, for they are not willing to listen to me. Because all the house of Israel have a hard forehead and a stubborn heart."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.8,Ezek 3:8,7,"Behold, I have made your face as hard as their faces, and your forehead as hard as their foreheads."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.9,Ezek 3:9,8,"Like emery harder than flint have I made your forehead. Fear them not, nor be dismayed at their looks, for they are a rebellious house."""
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.10,Ezek 3:10,9,"Moreover, he said to me, ""Son of man, all my words that I shall speak to you receive in your heart, and hear with your ears."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.11,Ezek 3:11,10,"And go to the exiles, to your people, and speak to them and say to them, 'Thus says the Lord GOD,' whether they hear or refuse to hear."""
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.12,Ezek 3:12,11,"Then the Spirit lifted me up, and I heard behind me the voice of a great earthquake: ""Blessed be the glory of the LORD from its place!"""
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.13,Ezek 3:13,12,"It was the sound of the wings of the living creatures as they touched one another, and the sound of the wheels beside them, and the sound of a great earthquake."
en,ESV,Ezek,Ezek,25,Ezek.3,Ezek 3,2,Ezek.3.14,Ezek 3:14,13,"The Spirit lifted me up and took me away, and I went in bitterness in the heat of my spirit, the hand of the LORD being strong upon me."
