languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.1,Hos 1:1,0,"The word of the LORD that came to Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel."
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.2,Hos 1:2,1,"When the LORD first spoke through Hosea, the LORD said to Hosea, ""Go, take to yourself a wife of whoredom and have children of whoredom, for the land commits great whoredom by forsaking the LORD."""
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.3,Hos 1:3,2,"So he went and took Gomer, the daughter of Diblaim, and she conceived and bore him a son."
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.4,Hos 1:4,3,"And the LORD said to him, ""Call his name Jezreel, for in just a little while I will punish the house of Jehu for the blood of Jezreel, and I will put an end to the kingdom of the house of Israel."
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.5,Hos 1:5,4,"And on that day I will break the bow of Israel in the Valley of Jezreel."""
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.6,Hos 1:6,5,"She conceived again and bore a daughter. And the LORD said to him, ""Call her name No Mercy, for I will no more have mercy on the house of Israel, to forgive them at all."
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.7,Hos 1:7,6,"But I will have mercy on the house of Judah, and I will save them by the LORD their God. I will not save them by bow or by sword or by war or by horses or by horsemen."""
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.8,Hos 1:8,7,"When she had weaned No Mercy, she conceived and bore a son."
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.9,Hos 1:9,8,"And the LORD said, ""Call his name Not My People, for you are not my people, and I am not your God."""
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.10,Hos 1:10,9,"Yet the number of the children of Israel shall be like the sand of the sea, which cannot be measured or numbered. And in the place where it was said to them, ""You are not my people,"" it shall be said to them, ""Children of the living God."""
en,ESV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.11,Hos 1:11,10,"And the children of Judah and the children of Israel shall be gathered together, and they shall appoint for themselves one head. And they shall go up from the land, for great shall be the day of Jezreel."
en,ESV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.1,Hos 2:1,0,"Say to your brothers, ""You are my people,"" and to your sisters, ""You have received mercy."""
en,ESV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.2,Hos 2:2,1,"""Plead with your mother, plead- for she is not my wife, and I am not her husband- that she put away her whoring from her face, and her adultery from between her breasts;"
