languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.1,Amos 1:1,0,"The words of Amos, who was among the shepherds of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah and in the days of Jeroboam the son of Joash, king of Israel, two years before the earthquake."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.2,Amos 1:2,1,"And he said: ""The LORD roars from Zion and utters his voice from Jerusalem; the pastures of the shepherds mourn, and the top of Carmel withers."""
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.3,Amos 1:3,2,"Thus says the LORD: ""For three transgressions of Damascus, and for four, I will not revoke the punishment, because they have threshed Gilead with threshing sledges of iron."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.4,Amos 1:4,3,"So I will send a fire upon the house of Hazael, and it shall devour the strongholds of Ben-hadad."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.5,Amos 1:5,4,"I will break the gate-bar of Damascus, and cut off the inhabitants from the Valley of Aven, and him who holds the scepter from Beth-eden; and the people of Syria shall go into exile to Kir,"" says the LORD."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.6,Amos 1:6,5,"Thus says the LORD: ""For three transgressions of Gaza, and for four, I will not revoke the punishment, because they carried into exile a whole people to deliver them up to Edom."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.7,Amos 1:7,6,"So I will send a fire upon the wall of Gaza, and it shall devour her strongholds."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.8,Amos 1:8,7,"I will cut off the inhabitants from Ashdod, and him who holds the scepter from Ashkelon; I will turn my hand against Ekron, and the remnant of the Philistines shall perish,"" says the Lord GOD."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.9,Amos 1:9,8,"Thus says the LORD: ""For three transgressions of Tyre, and for four, I will not revoke the punishment, because they delivered up a whole people to Edom, and did not remember the covenant of brotherhood."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.10,Amos 1:10,9,"So I will send a fire upon the wall of Tyre, and it shall devour her strongholds."""
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.11,Amos 1:11,10,"Thus says the LORD: ""For three transgressions of Edom, and for four, I will not revoke the punishment, because he pursued his brother with the sword and cast off all pity, and his anger tore perpetually, and he kept his wrath forever."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.12,Amos 1:12,11,"So I will send a fire upon Teman, and it shall devour the strongholds of Bozrah."""
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.13,Amos 1:13,12,"Thus says the LORD: ""For three transgressions of the Ammonites, and for four, I will not revoke the punishment, because they have ripped open pregnant women in Gilead, that they might enlarge their border."
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.14,Amos 1:14,13,"So I will kindle a fire in the wall of Rabbah, and it shall devour her strongholds, with shouting on the day of battle, with a tempest in the day of the whirlwind;"
en,ESV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.15,Amos 1:15,14,"and their king shall go into exile, he and his princes together,"" says the LORD."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.1,Amos 2:1,0,"Thus says the LORD: ""For three transgressions of Moab, and for four, I will not revoke the punishment, because he burned to lime the bones of the king of Edom."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.2,Amos 2:2,1,"So I will send a fire upon Moab, and it shall devour the strongholds of Kerioth, and Moab shall die amid uproar, amid shouting and the sound of the trumpet;"
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.3,Amos 2:3,2,"I will cut off the ruler from its midst, and will kill all its princes with him,"" says the LORD."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.4,Amos 2:4,3,"Thus says the LORD: ""For three transgressions of Judah, and for four, I will not revoke the punishment, because they have rejected the law of the LORD, and have not kept his statutes, but their lies have led them astray, those after which their fathers walked."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.5,Amos 2:5,4,"So I will send a fire upon Judah, and it shall devour the strongholds of Jerusalem."""
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.6,Amos 2:6,5,"Thus says the LORD: ""For three transgressions of Israel, and for four, I will not revoke the punishment, because they sell the righteous for silver, and the needy for a pair of sandals-"
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.7,Amos 2:7,6,"those who trample the head of the poor into the dust of the earth and turn aside the way of the afflicted; a man and his father go in to the same girl, so that my holy name is profaned;"
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.8,Amos 2:8,7,"they lay themselves down beside every altar on garments taken in pledge, and in the house of their God they drink the wine of those who have been fined."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.9,Amos 2:9,8,"""Yet it was I who destroyed the Amorite before them, whose height was like the height of the cedars and who was as strong as the oaks; I destroyed his fruit above and his roots beneath."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.10,Amos 2:10,9,"Also it was I who brought you up out of the land of Egypt and led you forty years in the wilderness, to possess the land of the Amorite."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.11,Amos 2:11,10,"And I raised up some of your sons for prophets, and some of your young men for Nazirites. Is it not indeed so, O people of Israel?"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.12,Amos 2:12,11,"""But you made the Nazirites drink wine, and commanded the prophets, saying, 'You shall not prophesy.'"
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.13,Amos 2:13,12,"""Behold, I will press you down in your place, as a cart full of sheaves presses down."
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.14,Amos 2:14,13,"Flight shall perish from the swift, and the strong shall not retain his strength, nor shall the mighty save his life;"
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.15,Amos 2:15,14,"he who handles the bow shall not stand, and he who is swift of foot shall not save himself, nor shall he who rides the horse save his life;"
en,ESV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.16,Amos 2:16,15,"and he who is stout of heart among the mighty shall flee away naked in that day,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.1,Amos 3:1,0,"Hear this word that the LORD has spoken against you, O people of Israel, against the whole family that I brought up out of the land of Egypt:"
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.2,Amos 3:2,1,"""You only have I known of all the families of the earth; therefore I will punish you for all your iniquities."
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.3,Amos 3:3,2,"""Do two walk together, unless they have agreed to meet?"
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.4,Amos 3:4,3,"Does a lion roar in the forest, when he has no prey? Does a young lion cry out from his den, if he has taken nothing?"
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.5,Amos 3:5,4,"Does a bird fall in a snare on the earth, when there is no trap for it? Does a snare spring up from the ground, when it has taken nothing?"
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.6,Amos 3:6,5,"Is a trumpet blown in a city, and the people are not afraid? Does disaster come to a city, unless the LORD has done it?"
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.7,Amos 3:7,6,"""For the Lord GOD does nothing without revealing his secret to his servants the prophets."
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.8,Amos 3:8,7,"The lion has roared; who will not fear? The Lord GOD has spoken; who can but prophesy?"""
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.9,Amos 3:9,8,"Proclaim to the strongholds in Ashdod and to the strongholds in the land of Egypt, and say, ""Assemble yourselves on the mountains of Samaria, and see the great tumults within her, and the oppressed in her midst."""
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.10,Amos 3:10,9,"""They do not know how to do right,"" declares the LORD, ""those who store up violence and robbery in their strongholds."""
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.11,Amos 3:11,10,"Therefore thus says the Lord GOD: ""An adversary shall surround the land and bring down your defenses from you, and your strongholds shall be plundered."""
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.12,Amos 3:12,11,"Thus says the LORD: ""As the shepherd rescues from the mouth of the lion two legs, or a piece of an ear, so shall the people of Israel who dwell in Samaria be rescued, with the corner of a couch and part of a bed."
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.13,Amos 3:13,12,"""Hear, and testify against the house of Jacob,"" declares the Lord GOD, the God of hosts,"
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.14,Amos 3:14,13,"""that on the day I punish Israel for his transgressions, I will punish the altars of Bethel, and the horns of the altar shall be cut off and fall to the ground."
en,ESV,Amos,Amos,29,Amos.3,Amos 3,2,Amos.3.15,Amos 3:15,14,"I will strike the winter house along with the summer house, and the houses of ivory shall perish, and the great houses shall come to an end,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.1,Amos 4:1,0,"""Hear this word, you cows of Bashan, who are on the mountain of Samaria, who oppress the poor, who crush the needy, who say to your husbands, 'Bring, that we may drink!'"
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.2,Amos 4:2,1,"The Lord GOD has sworn by his holiness that, behold, the days are coming upon you, when they shall take you away with hooks, even the last of you with fishhooks."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.3,Amos 4:3,2,"And you shall go out through the breaches, each one straight ahead; and you shall be cast out into Harmon,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.4,Amos 4:4,3,"""Come to Bethel, and transgress; to Gilgal, and multiply transgression; bring your sacrifices every morning, your tithes every three days;"
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.5,Amos 4:5,4,"offer a sacrifice of thanksgiving of that which is leavened, and proclaim freewill offerings, publish them; for so you love to do, O people of Israel!"" declares the Lord GOD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.6,Amos 4:6,5,"""I gave you cleanness of teeth in all your cities, and lack of bread in all your places, yet you did not return to me,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.7,Amos 4:7,6,"""I also withheld the rain from you when there were yet three months to the harvest; I would send rain on one city, and send no rain on another city; one field would have rain, and the field on which it did not rain would wither;"
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.8,Amos 4:8,7,"so two or three cities would wander to another city to drink water, and would not be satisfied; yet you did not return to me,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.9,Amos 4:9,8,"""I struck you with blight and mildew; your many gardens and your vineyards, your fig trees and your olive trees the locust devoured; yet you did not return to me,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.10,Amos 4:10,9,"""I sent among you a pestilence after the manner of Egypt; I killed your young men with the sword, and carried away your horses, and I made the stench of your camp go up into your nostrils; yet you did not return to me,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.11,Amos 4:11,10,"""I overthrew some of you, as when God overthrew Sodom and Gomorrah, and you were as a brand plucked out of the burning; yet you did not return to me,"" declares the LORD."
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.12,Amos 4:12,11,"""Therefore thus I will do to you, O Israel; because I will do this to you, prepare to meet your God, O Israel!"""
en,ESV,Amos,Amos,29,Amos.4,Amos 4,3,Amos.4.13,Amos 4:13,12,"For behold, he who forms the mountains and creates the wind, and declares to man what is his thought, who makes the morning darkness, and treads on the heights of the earth- the LORD, the God of hosts, is his name!"
