languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.1,Jonah 1:1,0,"Now the word of the LORD came to Jonah the son of Amittai, saying,"
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.2,Jonah 1:2,1,"""Arise, go to Nineveh, that great city, and call out against it, for their evil has come up before me."""
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.3,Jonah 1:3,2,"But Jonah rose to flee to Tarshish from the presence of the LORD. He went down to Joppa and found a ship going to Tarshish. So he paid the fare and went on board, to go with them to Tarshish, away from the presence of the LORD."
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.4,Jonah 1:4,3,"But the LORD hurled a great wind upon the sea, and there was a mighty tempest on the sea, so that the ship threatened to break up."
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.5,Jonah 1:5,4,"Then the mariners were afraid, and each cried out to his god. And they hurled the cargo that was in the ship into the sea to lighten it for them. But Jonah had gone down into the inner part of the ship and had lain down and was fast asleep."
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.6,Jonah 1:6,5,"So the captain came and said to him, ""What do you mean, you sleeper? Arise, call out to your god! Perhaps the god will give a thought to us, that we may not perish."""
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.7,Jonah 1:7,6,"And they said to one another, ""Come, let us cast lots, that we may know on whose account this evil has come upon us."" So they cast lots, and the lot fell on Jonah."
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.8,Jonah 1:8,7,"Then they said to him, ""Tell us on whose account this evil has come upon us. What is your occupation? And where do you come from? What is your country? And of what people are you?"""
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.9,Jonah 1:9,8,"And he said to them, ""I am a Hebrew, and I fear the LORD, the God of heaven, who made the sea and the dry land."""
en,ESV,Jonah,Jonah,31,Jonah.1,Jonah 1,0,Jonah.1.10,Jonah 1:10,9,"Then the men were exceedingly afraid and said to him, ""What is this that you have done!"" For the men knew that he was fleeing from the presence of the LORD, because he had told them."
