languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.1,Mic 1:1,0,"The word of the LORD that came to Micah of Moresheth in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.2,Mic 1:2,1,"Hear, you peoples, all of you; pay attention, O earth, and all that is in it, and let the Lord GOD be a witness against you, the Lord from his holy temple."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.3,Mic 1:3,2,"For behold, the LORD is coming out of his place, and will come down and tread upon the high places of the earth."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.4,Mic 1:4,3,"And the mountains will melt under him, and the valleys will split open, like wax before the fire, like waters poured down a steep place."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.5,Mic 1:5,4,All this is for the transgression of Jacob and for the sins of the house of Israel. What is the transgression of Jacob? Is it not Samaria? And what is the high place of Judah? Is it not Jerusalem?
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.6,Mic 1:6,5,"Therefore I will make Samaria a heap in the open country, a place for planting vineyards, and I will pour down her stones into the valley and uncover her foundations."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.7,Mic 1:7,6,"All her carved images shall be beaten to pieces, all her wages shall be burned with fire, and all her idols I will lay waste, for from the fee of a prostitute she gathered them, and to the fee of a prostitute they shall return."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.8,Mic 1:8,7,"For this I will lament and wail; I will go stripped and naked; I will make lamentation like the jackals, and mourning like the ostriches."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.9,Mic 1:9,8,"For her wound is incurable, and it has come to Judah; it has reached to the gate of my people, to Jerusalem."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.10,Mic 1:10,9,Tell it not in Gath; weep not at all; in Beth-le-aphrah roll yourselves in the dust.
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.11,Mic 1:11,10,"Pass on your way, inhabitants of Shaphir, in nakedness and shame; the inhabitants of Zaanan do not come out; the lamentation of Beth-ezel shall take away from you its standing place."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.12,Mic 1:12,11,"For the inhabitants of Maroth wait anxiously for good, because disaster has come down from the LORD to the gate of Jerusalem."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.13,Mic 1:13,12,"Harness the steeds to the chariots, inhabitants of Lachish; it was the beginning of sin to the daughter of Zion, for in you were found the transgressions of Israel."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.14,Mic 1:14,13,Therefore you shall give parting gifts to Moresheth-gath; the houses of Achzib shall be a deceitful thing to the kings of Israel.
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.15,Mic 1:15,14,"I will again bring a conqueror to you, inhabitants of Mareshah; the glory of Israel shall come to Adullam."
en,ESV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.16,Mic 1:16,15,"Make yourselves bald and cut off your hair, for the children of your delight; make yourselves as bald as the eagle, for they shall go from you into exile."
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.1,Mic 2:1,0,"Woe to those who devise wickedness and work evil on their beds! When the morning dawns, they perform it, because it is in the power of their hand."
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.2,Mic 2:2,1,"They covet fields and seize them, and houses, and take them away; they oppress a man and his house, a man and his inheritance."
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.3,Mic 2:3,2,"Therefore thus says the LORD: behold, against this family I am devising disaster, from which you cannot remove your necks, and you shall not walk haughtily, for it will be a time of disaster."
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.4,Mic 2:4,3,"In that day they shall take up a taunt song against you and moan bitterly, and say, ""We are utterly ruined; he changes the portion of my people; how he removes it from me! To an apostate he allots our fields."""
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.5,Mic 2:5,4,Therefore you will have none to cast the line by lot in the assembly of the LORD.
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.6,Mic 2:6,5,"""Do not preach""- thus they preach- ""one should not preach of such things; disgrace will not overtake us."""
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.7,Mic 2:7,6,"Should this be said, O house of Jacob? Has the LORD grown impatient? Are these his deeds? Do not my words do good to him who walks uprightly?"
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.8,Mic 2:8,7,But lately my people have risen up as an enemy; you strip the rich robe from those who pass by trustingly with no thought of war.
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.9,Mic 2:9,8,The women of my people you drive out from their delightful houses; from their young children you take away my splendor forever.
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.10,Mic 2:10,9,"Arise and go, for this is no place to rest, because of uncleanness that destroys with a grievous destruction."
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.11,Mic 2:11,10,"If a man should go about and utter wind and lies, saying, ""I will preach to you of wine and strong drink,"" he would be the preacher for this people!"
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.12,Mic 2:12,11,"I will surely assemble all of you, O Jacob; I will gather the remnant of Israel; I will set them together like sheep in a fold, like a flock in its pasture, a noisy multitude of men."
en,ESV,Mic,Mic,32,Mic.2,Mic 2,1,Mic.2.13,Mic 2:13,12,"He who opens the breach goes up before them; they break through and pass the gate, going out by it. Their king passes on before them, the LORD at their head."
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.1,Mic 3:1,0,"And I said:Hear, you heads of Jacob and rulers of the house of Israel! Is it not for you to know justice?-"
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.2,Mic 3:2,1,"you who hate the good and love the evil, who tear the skin from off my people and their flesh from off their bones,"
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.3,Mic 3:3,2,"who eat the flesh of my people, and flay their skin from off them, and break their bones in pieces and chop them up like meat in a pot, like flesh in a cauldron."
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.4,Mic 3:4,3,"Then they will cry to the LORD, but he will not answer them; he will hide his face from them at that time, because they have made their deeds evil."
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.5,Mic 3:5,4,"Thus says the LORD concerning the prophets who lead my people astray, who cry ""Peace"" when they have something to eat, but declare war against him who puts nothing into their mouths."
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.6,Mic 3:6,5,"Therefore it shall be night to you, without vision, and darkness to you, without divination. The sun shall go down on the prophets, and the day shall be black over them;"
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.7,Mic 3:7,6,"the seers shall be disgraced, and the diviners put to shame; they shall all cover their lips, for there is no answer from God."
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.8,Mic 3:8,7,"But as for me, I am filled with power, with the Spirit of the LORD, and with justice and might, to declare to Jacob his transgression and to Israel his sin."
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.9,Mic 3:9,8,"Hear this, you heads of the house of Jacob and rulers of the house of Israel, who detest justice and make crooked all that is straight,"
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.10,Mic 3:10,9,who build Zion with blood and Jerusalem with iniquity.
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.11,Mic 3:11,10,"Its heads give judgment for a bribe; its priests teach for a price; its prophets practice divination for money; yet they lean on the LORD and say, ""Is not the LORD in the midst of us? No disaster shall come upon us."""
en,ESV,Mic,Mic,32,Mic.3,Mic 3,2,Mic.3.12,Mic 3:12,11,"Therefore because of you Zion shall be plowed as a field; Jerusalem shall become a heap of ruins, and the mountain of the house a wooded height."
en,ESV,Mic,Mic,32,Mic.4,Mic 4,3,Mic.4.1,Mic 4:1,0,"It shall come to pass in the latter days that the mountain of the house of the LORD shall be established as the highest of the mountains, and it shall be lifted up above the hills; and peoples shall flow to it,"
en,ESV,Mic,Mic,32,Mic.4,Mic 4,3,Mic.4.2,Mic 4:2,1,"and many nations shall come, and say: ""Come, let us go up to the mountain of the LORD, to the house of the God of Jacob, that he may teach us his ways and that we may walk in his paths."" For out of Zion shall go forth the law, and the word of the LORD from Jerusalem."
en,ESV,Mic,Mic,32,Mic.4,Mic 4,3,Mic.4.3,Mic 4:3,2,"He shall judge between many peoples, and shall decide for strong nations afar off; and they shall beat their swords into plowshares, and their spears into pruning hooks; nation shall not lift up sword against nation, neither shall they learn war anymore;"
en,ESV,Mic,Mic,32,Mic.4,Mic 4,3,Mic.4.4,Mic 4:4,3,"but they shall sit every man under his vine and under his fig tree, and no one shall make them afraid, for the mouth of the LORD of hosts has spoken."
en,ESV,Mic,Mic,32,Mic.4,Mic 4,3,Mic.4.5,Mic 4:5,4,"For all the peoples walk each in the name of its god, but we will walk in the name of the LORD our God forever and ever."
