languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.1,Nah 1:1,0,An oracle concerning Nineveh. The book of the vision of Nahum of Elkosh.
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.2,Nah 1:2,1,The LORD is a jealous and avenging God; the LORD is avenging and wrathful; the LORD takes vengeance on his adversaries and keeps wrath for his enemies.
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.3,Nah 1:3,2,"The LORD is slow to anger and great in power, and the LORD will by no means clear the guilty. His way is in whirlwind and storm, and the clouds are the dust of his feet."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.4,Nah 1:4,3,He rebukes the sea and makes it dry; he dries up all the rivers; Bashan and Carmel wither; the bloom of Lebanon withers.
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.5,Nah 1:5,4,"The mountains quake before him; the hills melt; the earth heaves before him, the world and all who dwell in it."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.6,Nah 1:6,5,"Who can stand before his indignation? Who can endure the heat of his anger? His wrath is poured out like fire, and the rocks are broken into pieces by him."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.7,Nah 1:7,6,"The LORD is good, a stronghold in the day of trouble; he knows those who take refuge in him."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.8,Nah 1:8,7,"But with an overflowing flood he will make a complete end of the adversaries, and will pursue his enemies into darkness."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.9,Nah 1:9,8,What do you plot against the LORD? He will make a complete end; trouble will not rise up a second time.
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.10,Nah 1:10,9,"For they are like entangled thorns, like drunkards as they drink; they are consumed like stubble fully dried."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.11,Nah 1:11,10,"From you came one who plotted evil against the LORD, a worthless counselor."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.12,Nah 1:12,11,"Thus says the LORD, ""Though they are at full strength and many, they will be cut down and pass away. Though I have afflicted you, I will afflict you no more."
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.13,Nah 1:13,12,"And now I will break his yoke from off you and will burst your bonds apart."""
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.14,Nah 1:14,13,"The LORD has given commandment about you: ""No more shall your name be perpetuated; from the house of your gods I will cut off the carved image and the metal image. I will make your grave, for you are vile."""
en,ESV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.15,Nah 1:15,14,"Behold, upon the mountains, the feet of him who brings good news, who publishes peace! Keep your feasts, O Judah; fulfill your vows, for never again shall the worthless pass through you; he is utterly cut off."
en,ESV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.1,Nah 2:1,0,The scatterer has come up against you. Man the ramparts; watch the road; dress for battle; collect all your strength.
en,ESV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.2,Nah 2:2,1,"For the LORD is restoring the majesty of Jacob as the majesty of Israel, for plunderers have plundered them and ruined their branches."
en,ESV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.3,Nah 2:3,2,The shield of his mighty men is red; his soldiers are clothed in scarlet. The chariots come with flashing metal on the day he musters them; the cypress spears are brandished.
en,ESV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.4,Nah 2:4,3,The chariots race madly through the streets; they rush to and fro through the squares; they gleam like torches; they dart like lightning.
en,ESV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.5,Nah 2:5,4,"He remembers his officers; they stumble as they go, they hasten to the wall; the siege tower is set up."
