languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.1,Zeph 1:1,0,"The word of the LORD that came to Zephaniah the son of Cushi, son of Gedaliah, son of Amariah, son of Hezekiah, in the days of Josiah the son of Amon, king of Judah."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.2,Zeph 1:2,1,"""I will utterly sweep away everything from the face of the earth,"" declares the LORD."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.3,Zeph 1:3,2,"""I will sweep away man and beast; I will sweep away the birds of the heavens and the fish of the sea, and the rubble with the wicked. I will cut off mankind from the face of the earth,"" declares the LORD."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.4,Zeph 1:4,3,"""I will stretch out my hand against Judah and against all the inhabitants of Jerusalem; and I will cut off from this place the remnant of Baal and the name of the idolatrous priests along with the priests,"
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.5,Zeph 1:5,4,"those who bow down on the roofs to the host of the heavens, those who bow down and swear to the LORD and yet swear by Milcom,"
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.6,Zeph 1:6,5,"those who have turned back from following the LORD, who do not seek the LORD or inquire of him."""
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.7,Zeph 1:7,6,Be silent before the Lord GOD! For the day of the LORD is near; the LORD has prepared a sacrifice and consecrated his guests.
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.8,Zeph 1:8,7,"And on the day of the LORD's sacrifice- ""I will punish the officials and the king's sons and all who array themselves in foreign attire."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.9,Zeph 1:9,8,"On that day I will punish everyone who leaps over the threshold, and those who fill their master's house with violence and fraud."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.10,Zeph 1:10,9,"""On that day,"" declares the LORD, ""a cry will be heard from the Fish Gate, a wail from the Second Quarter, a loud crash from the hills."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.11,Zeph 1:11,10,"Wail, O inhabitants of the Mortar! For all the traders are no more; all who weigh out silver are cut off."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.12,Zeph 1:12,11,"At that time I will search Jerusalem with lamps, and I will punish the men who are complacent, those who say in their hearts, 'The LORD will not do good, nor will he do ill.'"
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.13,Zeph 1:13,12,"Their goods shall be plundered, and their houses laid waste. Though they build houses, they shall not inhabit them; though they plant vineyards, they shall not drink wine from them."""
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.14,Zeph 1:14,13,"The great day of the LORD is near, near and hastening fast; the sound of the day of the LORD is bitter; the mighty man cries aloud there."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.15,Zeph 1:15,14,"A day of wrath is that day, a day of distress and anguish, a day of ruin and devastation, a day of darkness and gloom, a day of clouds and thick darkness,"
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.16,Zeph 1:16,15,a day of trumpet blast and battle cry against the fortified cities and against the lofty battlements.
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.17,Zeph 1:17,16,"I will bring distress on mankind, so that they shall walk like the blind, because they have sinned against the LORD; their blood shall be poured out like dust, and their flesh like dung."
en,ESV,Zeph,Zeph,35,Zeph.1,Zeph 1,0,Zeph.1.18,Zeph 1:18,17,"Neither their silver nor their gold shall be able to deliver them on the day of the wrath of the LORD. In the fire of his jealousy, all the earth shall be consumed; for a full and sudden end he will make of all the inhabitants of the earth."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.1,Zeph 2:1,0,"Gather together, yes, gather, O shameless nation,"
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.2,Zeph 2:2,1,"before the decree takes effect- before the day passes away like chaff- before there comes upon you the burning anger of the LORD, before there comes upon you the day of the anger of the LORD."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.3,Zeph 2:3,2,"Seek the LORD, all you humble of the land, who do his just commands; seek righteousness; seek humility; perhaps you may be hidden on the day of the anger of the LORD."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.4,Zeph 2:4,3,"For Gaza shall be deserted, and Ashkelon shall become a desolation; Ashdod's people shall be driven out at noon, and Ekron shall be uprooted."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.5,Zeph 2:5,4,"Woe to you inhabitants of the seacoast, you nation of the Cherethites! The word of the LORD is against you, O Canaan, land of the Philistines; and I will destroy you until no inhabitant is left."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.6,Zeph 2:6,5,"And you, O seacoast, shall be pastures, with meadows for shepherds and folds for flocks."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.7,Zeph 2:7,6,"The seacoast shall become the possession of the remnant of the house of Judah, on which they shall graze, and in the houses of Ashkelon they shall lie down at evening. For the LORD their God will be mindful of them and restore their fortunes."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.8,Zeph 2:8,7,"""I have heard the taunts of Moab and the revilings of the Ammonites, how they have taunted my people and made boasts against their territory."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.9,Zeph 2:9,8,"Therefore, as I live,"" declares the LORD of hosts, the God of Israel, ""Moab shall become like Sodom, and the Ammonites like Gomorrah, a land possessed by nettles and salt pits, and a waste forever. The remnant of my people shall plunder them, and the survivors of my nation shall possess them."""
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.10,Zeph 2:10,9,"This shall be their lot in return for their pride, because they taunted and boasted against the people of the LORD of hosts."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.11,Zeph 2:11,10,"The LORD will be awesome against them; for he will famish all the gods of the earth, and to him shall bow down, each in its place, all the lands of the nations."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.12,Zeph 2:12,11,"You also, O Cushites, shall be slain by my sword."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.13,Zeph 2:13,12,"And he will stretch out his hand against the north and destroy Assyria, and he will make Nineveh a desolation, a dry waste like the desert."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.14,Zeph 2:14,13,"Herds shall lie down in her midst, all kinds of beasts; even the owl and the hedgehog shall lodge in her capitals; a voice shall hoot in the window; devastation will be on the threshold; for her cedar work will be laid bare."
en,ESV,Zeph,Zeph,35,Zeph.2,Zeph 2,1,Zeph.2.15,Zeph 2:15,14,"This is the exultant city that lived securely, that said in her heart, ""I am, and there is no one else."" What a desolation she has become, a lair for wild beasts! Everyone who passes by her hisses and shakes his fist."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.1,Zeph 3:1,0,"Woe to her who is rebellious and defiled, the oppressing city!"
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.2,Zeph 3:2,1,She listens to no voice; she accepts no correction. She does not trust in the LORD; she does not draw near to her God.
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.3,Zeph 3:3,2,Her officials within her are roaring lions; her judges are evening wolves that leave nothing till the morning.
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.4,Zeph 3:4,3,"Her prophets are fickle, treacherous men; her priests profane what is holy; they do violence to the law."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.5,Zeph 3:5,4,The LORD within her is righteous; he does no injustice; every morning he shows forth his justice; each dawn he does not fail; but the unjust knows no shame.
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.6,Zeph 3:6,5,"""I have cut off nations; their battlements are in ruins; I have laid waste their streets so that no one walks in them; their cities have been made desolate, without a man, without an inhabitant."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.7,Zeph 3:7,6,"I said, 'Surely you will fear me; you will accept correction. Then your dwelling would not be cut off according to all that I have appointed against you.' But all the more they were eager to make all their deeds corrupt."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.8,Zeph 3:8,7,"""Therefore wait for me,"" declares the LORD, ""for the day when I rise up to seize the prey. For my decision is to gather nations, to assemble kingdoms, to pour out upon them my indignation, all my burning anger; for in the fire of my jealousy all the earth shall be consumed."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.9,Zeph 3:9,8,"""For at that time I will change the speech of the peoples to a pure speech, that all of them may call upon the name of the LORD and serve him with one accord."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.10,Zeph 3:10,9,"From beyond the rivers of Cush my worshipers, the daughter of my dispersed ones, shall bring my offering."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.11,Zeph 3:11,10,"""On that day you shall not be put to shame because of the deeds by which you have rebelled against me; for then I will remove from your midst your proudly exultant ones, and you shall no longer be haughty in my holy mountain."
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.12,Zeph 3:12,11,"But I will leave in your midst a people humble and lowly. They shall seek refuge in the name of the LORD,"
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.13,Zeph 3:13,12,"those who are left in Israel; they shall do no injustice and speak no lies, nor shall there be found in their mouth a deceitful tongue. For they shall graze and lie down, and none shall make them afraid."""
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.14,Zeph 3:14,13,"Sing aloud, O daughter of Zion; shout, O Israel! Rejoice and exult with all your heart, O daughter of Jerusalem!"
en,ESV,Zeph,Zeph,35,Zeph.3,Zeph 3,2,Zeph.3.15,Zeph 3:15,14,"The LORD has taken away the judgments against you; he has cleared away your enemies. The King of Israel, the LORD, is in your midst; you shall never again fear evil."
