languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.1,Zech 1:1,0,"In the eighth month, in the second year of Darius, the word of the LORD came to the prophet Zechariah, the son of Berechiah, son of Iddo, saying,"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.2,Zech 1:2,1,"""The LORD was very angry with your fathers."
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.3,Zech 1:3,2,"Therefore say to them, Thus declares the LORD of hosts: Return to me, says the LORD of hosts, and I will return to you, says the LORD of hosts."
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.4,Zech 1:4,3,"Do not be like your fathers, to whom the former prophets cried out, 'Thus says the LORD of hosts, Return from your evil ways and from your evil deeds.' But they did not hear or pay attention to me, declares the LORD."
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.5,Zech 1:5,4,"Your fathers, where are they? And the prophets, do they live forever?"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.6,Zech 1:6,5,"But my words and my statutes, which I commanded my servants the prophets, did they not overtake your fathers? So they repented and said, As the LORD of hosts purposed to deal with us for our ways and deeds, so has he dealt with us."""
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.7,Zech 1:7,6,"On the twenty-fourth day of the eleventh month, which is the month of Shebat, in the second year of Darius, the word of the LORD came to the prophet Zechariah, the son of Berechiah, son of Iddo, saying,"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.8,Zech 1:8,7,"""I saw in the night, and behold, a man riding on a red horse! He was standing among the myrtle trees in the glen, and behind him were red, sorrel, and white horses."
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.9,Zech 1:9,8,"Then I said, 'What are these, my lord?' The angel who talked with me said to me, 'I will show you what they are.'"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.10,Zech 1:10,9,"So the man who was standing among the myrtle trees answered, 'These are they whom the LORD has sent to patrol the earth.'"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.11,Zech 1:11,10,"And they answered the angel of the LORD who was standing among the myrtle trees, and said, 'We have patrolled the earth, and behold, all the earth remains at rest.'"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.12,Zech 1:12,11,"Then the angel of the LORD said, 'O LORD of hosts, how long will you have no mercy on Jerusalem and the cities of Judah, against which you have been angry these seventy years?'"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.13,Zech 1:13,12,And the LORD answered gracious and comforting words to the angel who talked with me.
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.14,Zech 1:14,13,"So the angel who talked with me said to me, 'Cry out, Thus says the LORD of hosts: I am exceedingly jealous for Jerusalem and for Zion."
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.15,Zech 1:15,14,"And I am exceedingly angry with the nations that are at ease; for while I was angry but a little, they furthered the disaster."
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.16,Zech 1:16,15,"Therefore, thus says the LORD, I have returned to Jerusalem with mercy; my house shall be built in it, declares the LORD of hosts, and the measuring line shall be stretched out over Jerusalem."
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.17,Zech 1:17,16,"Cry out again, Thus says the LORD of hosts: My cities shall again overflow with prosperity, and the LORD will again comfort Zion and again choose Jerusalem.'"""
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.18,Zech 1:18,17,"And I lifted my eyes and saw, and behold, four horns!"
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.19,Zech 1:19,18,"And I said to the angel who talked with me, ""What are these?"" And he said to me, ""These are the horns that have scattered Judah, Israel, and Jerusalem."""
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.20,Zech 1:20,19,Then the LORD showed me four craftsmen.
en,ESV,Zech,Zech,37,Zech.1,Zech 1,0,Zech.1.21,Zech 1:21,20,"And I said, ""What are these coming to do?"" He said, ""These are the horns that scattered Judah, so that no one raised his head. And these have come to terrify them, to cast down the horns of the nations who lifted up their horns against the land of Judah to scatter it."""
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.1,Zech 2:1,0,"And I lifted my eyes and saw, and behold, a man with a measuring line in his hand!"
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.2,Zech 2:2,1,"Then I said, ""Where are you going?"" And he said to me, ""To measure Jerusalem, to see what is its width and what is its length."""
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.3,Zech 2:3,2,"And behold, the angel who talked with me came forward, and another angel came forward to meet him"
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.4,Zech 2:4,3,"and said to him, ""Run, say to that young man, 'Jerusalem shall be inhabited as villages without walls, because of the multitude of people and livestock in it."
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.5,Zech 2:5,4,"And I will be to her a wall of fire all around, declares the LORD, and I will be the glory in her midst.'"""
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.6,Zech 2:6,5,"Up! Up! Flee from the land of the north, declares the LORD. For I have spread you abroad as the four winds of the heavens, declares the LORD."
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.7,Zech 2:7,6,"Up! Escape to Zion, you who dwell with the daughter of Babylon."
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.8,Zech 2:8,7,"For thus said the LORD of hosts, after his glory sent me to the nations who plundered you, for he who touches you touches the apple of his eye:"
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.9,Zech 2:9,8,"""Behold, I will shake my hand over them, and they shall become plunder for those who served them. Then you will know that the LORD of hosts has sent me."
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.10,Zech 2:10,9,"Sing and rejoice, O daughter of Zion, for behold, I come and I will dwell in your midst, declares the LORD."
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.11,Zech 2:11,10,"And many nations shall join themselves to the LORD in that day, and shall be my people. And I will dwell in your midst, and you shall know that the LORD of hosts has sent me to you."
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.12,Zech 2:12,11,"And the LORD will inherit Judah as his portion in the holy land, and will again choose Jerusalem."""
en,ESV,Zech,Zech,37,Zech.2,Zech 2,1,Zech.2.13,Zech 2:13,12,"Be silent, all flesh, before the LORD, for he has roused himself from his holy dwelling."
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.1,Zech 3:1,0,"Then he showed me Joshua the high priest standing before the angel of the LORD, and Satan standing at his right hand to accuse him."
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.2,Zech 3:2,1,"And the LORD said to Satan, ""The LORD rebuke you, O Satan! The LORD who has chosen Jerusalem rebuke you! Is not this a brand plucked from the fire?"""
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.3,Zech 3:3,2,"Now Joshua was standing before the angel, clothed with filthy garments."
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.4,Zech 3:4,3,"And the angel said to those who were standing before him, ""Remove the filthy garments from him."" And to him he said, ""Behold, I have taken your iniquity away from you, and I will clothe you with pure vestments."""
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.5,Zech 3:5,4,"And I said, ""Let them put a clean turban on his head."" So they put a clean turban on his head and clothed him with garments. And the angel of the LORD was standing by."
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.6,Zech 3:6,5,"And the angel of the LORD solemnly assured Joshua,"
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.7,Zech 3:7,6,"""Thus says the LORD of hosts: If you will walk in my ways and keep my charge, then you shall rule my house and have charge of my courts, and I will give you the right of access among those who are standing here."
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.8,Zech 3:8,7,"Hear now, O Joshua the high priest, you and your friends who sit before you, for they are men who are a sign: behold, I will bring my servant the Branch."
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.9,Zech 3:9,8,"For behold, on the stone that I have set before Joshua, on a single stone with seven eyes, I will engrave its inscription, declares the LORD of hosts, and I will remove the iniquity of this land in a single day."
en,ESV,Zech,Zech,37,Zech.3,Zech 3,2,Zech.3.10,Zech 3:10,9,"In that day, declares the LORD of hosts, every one of you will invite his neighbor to come under his vine and under his fig tree."""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.1,Zech 4:1,0,"And the angel who talked with me came again and woke me, like a man who is awakened out of his sleep."
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.2,Zech 4:2,1,"And he said to me, ""What do you see?"" I said, ""I see, and behold, a lampstand all of gold, with a bowl on the top of it, and seven lamps on it, with seven lips on each of the lamps that are on the top of it."
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.3,Zech 4:3,2,"And there are two olive trees by it, one on the right of the bowl and the other on its left."""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.4,Zech 4:4,3,"And I said to the angel who talked with me, ""What are these, my lord?"""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.5,Zech 4:5,4,"Then the angel who talked with me answered and said to me, ""Do you not know what these are?"" I said, ""No, my lord."""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.6,Zech 4:6,5,"Then he said to me, ""This is the word of the LORD to Zerubbabel: Not by might, nor by power, but by my Spirit, says the LORD of hosts."
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.7,Zech 4:7,6,"Who are you, O great mountain? Before Zerubbabel you shall become a plain. And he shall bring forward the top stone amid shouts of 'Grace, grace to it!'"""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.8,Zech 4:8,7,"Then the word of the LORD came to me, saying,"
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.9,Zech 4:9,8,"""The hands of Zerubbabel have laid the foundation of this house; his hands shall also complete it. Then you will know that the LORD of hosts has sent me to you."
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.10,Zech 4:10,9,"For whoever has despised the day of small things shall rejoice, and shall see the plumb line in the hand of Zerubbabel. ""These seven are the eyes of the LORD, which range through the whole earth."""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.11,Zech 4:11,10,"Then I said to him, ""What are these two olive trees on the right and the left of the lampstand?"""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.12,Zech 4:12,11,"And a second time I answered and said to him, ""What are these two branches of the olive trees, which are beside the two golden pipes from which the golden oil is poured out?"""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.13,Zech 4:13,12,"He said to me, ""Do you not know what these are?"" I said, ""No, my lord."""
en,ESV,Zech,Zech,37,Zech.4,Zech 4,3,Zech.4.14,Zech 4:14,13,"Then he said, ""These are the two anointed ones who stand by the Lord of the whole earth."""
en,ESV,Zech,Zech,37,Zech.5,Zech 5,4,Zech.5.1,Zech 5:1,0,"Again I lifted my eyes and saw, and behold, a flying scroll!"
en,ESV,Zech,Zech,37,Zech.5,Zech 5,4,Zech.5.2,Zech 5:2,1,"And he said to me, ""What do you see?"" I answered, ""I see a flying scroll. Its length is twenty cubits, and its width ten cubits."""
en,ESV,Zech,Zech,37,Zech.5,Zech 5,4,Zech.5.3,Zech 5:3,2,"Then he said to me, ""This is the curse that goes out over the face of the whole land. For everyone who steals shall be cleaned out according to what is on one side, and everyone who swears falsely shall be cleaned out according to what is on the other side."
