languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.1,Mal 1:1,0,The oracle of the word of the LORD to Israel by Malachi.
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.2,Mal 1:2,1,"""I have loved you,"" says the LORD. But you say, ""How have you loved us?"" ""Is not Esau Jacob's brother?"" declares the LORD. ""Yet I have loved Jacob"
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.3,Mal 1:3,2,"but Esau I have hated. I have laid waste his hill country and left his heritage to jackals of the desert."""
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.4,Mal 1:4,3,"If Edom says, ""We are shattered but we will rebuild the ruins,"" the LORD of hosts says, ""They may build, but I will tear down, and they will be called 'the wicked country,' and 'the people with whom the LORD is angry forever.'"""
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.5,Mal 1:5,4,"Your own eyes shall see this, and you shall say, ""Great is the LORD beyond the border of Israel!"""
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.6,Mal 1:6,5,"""A son honors his father, and a servant his master. If then I am a father, where is my honor? And if I am a master, where is my fear? says the LORD of hosts to you, O priests, who despise my name. But you say, 'How have we despised your name?'"
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.7,Mal 1:7,6,"By offering polluted food upon my altar. But you say, 'How have we polluted you?' By saying that the LORD's table may be despised."
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.8,Mal 1:8,7,"When you offer blind animals in sacrifice, is that not evil? And when you offer those that are lame or sick, is that not evil? Present that to your governor; will he accept you or show you favor? says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.9,Mal 1:9,8,"And now entreat the favor of God, that he may be gracious to us. With such a gift from your hand, will he show favor to any of you? says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.10,Mal 1:10,9,"Oh that there were one among you who would shut the doors, that you might not kindle fire on my altar in vain! I have no pleasure in you, says the LORD of hosts, and I will not accept an offering from your hand."
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.11,Mal 1:11,10,"For from the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.12,Mal 1:12,11,"But you profane it when you say that the Lord's table is polluted, and its fruit, that is, its food may be despised."
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.13,Mal 1:13,12,"But you say, 'What a weariness this is,' and you snort at it, says the LORD of hosts. You bring what has been taken by violence or is lame or sick, and this you bring as your offering! Shall I accept that from your hand? says the LORD."
en,ESV,Mal,Mal,38,Mal.1,Mal 1,0,Mal.1.14,Mal 1:14,13,"Cursed be the cheat who has a male in his flock, and vows it, and yet sacrifices to the Lord what is blemished. For I am a great King, says the LORD of hosts, and my name will be feared among the nations."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.1,Mal 2:1,0,"""And now, O priests, this command is for you."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.2,Mal 2:2,1,"If you will not listen, if you will not take it to heart to give honor to my name, says the LORD of hosts, then I will send the curse upon you and I will curse your blessings. Indeed, I have already cursed them, because you do not lay it to heart."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.3,Mal 2:3,2,"Behold, I will rebuke your offspring, and spread dung on your faces, the dung of your offerings, and you shall be taken away with it."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.4,Mal 2:4,3,"So shall you know that I have sent this command to you, that my covenant with Levi may stand, says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.5,Mal 2:5,4,"My covenant with him was one of life and peace, and I gave them to him. It was a covenant of fear, and he feared me. He stood in awe of my name."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.6,Mal 2:6,5,"True instruction was in his mouth, and no wrong was found on his lips. He walked with me in peace and uprightness, and he turned many from iniquity."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.7,Mal 2:7,6,"For the lips of a priest should guard knowledge, and people should seek instruction from his mouth, for he is the messenger of the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.8,Mal 2:8,7,"But you have turned aside from the way. You have caused many to stumble by your instruction. You have corrupted the covenant of Levi, says the LORD of hosts,"
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.9,Mal 2:9,8,"and so I make you despised and abased before all the people, inasmuch as you do not keep my ways but show partiality in your instruction."""
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.10,Mal 2:10,9,"Have we not all one Father? Has not one God created us? Why then are we faithless to one another, profaning the covenant of our fathers?"
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.11,Mal 2:11,10,"Judah has been faithless, and abomination has been committed in Israel and in Jerusalem. For Judah has profaned the sanctuary of the LORD, which he loves, and has married the daughter of a foreign god."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.12,Mal 2:12,11,"May the LORD cut off from the tents of Jacob, any descendant of the man who does this, who brings an offering to the LORD of hosts!"
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.13,Mal 2:13,12,"And this second thing you do. You cover the LORD's altar with tears, with weeping and groaning because he no longer regards the offering or accepts it with favor from your hand."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.14,Mal 2:14,13,"But you say, ""Why does he not?"" Because the LORD was witness between you and the wife of your youth, to whom you have been faithless, though she is your companion and your wife by covenant."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.15,Mal 2:15,14,"Did he not make them one, with a portion of the Spirit in their union? And what was the one God seeking? Godly offspring. So guard yourselves in your spirit, and let none of you be faithless to the wife of your youth."
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.16,Mal 2:16,15,"""For the man who hates and divorces, says the LORD, the God of Israel, covers his garment with violence, says the LORD of hosts. So guard yourselves in your spirit, and do not be faithless."""
en,ESV,Mal,Mal,38,Mal.2,Mal 2,1,Mal.2.17,Mal 2:17,16,"You have wearied the LORD with your words. But you say, ""How have we wearied him?"" By saying, ""Everyone who does evil is good in the sight of the LORD, and he delights in them."" Or by asking, ""Where is the God of justice?"""
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.1,Mal 3:1,0,"""Behold, I send my messenger and he will prepare the way before me. And the Lord whom you seek will suddenly come to his temple; and the messenger of the covenant in whom you delight, behold, he is coming, says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.2,Mal 3:2,1,"But who can endure the day of his coming, and who can stand when he appears? For he is like a refiner's fire and like fullers' soap."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.3,Mal 3:3,2,"He will sit as a refiner and purifier of silver, and he will purify the sons of Levi and refine them like gold and silver, and they will bring offerings in righteousness to the LORD."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.4,Mal 3:4,3,Then the offering of Judah and Jerusalem will be pleasing to the LORD as in the days of old and as in former years.
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.5,Mal 3:5,4,"""Then I will draw near to you for judgment. I will be a swift witness against the sorcerers, against the adulterers, against those who swear falsely, against those who oppress the hired worker in his wages, the widow and the fatherless, against those who thrust aside the sojourner, and do not fear me, says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.6,Mal 3:6,5,"""For I the LORD do not change; therefore you, O children of Jacob, are not consumed."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.7,Mal 3:7,6,"From the days of your fathers you have turned aside from my statutes and have not kept them. Return to me, and I will return to you, says the LORD of hosts. But you say, 'How shall we return?'"
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.8,Mal 3:8,7,"Will man rob God? Yet you are robbing me. But you say, 'How have we robbed you?' In your tithes and contributions."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.9,Mal 3:9,8,"You are cursed with a curse, for you are robbing me, the whole nation of you."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.10,Mal 3:10,9,"Bring the full tithes into the storehouse, that there may be food in my house. And thereby put me to the test, says the LORD of hosts, if I will not open the windows of heaven for you and pour down for you a blessing until there is no more need."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.11,Mal 3:11,10,"I will rebuke the devourer for you, so that it will not destroy the fruits of your soil, and your vine in the field shall not fail to bear, says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.12,Mal 3:12,11,"Then all nations will call you blessed, for you will be a land of delight, says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.13,Mal 3:13,12,"""Your words have been hard against me, says the LORD. But you say, 'How have we spoken against you?'"
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.14,Mal 3:14,13,"You have said, 'It is vain to serve God. What is the profit of our keeping his charge or of walking as in mourning before the LORD of hosts?"
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.15,Mal 3:15,14,"And now we call the arrogant blessed. Evildoers not only prosper but they put God to the test and they escape.'"""
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.16,Mal 3:16,15,"Then those who feared the LORD spoke with one another. The LORD paid attention and heard them, and a book of remembrance was written before him of those who feared the LORD and esteemed his name."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.17,Mal 3:17,16,"""They shall be mine, says the LORD of hosts, in the day when I make up my treasured possession, and I will spare them as a man spares his son who serves him."
en,ESV,Mal,Mal,38,Mal.3,Mal 3,2,Mal.3.18,Mal 3:18,17,"Then once more you shall see the distinction between the righteous and the wicked, between one who serves God and one who does not serve him."
en,ESV,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.1,Mal 4:1,0,"""For behold, the day is coming, burning like an oven, when all the arrogant and all evildoers will be stubble. The day that is coming shall set them ablaze, says the LORD of hosts, so that it will leave them neither root nor branch."
en,ESV,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.2,Mal 4:2,1,"But for you who fear my name, the sun of righteousness shall rise with healing in its wings. You shall go out leaping like calves from the stall."
en,ESV,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.3,Mal 4:3,2,"And you shall tread down the wicked, for they will be ashes under the soles of your feet, on the day when I act, says the LORD of hosts."
en,ESV,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.4,Mal 4:4,3,"""Remember the law of my servant Moses, the statutes and rules that I commanded him at Horeb for all Israel."
en,ESV,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.5,Mal 4:5,4,"""Behold, I will send you Elijah the prophet before the great and awesome day of the LORD comes."
en,ESV,Mal,Mal,38,Mal.4,Mal 4,3,Mal.4.6,Mal 4:6,5,"And he will turn the hearts of fathers to their children and the hearts of children to their fathers, lest I come and strike the land with a decree of utter destruction."""
