languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.1,Mark 1:1,0,"The beginning of the gospel of Jesus Christ, the Son of God."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.2,Mark 1:2,1,"As it is written in Isaiah the prophet, ""Behold, I send my messenger before your face, who will prepare your way,"
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.3,Mark 1:3,2,"the voice of one crying in the wilderness: Prepare the way of the Lord, make his paths straight."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.4,Mark 1:4,3,"John appeared, baptizing in the wilderness and proclaiming a baptism of repentance for the forgiveness of sins."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.5,Mark 1:5,4,"And all the country of Judea and all Jerusalem were going out to him and were being baptized by him in the river Jordan, confessing their sins."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.6,Mark 1:6,5,Now John was clothed with camel's hair and wore a leather belt around his waist and ate locusts and wild honey.
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.7,Mark 1:7,6,"And he preached, saying, ""After me comes he who is mightier than I, the strap of whose sandals I am not worthy to stoop down and untie."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.8,Mark 1:8,7,"I have baptized you with water, but he will baptize you with the Holy Spirit."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.9,Mark 1:9,8,In those days Jesus came from Nazareth of Galilee and was baptized by John in the Jordan.
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.10,Mark 1:10,9,"And when he came up out of the water, immediately he saw the heavens opening and the Spirit descending on him like a dove."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.11,Mark 1:11,10,"And a voice came from heaven, ""You are my beloved Son; with you I am well pleased."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.12,Mark 1:12,11,The Spirit immediately drove him out into the wilderness.
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.13,Mark 1:13,12,"And he was in the wilderness forty days, being tempted by Satan. And he was with the wild animals, and the angels were ministering to him."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.14,Mark 1:14,13,"Now after John was arrested, Jesus came into Galilee, proclaiming the gospel of God,"
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.15,Mark 1:15,14,"and saying, ""The time is fulfilled, and the kingdom of God is at hand; repent and believe in the gospel."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.16,Mark 1:16,15,"Passing alongside the Sea of Galilee, he saw Simon and Andrew the brother of Simon casting a net into the sea, for they were fishermen."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.17,Mark 1:17,16,"And Jesus said to them, ""Follow me, and I will make you become fishers of men."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.18,Mark 1:18,17,And immediately they left their nets and followed him.
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.19,Mark 1:19,18,"And going on a little farther, he saw James the son of Zebedee and John his brother, who were in their boat mending the nets."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.20,Mark 1:20,19,"And immediately he called them, and they left their father Zebedee in the boat with the hired servants and followed him."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.21,Mark 1:21,20,"And they went into Capernaum, and immediately on the Sabbath he entered the synagogue and was teaching."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.22,Mark 1:22,21,"And they were astonished at his teaching, for he taught them as one who had authority, and not as the scribes."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.23,Mark 1:23,22,"And immediately there was in their synagogue a man with an unclean spirit. And he cried out,"
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.24,Mark 1:24,23,"""What have you to do with us, Jesus of Nazareth? Have you come to destroy us? I know who you are- the Holy One of God."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.25,Mark 1:25,24,"But Jesus rebuked him, saying, ""Be silent, and come out of him!"""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.26,Mark 1:26,25,"And the unclean spirit, convulsing him and crying out with a loud voice, came out of him."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.27,Mark 1:27,26,"And they were all amazed, so that they questioned among themselves, saying, ""What is this? A new teaching with authority! He commands even the unclean spirits, and they obey him."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.28,Mark 1:28,27,And at once his fame spread everywhere throughout all the surrounding region of Galilee.
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.29,Mark 1:29,28,"And immediately he left the synagogue and entered the house of Simon and Andrew, with James and John."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.30,Mark 1:30,29,"Now Simon's mother-in-law lay ill with a fever, and immediately they told him about her."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.31,Mark 1:31,30,"And he came and took her by the hand and lifted her up, and the fever left her, and she began to serve them."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.32,Mark 1:32,31,That evening at sundown they brought to him all who were sick or oppressed by demons.
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.33,Mark 1:33,32,And the whole city was gathered together at the door.
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.34,Mark 1:34,33,"And he healed many who were sick with various diseases, and cast out many demons. And he would not permit the demons to speak, because they knew him."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.35,Mark 1:35,34,"And rising very early in the morning, while it was still dark, he departed and went out to a desolate place, and there he prayed."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.36,Mark 1:36,35,"And Simon and those who were with him searched for him,"
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.37,Mark 1:37,36,"and they found him and said to him, ""Everyone is looking for you."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.38,Mark 1:38,37,"And he said to them, ""Let us go on to the next towns, that I may preach there also, for that is why I came out."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.39,Mark 1:39,38,"And he went throughout all Galilee, preaching in their synagogues and casting out demons."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.40,Mark 1:40,39,"And a leper came to him, imploring him, and kneeling said to him, ""If you will, you can make me clean."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.41,Mark 1:41,40,"Moved with pity, he stretched out his hand and touched him and said to him, ""I will; be clean."""
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.42,Mark 1:42,41,"And immediately the leprosy left him, and he was made clean."
en,ESV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.43,Mark 1:43,42,"And Jesus sternly charged him and sent him away at once,"
