languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.1,Luke 1:1,0,"Inasmuch as many have undertaken to compile a narrative of the things that have been accomplished among us,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.2,Luke 1:2,1,"just as those who from the beginning were eyewitnesses and ministers of the word have delivered them to us,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.3,Luke 1:3,2,"it seemed good to me also, having followed all things closely for some time past, to write an orderly account for you, most excellent Theophilus,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.4,Luke 1:4,3,that you may have certainty concerning the things you have been taught.
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.5,Luke 1:5,4,"In the days of Herod, king of Judea, there was a priest named Zechariah, of the division of Abijah. And he had a wife from the daughters of Aaron, and her name was Elizabeth."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.6,Luke 1:6,5,"And they were both righteous before God, walking blamelessly in all the commandments and statutes of the Lord."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.7,Luke 1:7,6,"But they had no child, because Elizabeth was barren, and both were advanced in years."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.8,Luke 1:8,7,"Now while he was serving as priest before God when his division was on duty,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.9,Luke 1:9,8,"according to the custom of the priesthood, he was chosen by lot to enter the temple of the Lord and burn incense."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.10,Luke 1:10,9,And the whole multitude of the people were praying outside at the hour of incense.
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.11,Luke 1:11,10,And there appeared to him an angel of the Lord standing on the right side of the altar of incense.
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.12,Luke 1:12,11,"And Zechariah was troubled when he saw him, and fear fell upon him."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.13,Luke 1:13,12,"But the angel said to him, ""Do not be afraid, Zechariah, for your prayer has been heard, and your wife Elizabeth will bear you a son, and you shall call his name John."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.14,Luke 1:14,13,"And you will have joy and gladness, and many will rejoice at his birth,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.15,Luke 1:15,14,"for he will be great before the Lord. And he must not drink wine or strong drink, and he will be filled with the Holy Spirit, even from his mother's womb."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.16,Luke 1:16,15,"And he will turn many of the children of Israel to the Lord their God,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.17,Luke 1:17,16,"and he will go before him in the spirit and power of Elijah, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just, to make ready for the Lord a people prepared."""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.18,Luke 1:18,17,"And Zechariah said to the angel, ""How shall I know this? For I am an old man, and my wife is advanced in years."""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.19,Luke 1:19,18,"And the angel answered him, ""I am Gabriel, who stands in the presence of God, and I was sent to speak to you and to bring you this good news."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.20,Luke 1:20,19,"And behold, you will be silent and unable to speak until the day that these things take place, because you did not believe my words, which will be fulfilled in their time."""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.21,Luke 1:21,20,"And the people were waiting for Zechariah, and they were wondering at his delay in the temple."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.22,Luke 1:22,21,"And when he came out, he was unable to speak to them, and they realized that he had seen a vision in the temple. And he kept making signs to them and remained mute."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.23,Luke 1:23,22,"And when his time of service was ended, he went to his home."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.24,Luke 1:24,23,"After these days his wife Elizabeth conceived, and for five months she kept herself hidden, saying,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.25,Luke 1:25,24,"""Thus the Lord has done for me in the days when he looked on me, to take away my reproach among people."""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.26,Luke 1:26,25,"In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.27,Luke 1:27,26,"to a virgin betrothed to a man whose name was Joseph, of the house of David. And the virgin's name was Mary."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.28,Luke 1:28,27,"And he came to her and said, ""Greetings, O favored one, the Lord is with you!"""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.29,Luke 1:29,28,"But she was greatly troubled at the saying, and tried to discern what sort of greeting this might be."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.30,Luke 1:30,29,"And the angel said to her, ""Do not be afraid, Mary, for you have found favor with God."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.31,Luke 1:31,30,"And behold, you will conceive in your womb and bear a son, and you shall call his name Jesus."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.32,Luke 1:32,31,"He will be great and will be called the Son of the Most High. And the Lord God will give to him the throne of his father David,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.33,Luke 1:33,32,"and he will reign over the house of Jacob forever, and of his kingdom there will be no end."""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.34,Luke 1:34,33,"And Mary said to the angel, ""How will this be, since I am a virgin?"""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.35,Luke 1:35,34,"And the angel answered her, ""The Holy Spirit will come upon you, and the power of the Most High will overshadow you; therefore the child to be born will be called holy- the Son of God."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.36,Luke 1:36,35,"And behold, your relative Elizabeth in her old age has also conceived a son, and this is the sixth month with her who was called barren."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.37,Luke 1:37,36,"For nothing will be impossible with God."""
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.38,Luke 1:38,37,"And Mary said, ""Behold, I am the servant of the Lord; let it be to me according to your word."" And the angel departed from her."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.39,Luke 1:39,38,"In those days Mary arose and went with haste into the hill country, to a town in Judah,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.40,Luke 1:40,39,and she entered the house of Zechariah and greeted Elizabeth.
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.41,Luke 1:41,40,"And when Elizabeth heard the greeting of Mary, the baby leaped in her womb. And Elizabeth was filled with the Holy Spirit,"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.42,Luke 1:42,41,"and she exclaimed with a loud cry, ""Blessed are you among women, and blessed is the fruit of your womb!"
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.43,Luke 1:43,42,And why is this granted to me that the mother of my Lord should come to me?
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.44,Luke 1:44,43,"For behold, when the sound of your greeting came to my ears, the baby in my womb leaped for joy."
en,ESV,Luke,Luke,41,Luke.1,Luke 1,0,Luke.1.45,Luke 1:45,44,"And blessed is she who believed that there would be a fulfillment of what was spoken to her from the Lord."""
