languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.1,Gal 1:1,0,"Paul, an apostle- not from men nor through man, but through Jesus Christ and God the Father, who raised him from the dead-"
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.2,Gal 1:2,1,"and all the brothers who are with me, To the churches of Galatia:"
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.3,Gal 1:3,2,"Grace to you and peace from God our Father and the Lord Jesus Christ,"
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.4,Gal 1:4,3,"who gave himself for our sins to deliver us from the present evil age, according to the will of our God and Father,"
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.5,Gal 1:5,4,to whom be the glory forever and ever. Amen.
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.6,Gal 1:6,5,I am astonished that you are so quickly deserting him who called you in the grace of Christ and are turning to a different gospel-
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.7,Gal 1:7,6,"not that there is another one, but there are some who trouble you and want to distort the gospel of Christ."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.8,Gal 1:8,7,"But even if we or an angel from heaven should preach to you a gospel contrary to the one we preached to you, let him be accursed."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.9,Gal 1:9,8,"As we have said before, so now I say again: If anyone is preaching to you a gospel contrary to the one you received, let him be accursed."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.10,Gal 1:10,9,"For am I now seeking the approval of man, or of God? Or am I trying to please man? If I were still trying to please man, I would not be a servant of Christ."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.11,Gal 1:11,10,"For I would have you know, brothers, that the gospel that was preached by me is not man's gospel."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.12,Gal 1:12,11,"For I did not receive it from any man, nor was I taught it, but I received it through a revelation of Jesus Christ."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.13,Gal 1:13,12,"For you have heard of my former life in Judaism, how I persecuted the church of God violently and tried to destroy it."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.14,Gal 1:14,13,"And I was advancing in Judaism beyond many of my own age among my people, so extremely zealous was I for the traditions of my fathers."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.15,Gal 1:15,14,"But when he who had set me apart before I was born, and who called me by his grace,"
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.16,Gal 1:16,15,"was pleased to reveal his Son to me, in order that I might preach him among the Gentiles, I did not immediately consult with anyone;"
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.17,Gal 1:17,16,"nor did I go up to Jerusalem to those who were apostles before me, but I went away into Arabia, and returned again to Damascus."
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.18,Gal 1:18,17,Then after three years I went up to Jerusalem to visit Cephas and remained with him fifteen days.
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.19,Gal 1:19,18,But I saw none of the other apostles except James the Lord's brother.
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.20,Gal 1:20,19,"(In what I am writing to you, before God, I do not lie!)"
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.21,Gal 1:21,20,Then I went into the regions of Syria and Cilicia.
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.22,Gal 1:22,21,And I was still unknown in person to the churches of Judea that are in Christ.
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.23,Gal 1:23,22,"They only were hearing it said, ""He who used to persecute us is now preaching the faith he once tried to destroy."""
en,ESV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.24,Gal 1:24,23,And they glorified God because of me.
