languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.1,Eph 1:1,0,"Paul, an apostle of Christ Jesus by the will of God, To the saints who are in Ephesus, and are faithful in Christ Jesus:"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.2,Eph 1:2,1,Grace to you and peace from God our Father and the Lord Jesus Christ.
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.3,Eph 1:3,2,"Blessed be the God and Father of our Lord Jesus Christ, who has blessed us in Christ with every spiritual blessing in the heavenly places,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.4,Eph 1:4,3,"even as he chose us in him before the foundation of the world, that we should be holy and blameless before him. In love"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.5,Eph 1:5,4,"he predestined us for adoption through Jesus Christ, according to the purpose of his will,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.6,Eph 1:6,5,"to the praise of his glorious grace, with which he has blessed us in the Beloved."
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.7,Eph 1:7,6,"In him we have redemption through his blood, the forgiveness of our trespasses, according to the riches of his grace,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.8,Eph 1:8,7,"which he lavished upon us, in all wisdom and insight"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.9,Eph 1:9,8,"making known to us the mystery of his will, according to his purpose, which he set forth in Christ"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.10,Eph 1:10,9,"as a plan for the fullness of time, to unite all things in him, things in heaven and things on earth."
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.11,Eph 1:11,10,"In him we have obtained an inheritance, having been predestined according to the purpose of him who works all things according to the counsel of his will,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.12,Eph 1:12,11,so that we who were the first to hope in Christ might be to the praise of his glory.
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.13,Eph 1:13,12,"In him you also, when you heard the word of truth, the gospel of your salvation, and believed in him, were sealed with the promised Holy Spirit,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.14,Eph 1:14,13,"who is the guarantee of our inheritance until we acquire possession of it, to the praise of his glory."
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.15,Eph 1:15,14,"For this reason, because I have heard of your faith in the Lord Jesus and your love toward all the saints,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.16,Eph 1:16,15,"I do not cease to give thanks for you, remembering you in my prayers,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.17,Eph 1:17,16,"that the God of our Lord Jesus Christ, the Father of glory, may give you a spirit of wisdom and of revelation in the knowledge of him,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.18,Eph 1:18,17,"having the eyes of your hearts enlightened, that you may know what is the hope to which he has called you, what are the riches of his glorious inheritance in the saints,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.19,Eph 1:19,18,"and what is the immeasurable greatness of his power toward us who believe, according to the working of his great might"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.20,Eph 1:20,19,"that he worked in Christ when he raised him from the dead and seated him at his right hand in the heavenly places,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.21,Eph 1:21,20,"far above all rule and authority and power and dominion, and above every name that is named, not only in this age but also in the one to come."
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.22,Eph 1:22,21,"And he put all things under his feet and gave him as head over all things to the church,"
en,ESV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.23,Eph 1:23,22,"which is his body, the fullness of him who fills all in all."
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.1,Eph 2:1,0,And you were dead in the trespasses and sins
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.2,Eph 2:2,1,"in which you once walked, following the course of this world, following the prince of the power of the air, the spirit that is now at work in the sons of disobedience-"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.3,Eph 2:3,2,"among whom we all once lived in the passions of our flesh, carrying out the desires of the body and the mind, and were by nature children of wrath, like the rest of mankind."
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.4,Eph 2:4,3,"But God, being rich in mercy, because of the great love with which he loved us,"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.5,Eph 2:5,4,"even when we were dead in our trespasses, made us alive together with Christ- by grace you have been saved-"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.6,Eph 2:6,5,"and raised us up with him and seated us with him in the heavenly places in Christ Jesus,"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.7,Eph 2:7,6,so that in the coming ages he might show the immeasurable riches of his grace in kindness toward us in Christ Jesus.
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.8,Eph 2:8,7,"For by grace you have been saved through faith. And this is not your own doing; it is the gift of God,"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.9,Eph 2:9,8,"not a result of works, so that no one may boast."
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.10,Eph 2:10,9,"For we are his workmanship, created in Christ Jesus for good works, which God prepared beforehand, that we should walk in them."
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.11,Eph 2:11,10,"Therefore remember that at one time you Gentiles in the flesh, called ""the uncircumcision"" by what is called the circumcision, which is made in the flesh by hands-"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.12,Eph 2:12,11,"remember that you were at that time separated from Christ, alienated from the commonwealth of Israel and strangers to the covenants of promise, having no hope and without God in the world."
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.13,Eph 2:13,12,But now in Christ Jesus you who once were far off have been brought near by the blood of Christ.
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.14,Eph 2:14,13,"For he himself is our peace, who has made us both one and has broken down in his flesh the dividing wall of hostility"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.15,Eph 2:15,14,"by abolishing the law of commandments and ordinances, that he might create in himself one new man in place of the two, so making peace,"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.16,Eph 2:16,15,"and might reconcile us both to God in one body through the cross, thereby killing the hostility."
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.17,Eph 2:17,16,And he came and preached peace to you who were far off and peace to those who were near.
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.18,Eph 2:18,17,For through him we both have access in one Spirit to the Father.
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.19,Eph 2:19,18,"So then you are no longer strangers and aliens, but you are fellow citizens with the saints and members of the household of God,"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.20,Eph 2:20,19,"built on the foundation of the apostles and prophets, Christ Jesus himself being the cornerstone,"
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.21,Eph 2:21,20,"in whom the whole structure, being joined together, grows into a holy temple in the Lord."
en,ESV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.22,Eph 2:22,21,In him you also are being built together into a dwelling place for God by the Spirit.
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.1,Eph 3:1,0,"For this reason I, Paul, a prisoner for Christ Jesus on behalf of you Gentiles-"
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.2,Eph 3:2,1,"assuming that you have heard of the stewardship of God's grace that was given to me for you,"
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.3,Eph 3:3,2,"how the mystery was made known to me by revelation, as I have written briefly."
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.4,Eph 3:4,3,"When you read this, you can perceive my insight into the mystery of Christ,"
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.5,Eph 3:5,4,which was not made known to the sons of men in other generations as it has now been revealed to his holy apostles and prophets by the Spirit.
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.6,Eph 3:6,5,"This mystery is that the Gentiles are fellow heirs, members of the same body, and partakers of the promise in Christ Jesus through the gospel."
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.7,Eph 3:7,6,"Of this gospel I was made a minister according to the gift of God's grace, which was given me by the working of his power."
en,ESV,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.8,Eph 3:8,7,"To me, though I am the very least of all the saints, this grace was given, to preach to the Gentiles the unsearchable riches of Christ,"
