languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.1,1Tim 1:1,0,"Paul, an apostle of Christ Jesus by command of God our Savior and of Christ Jesus our hope,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.2,1Tim 1:2,1,"To Timothy, my true child in the faith: Grace, mercy, and peace from God the Father and Christ Jesus our Lord."
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.3,1Tim 1:3,2,"As I urged you when I was going to Macedonia, remain at Ephesus that you may charge certain persons not to teach any different doctrine,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.4,1Tim 1:4,3,"nor to devote themselves to myths and endless genealogies, which promote speculations rather than the stewardship from God that is by faith."
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.5,1Tim 1:5,4,The aim of our charge is love that issues from a pure heart and a good conscience and a sincere faith.
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.6,1Tim 1:6,5,"Certain persons, by swerving from these, have wandered away into vain discussion,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.7,1Tim 1:7,6,"desiring to be teachers of the law, without understanding either what they are saying or the things about which they make confident assertions."
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.8,1Tim 1:8,7,"Now we know that the law is good, if one uses it lawfully,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.9,1Tim 1:9,8,"understanding this, that the law is not laid down for the just but for the lawless and disobedient, for the ungodly and sinners, for the unholy and profane, for those who strike their fathers and mothers, for murderers,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.10,1Tim 1:10,9,"the sexually immoral, men who practice homosexuality, enslavers, liars, perjurers, and whatever else is contrary to sound doctrine,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.11,1Tim 1:11,10,in accordance with the glorious gospel of the blessed God with which I have been entrusted.
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.12,1Tim 1:12,11,"I thank him who has given me strength, Christ Jesus our Lord, because he judged me faithful, appointing me to his service,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.13,1Tim 1:13,12,"though formerly I was a blasphemer, persecutor, and insolent opponent. But I received mercy because I had acted ignorantly in unbelief,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.14,1Tim 1:14,13,and the grace of our Lord overflowed for me with the faith and love that are in Christ Jesus.
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.15,1Tim 1:15,14,"The saying is trustworthy and deserving of full acceptance, that Christ Jesus came into the world to save sinners, of whom I am the foremost."
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.16,1Tim 1:16,15,"But I received mercy for this reason, that in me, as the foremost, Jesus Christ might display his perfect patience as an example to those who were to believe in him for eternal life."
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.17,1Tim 1:17,16,"To the King of ages, immortal, invisible, the only God, be honor and glory forever and ever. Amen."
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.18,1Tim 1:18,17,"This charge I entrust to you, Timothy, my child, in accordance with the prophecies previously made about you, that by them you may wage the good warfare,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.19,1Tim 1:19,18,"holding faith and a good conscience. By rejecting this, some have made shipwreck of their faith,"
en,ESV,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.20,1Tim 1:20,19,"among whom are Hymenaeus and Alexander, whom I have handed over to Satan that they may learn not to blaspheme."
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.1,1Tim 2:1,0,"First of all, then, I urge that supplications, prayers, intercessions, and thanksgivings be made for all people,"
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.2,1Tim 2:2,1,"for kings and all who are in high positions, that we may lead a peaceful and quiet life, godly and dignified in every way."
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.3,1Tim 2:3,2,"This is good, and it is pleasing in the sight of God our Savior,"
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.4,1Tim 2:4,3,who desires all people to be saved and to come to the knowledge of the truth.
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.5,1Tim 2:5,4,"For there is one God, and there is one mediator between God and men, the man Christ Jesus,"
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.6,1Tim 2:6,5,"who gave himself as a ransom for all, which is the testimony given at the proper time."
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.7,1Tim 2:7,6,"For this I was appointed a preacher and an apostle (I am telling the truth, I am not lying), a teacher of the Gentiles in faith and truth."
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.8,1Tim 2:8,7,"I desire then that in every place the men should pray, lifting holy hands without anger or quarreling;"
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.9,1Tim 2:9,8,"likewise also that women should adorn themselves in respectable apparel, with modesty and self-control, not with braided hair and gold or pearls or costly attire,"
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.10,1Tim 2:10,9,but with what is proper for women who profess godliness- with good works.
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.11,1Tim 2:11,10,Let a woman learn quietly with all submissiveness.
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.12,1Tim 2:12,11,"I do not permit a woman to teach or to exercise authority over a man; rather, she is to remain quiet."
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.13,1Tim 2:13,12,"For Adam was formed first, then Eve;"
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.14,1Tim 2:14,13,"and Adam was not deceived, but the woman was deceived and became a transgressor."
en,ESV,1Tim,1Tim,53,1Tim.2,1Tim 2,1,1Tim.2.15,1Tim 2:15,14,"Yet she will be saved through childbearing- if they continue in faith and love and holiness, with self-control."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.1,1Tim 3:1,0,"The saying is trustworthy: If anyone aspires to the office of overseer, he desires a noble task."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.2,1Tim 3:2,1,"Therefore an overseer must be above reproach, the husband of one wife, sober-minded, self-controlled, respectable, hospitable, able to teach,"
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.3,1Tim 3:3,2,"not a drunkard, not violent but gentle, not quarrelsome, not a lover of money."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.4,1Tim 3:4,3,"He must manage his own household well, with all dignity keeping his children submissive,"
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.5,1Tim 3:5,4,"for if someone does not know how to manage his own household, how will he care for God's church?"
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.6,1Tim 3:6,5,"He must not be a recent convert, or he may become puffed up with conceit and fall into the condemnation of the devil."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.7,1Tim 3:7,6,"Moreover, he must be well thought of by outsiders, so that he may not fall into disgrace, into a snare of the devil."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.8,1Tim 3:8,7,"Deacons likewise must be dignified, not double-tongued, not addicted to much wine, not greedy for dishonest gain."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.9,1Tim 3:9,8,They must hold the mystery of the faith with a clear conscience.
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.10,1Tim 3:10,9,And let them also be tested first; then let them serve as deacons if they prove themselves blameless.
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.11,1Tim 3:11,10,"Their wives likewise must be dignified, not slanderers, but sober-minded, faithful in all things."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.12,1Tim 3:12,11,"Let deacons each be the husband of one wife, managing their children and their own households well."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.13,1Tim 3:13,12,For those who serve well as deacons gain a good standing for themselves and also great confidence in the faith that is in Christ Jesus.
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.14,1Tim 3:14,13,"I hope to come to you soon, but I am writing these things to you so that,"
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.15,1Tim 3:15,14,"if I delay, you may know how one ought to behave in the household of God, which is the church of the living God, a pillar and buttress of truth."
en,ESV,1Tim,1Tim,53,1Tim.3,1Tim 3,2,1Tim.3.16,1Tim 3:16,15,"Great indeed, we confess, is the mystery of godliness: He was manifested in the flesh, vindicated by the Spirit, seen by angels, proclaimed among the nations, believed on in the world, taken up in glory."
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.1,1Tim 4:1,0,"Now the Spirit expressly says that in later times some will depart from the faith by devoting themselves to deceitful spirits and teachings of demons,"
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.2,1Tim 4:2,1,"through the insincerity of liars whose consciences are seared,"
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.3,1Tim 4:3,2,who forbid marriage and require abstinence from foods that God created to be received with thanksgiving by those who believe and know the truth.
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.4,1Tim 4:4,3,"For everything created by God is good, and nothing is to be rejected if it is received with thanksgiving,"
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.5,1Tim 4:5,4,for it is made holy by the word of God and prayer.
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.6,1Tim 4:6,5,"If you put these things before the brothers, you will be a good servant of Christ Jesus, being trained in the words of the faith and of the good doctrine that you have followed."
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.7,1Tim 4:7,6,"Have nothing to do with irreverent, silly myths. Rather train yourself for godliness;"
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.8,1Tim 4:8,7,"for while bodily training is of some value, godliness is of value in every way, as it holds promise for the present life and also for the life to come."
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.9,1Tim 4:9,8,The saying is trustworthy and deserving of full acceptance.
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.10,1Tim 4:10,9,"For to this end we toil and strive, because we have our hope set on the living God, who is the Savior of all people, especially of those who believe."
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.11,1Tim 4:11,10,Command and teach these things.
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.12,1Tim 4:12,11,"Let no one despise you for your youth, but set the believers an example in speech, in conduct, in love, in faith, in purity."
en,ESV,1Tim,1Tim,53,1Tim.4,1Tim 4,3,1Tim.4.13,1Tim 4:13,12,"Until I come, devote yourself to the public reading of Scripture, to exhortation, to teaching."
