languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.1,Jas 1:1,0,"James, a servant of God and of the Lord Jesus Christ, To the twelve tribes in the Dispersion: Greetings."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.2,Jas 1:2,1,"Count it all joy, my brothers, when you meet trials of various kinds,"
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.3,Jas 1:3,2,for you know that the testing of your faith produces steadfastness.
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.4,Jas 1:4,3,"And let steadfastness have its full effect, that you may be perfect and complete, lacking in nothing."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.5,Jas 1:5,4,"If any of you lacks wisdom, let him ask God, who gives generously to all without reproach, and it will be given him."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.6,Jas 1:6,5,"But let him ask in faith, with no doubting, for the one who doubts is like a wave of the sea that is driven and tossed by the wind."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.7,Jas 1:7,6,For that person must not suppose that he will receive anything from the Lord;
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.8,Jas 1:8,7,"he is a double-minded man, unstable in all his ways."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.9,Jas 1:9,8,"Let the lowly brother boast in his exaltation,"
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.10,Jas 1:10,9,"and the rich in his humiliation, because like a flower of the grass he will pass away."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.11,Jas 1:11,10,"For the sun rises with its scorching heat and withers the grass; its flower falls, and its beauty perishes. So also will the rich man fade away in the midst of his pursuits."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.12,Jas 1:12,11,"Blessed is the man who remains steadfast under trial, for when he has stood the test he will receive the crown of life, which God has promised to those who love him."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.13,Jas 1:13,12,"Let no one say when he is tempted, ""I am being tempted by God,"" for God cannot be tempted with evil, and he himself tempts no one."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.14,Jas 1:14,13,But each person is tempted when he is lured and enticed by his own desire.
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.15,Jas 1:15,14,"Then desire when it has conceived gives birth to sin, and sin when it is fully grown brings forth death."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.16,Jas 1:16,15,"Do not be deceived, my beloved brothers."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.17,Jas 1:17,16,"Every good gift and every perfect gift is from above, coming down from the Father of lights with whom there is no variation or shadow due to change."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.18,Jas 1:18,17,"Of his own will he brought us forth by the word of truth, that we should be a kind of firstfruits of his creation."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.19,Jas 1:19,18,"Know this, my beloved brothers: let every person be quick to hear, slow to speak, slow to anger;"
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.20,Jas 1:20,19,for the anger of man does not produce the righteousness that God requires.
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.21,Jas 1:21,20,"Therefore put away all filthiness and rampant wickedness and receive with meekness the implanted word, which is able to save your souls."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.22,Jas 1:22,21,"But be doers of the word, and not hearers only, deceiving yourselves."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.23,Jas 1:23,22,"For if anyone is a hearer of the word and not a doer, he is like a man who looks intently at his natural face in a mirror."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.24,Jas 1:24,23,For he looks at himself and goes away and at once forgets what he was like.
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.25,Jas 1:25,24,"But the one who looks into the perfect law, the law of liberty, and perseveres, being no hearer who forgets but a doer who acts, he will be blessed in his doing."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.26,Jas 1:26,25,"If anyone thinks he is religious and does not bridle his tongue but deceives his heart, this person's religion is worthless."
en,ESV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.27,Jas 1:27,26,"Religion that is pure and undefiled before God and the Father is this: to visit orphans and widows in their affliction, and to keep oneself unstained from the world."
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.1,Jas 2:1,0,"My brothers, show no partiality as you hold the faith in our Lord Jesus Christ, the Lord of glory."
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.2,Jas 2:2,1,"For if a man wearing a gold ring and fine clothing comes into your assembly, and a poor man in shabby clothing also comes in,"
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.3,Jas 2:3,2,"and if you pay attention to the one who wears the fine clothing and say, ""You sit here in a good place,"" while you say to the poor man, ""You stand over there,"" or, ""Sit down at my feet,"""
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.4,Jas 2:4,3,have you not then made distinctions among yourselves and become judges with evil thoughts?
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.5,Jas 2:5,4,"Listen, my beloved brothers, has not God chosen those who are poor in the world to be rich in faith and heirs of the kingdom, which he has promised to those who love him?"
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.6,Jas 2:6,5,"But you have dishonored the poor man. Are not the rich the ones who oppress you, and the ones who drag you into court?"
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.7,Jas 2:7,6,Are they not the ones who blaspheme the honorable name by which you were called?
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.8,Jas 2:8,7,"If you really fulfill the royal law according to the Scripture, ""You shall love your neighbor as yourself,"" you are doing well."
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.9,Jas 2:9,8,"But if you show partiality, you are committing sin and are convicted by the law as transgressors."
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.10,Jas 2:10,9,For whoever keeps the whole law but fails in one point has become accountable for all of it.
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.11,Jas 2:11,10,"For he who said, ""Do not commit adultery,"" also said, ""Do not murder."" If you do not commit adultery but do murder, you have become a transgressor of the law."
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.12,Jas 2:12,11,So speak and so act as those who are to be judged under the law of liberty.
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.13,Jas 2:13,12,For judgment is without mercy to one who has shown no mercy. Mercy triumphs over judgment.
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.14,Jas 2:14,13,"What good is it, my brothers, if someone says he has faith but does not have works? Can that faith save him?"
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.15,Jas 2:15,14,"If a brother or sister is poorly clothed and lacking in daily food,"
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.16,Jas 2:16,15,"and one of you says to them, ""Go in peace, be warmed and filled,"" without giving them the things needed for the body, what good is that?"
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.17,Jas 2:17,16,"So also faith by itself, if it does not have works, is dead."
en,ESV,Jas,Jas,58,Jas.2,Jas 2,1,Jas.2.18,Jas 2:18,17,"But someone will say, ""You have faith and I have works."" Show me your faith apart from your works, and I will show you my faith by my works."
