languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.1,2Pet 1:1,0,"Simeon Peter, a servant and apostle of Jesus Christ, To those who have obtained a faith of equal standing with ours by the righteousness of our God and Savior Jesus Christ:"
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.2,2Pet 1:2,1,May grace and peace be multiplied to you in the knowledge of God and of Jesus our Lord.
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.3,2Pet 1:3,2,"His divine power has granted to us all things that pertain to life and godliness, through the knowledge of him who called us to his own glory and excellence,"
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.4,2Pet 1:4,3,"by which he has granted to us his precious and very great promises, so that through them you may become partakers of the divine nature, having escaped from the corruption that is in the world because of sinful desire."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.5,2Pet 1:5,4,"For this very reason, make every effort to supplement your faith with virtue, and virtue with knowledge,"
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.6,2Pet 1:6,5,"and knowledge with self-control, and self-control with steadfastness, and steadfastness with godliness,"
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.7,2Pet 1:7,6,"and godliness with brotherly affection, and brotherly affection with love."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.8,2Pet 1:8,7,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.9,2Pet 1:9,8,"For whoever lacks these qualities is so nearsighted that he is blind, having forgotten that he was cleansed from his former sins."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.10,2Pet 1:10,9,"Therefore, brothers, be all the more diligent to make your calling and election sure, for if you practice these qualities you will never fall."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.11,2Pet 1:11,10,For in this way there will be richly provided for you an entrance into the eternal kingdom of our Lord and Savior Jesus Christ.
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.12,2Pet 1:12,11,"Therefore I intend always to remind you of these qualities, though you know them and are established in the truth that you have."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.13,2Pet 1:13,12,"I think it right, as long as I am in this body, to stir you up by way of reminder,"
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.14,2Pet 1:14,13,"since I know that the putting off of my body will be soon, as our Lord Jesus Christ made clear to me."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.15,2Pet 1:15,14,And I will make every effort so that after my departure you may be able at any time to recall these things.
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.16,2Pet 1:16,15,"For we did not follow cleverly devised myths when we made known to you the power and coming of our Lord Jesus Christ, but we were eyewitnesses of his majesty."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.17,2Pet 1:17,16,"For when he received honor and glory from God the Father, and the voice was borne to him by the Majestic Glory, ""This is my beloved Son, with whom I am well pleased,"""
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.18,2Pet 1:18,17,"we ourselves heard this very voice borne from heaven, for we were with him on the holy mountain."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.19,2Pet 1:19,18,"And we have something more sure, the prophetic word, to which you will do well to pay attention as to a lamp shining in a dark place, until the day dawns and the morning star rises in your hearts,"
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.20,2Pet 1:20,19,"knowing this first of all, that no prophecy of Scripture comes from someone's own interpretation."
en,ESV,2Pet,2Pet,60,2Pet.1,2Pet 1,0,2Pet.1.21,2Pet 1:21,20,"For no prophecy was ever produced by the will of man, but men spoke from God as they were carried along by the Holy Spirit."
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.1,2Pet 2:1,0,"But false prophets also arose among the people, just as there will be false teachers among you, who will secretly bring in destructive heresies, even denying the Master who bought them, bringing upon themselves swift destruction."
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.2,2Pet 2:2,1,"And many will follow their sensuality, and because of them the way of truth will be blasphemed."
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.3,2Pet 2:3,2,"And in their greed they will exploit you with false words. Their condemnation from long ago is not idle, and their destruction is not asleep."
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.4,2Pet 2:4,3,"For if God did not spare angels when they sinned, but cast them into hell and committed them to chains of gloomy darkness to be kept until the judgment;"
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.5,2Pet 2:5,4,"if he did not spare the ancient world, but preserved Noah, a herald of righteousness, with seven others, when he brought a flood upon the world of the ungodly;"
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.6,2Pet 2:6,5,"if by turning the cities of Sodom and Gomorrah to ashes he condemned them to extinction, making them an example of what is going to happen to the ungodly;"
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.7,2Pet 2:7,6,"and if he rescued righteous Lot, greatly distressed by the sensual conduct of the wicked"
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.8,2Pet 2:8,7,"(for as that righteous man lived among them day after day, he was tormenting his righteous soul over their lawless deeds that he saw and heard);"
en,ESV,2Pet,2Pet,60,2Pet.2,2Pet 2,1,2Pet.2.9,2Pet 2:9,8,"then the Lord knows how to rescue the godly from trials, and to keep the unrighteous under punishment until the day of judgment,"
