languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.1,Ezra 1:1,0,"Now in the first year of Cyrus king of Persia, that the word of the LORD by the mouth of Jeremiah might be fulfilled, the LORD stirred up the spirit of Cyrus king of Persia, that he made a proclamation throughout all his kingdom, and put it also in writing, saying,"
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.2,Ezra 1:2,1,"Thus saith Cyrus king of Persia, The LORD God of heaven hath given me all the kingdoms of the earth; and he hath charged me to build him an house at Jerusalem, which is in Judah."
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.3,Ezra 1:3,2,"Who is there among you of all his people? his God be with him, and let him go up to Jerusalem, which is in Judah, and build the house of the LORD God of Israel, (he is the God,) which is in Jerusalem."
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.4,Ezra 1:4,3,"And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that is in Jerusalem."
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.5,Ezra 1:5,4,"Then rose up the chief of the fathers of Judah and Benjamin, and the priests, and the Levites, with all them whose spirit God had raised, to go up to build the house of the LORD which is in Jerusalem."
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.6,Ezra 1:6,5,"And all they that were about them strengthened their hands with vessels of silver, with gold, with goods, and with beasts, and with precious things, beside all that was willingly offered."
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.7,Ezra 1:7,6,"Also Cyrus the king brought forth the vessels of the house of the LORD, which Nebuchadnezzar had brought forth out of Jerusalem, and had put them in the house of his gods;"
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.8,Ezra 1:8,7,"Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah."
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.9,Ezra 1:9,8,"And this is the number of them: thirty chargers of gold, a thousand chargers of silver, nine and twenty knives,"
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.10,Ezra 1:10,9,"Thirty basins of gold, silver basins of a second sort four hundred and ten, and other vessels a thousand."
en,KJV,Ezra,Ezra,14,Ezra.1,Ezra 1,0,Ezra.1.11,Ezra 1:11,10,All the vessels of gold and of silver were five thousand and four hundred. All these did Sheshbazzar bring up with them of the captivity that were brought up from Babylon unto Jerusalem.
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.1,Ezra 2:1,0,"Now these are the children of the province that went up out of the captivity, of those which had been carried away, whom Nebuchadnezzar the king of Babylon had carried away unto Babylon, and came again unto Jerusalem and Judah, every one unto his city;"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.2,Ezra 2:2,1,"Which came with Zerubbabel: Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mizpar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel:"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.3,Ezra 2:3,2,"The children of Parosh, two thousand an hundred seventy and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.4,Ezra 2:4,3,"The children of Shephatiah, three hundred seventy and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.5,Ezra 2:5,4,"The children of Arah, seven hundred seventy and five."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.6,Ezra 2:6,5,"The children of Pahathmoab, of the children of Jeshua and Joab, two thousand eight hundred and twelve."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.7,Ezra 2:7,6,"The children of Elam, a thousand two hundred fifty and four."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.8,Ezra 2:8,7,"The children of Zattu, nine hundred forty and five."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.9,Ezra 2:9,8,"The children of Zaccai, seven hundred and threescore."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.10,Ezra 2:10,9,"The children of Bani, six hundred forty and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.11,Ezra 2:11,10,"The children of Bebai, six hundred twenty and three."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.12,Ezra 2:12,11,"The children of Azgad, a thousand two hundred twenty and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.13,Ezra 2:13,12,"The children of Adonikam, six hundred sixty and six."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.14,Ezra 2:14,13,"The children of Bigvai, two thousand fifty and six."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.15,Ezra 2:15,14,"The children of Adin, four hundred fifty and four."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.16,Ezra 2:16,15,"The children of Ater of Hezekiah, ninety and eight."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.17,Ezra 2:17,16,"The children of Bezai, three hundred twenty and three."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.18,Ezra 2:18,17,"The children of Jorah, an hundred and twelve."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.19,Ezra 2:19,18,"The children of Hashum, two hundred twenty and three."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.20,Ezra 2:20,19,"The children of Gibbar, ninety and five."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.21,Ezra 2:21,20,"The children of Bethlehem, an hundred twenty and three."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.22,Ezra 2:22,21,"The men of Netophah, fifty and six."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.23,Ezra 2:23,22,"The men of Anathoth, an hundred twenty and eight."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.24,Ezra 2:24,23,"The children of Azmaveth, forty and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.25,Ezra 2:25,24,"The children of Kirjatharim, Chephirah, and Beeroth, seven hundred and forty and three."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.26,Ezra 2:26,25,"The children of Ramah and Gaba, six hundred twenty and one."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.27,Ezra 2:27,26,"The men of Michmas, an hundred twenty and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.28,Ezra 2:28,27,"The men of Bethel and Ai, two hundred twenty and three."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.29,Ezra 2:29,28,"The children of Nebo, fifty and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.30,Ezra 2:30,29,"The children of Magbish, an hundred fifty and six."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.31,Ezra 2:31,30,"The children of the other Elam, a thousand two hundred fifty and four."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.32,Ezra 2:32,31,"The children of Harim, three hundred and twenty."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.33,Ezra 2:33,32,"The children of Lod, Hadid, and Ono, seven hundred twenty and five."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.34,Ezra 2:34,33,"The children of Jericho, three hundred forty and five."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.35,Ezra 2:35,34,"The children of Senaah, three thousand and six hundred and thirty."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.36,Ezra 2:36,35,"The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy and three."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.37,Ezra 2:37,36,"The children of Immer, a thousand fifty and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.38,Ezra 2:38,37,"The children of Pashur, a thousand two hundred forty and seven."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.39,Ezra 2:39,38,"The children of Harim, a thousand and seventeen."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.40,Ezra 2:40,39,"The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy and four."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.41,Ezra 2:41,40,"The singers: the children of Asaph, an hundred twenty and eight."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.42,Ezra 2:42,41,"The children of the porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, in all an hundred thirty and nine."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.43,Ezra 2:43,42,"The Nethinims: the children of Ziha, the children of Hasupha, the children of Tabbaoth,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.44,Ezra 2:44,43,"The children of Keros, the children of Siaha, the children of Padon,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.45,Ezra 2:45,44,"The children of Lebanah, the children of Hagabah, the children of Akkub,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.46,Ezra 2:46,45,"The children of Hagab, the children of Shalmai, the children of Hanan,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.47,Ezra 2:47,46,"The children of Giddel, the children of Gahar, the children of Reaiah,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.48,Ezra 2:48,47,"The children of Rezin, the children of Nekoda, the children of Gazzam,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.49,Ezra 2:49,48,"The children of Uzza, the children of Paseah, the children of Besai,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.50,Ezra 2:50,49,"The children of Asnah, the children of Mehunim, the children of Nephusim,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.51,Ezra 2:51,50,"The children of Bakbuk, the children of Hakupha, the children of Harhur,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.52,Ezra 2:52,51,"The children of Bazluth, the children of Mehida, the children of Harsha,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.53,Ezra 2:53,52,"The children of Barkos, the children of Sisera, the children of Thamah,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.54,Ezra 2:54,53,"The children of Neziah, the children of Hatipha."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.55,Ezra 2:55,54,"The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Peruda,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.56,Ezra 2:56,55,"The children of Jaalah, the children of Darkon, the children of Giddel,"
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.57,Ezra 2:57,56,"The children of Shephatiah, the children of Hattil, the children of Pochereth of Zebaim, the children of Ami."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.58,Ezra 2:58,57,"All the Nethinims, and the children of Solomon's servants, were three hundred ninety and two."
en,KJV,Ezra,Ezra,14,Ezra.2,Ezra 2,1,Ezra.2.59,Ezra 2:59,58,"And these were they which went up from Telmelah, Telharsa, Cherub, Addan, and Immer: but they could not shew their father's house, and their seed, whether they were of Israel:"
