languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.1,Job 1:1,0,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.2,Job 1:2,1,And there were born unto him seven sons and three daughters.
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.3,Job 1:3,2,"His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a very great household; so that this man was the greatest of all the men of the east."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.4,Job 1:4,3,"And his sons went and feasted in their houses, every one his day; and sent and called for their three sisters to eat and to drink with them."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.5,Job 1:5,4,"And it was so, when the days of their feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings according to the number of them all: for Job said, It may be that my sons have sinned, and cursed God in their hearts. Thus did Job continually."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.6,Job 1:6,5,"Now there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.7,Job 1:7,6,"And the LORD said unto Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.8,Job 1:8,7,"And the LORD said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil?"
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.9,Job 1:9,8,"Then Satan answered the LORD, and said, Doth Job fear God for nought?"
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.10,Job 1:10,9,"Hast not thou made an hedge about him, and about his house, and about all that he hath on every side? thou hast blessed the work of his hands, and his substance is increased in the land."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.11,Job 1:11,10,"But put forth thine hand now, and touch all that he hath, and he will curse thee to thy face."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.12,Job 1:12,11,"And the LORD said unto Satan, Behold, all that he hath is in thy power; only upon himself put not forth thine hand. So Satan went forth from the presence of the LORD."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.13,Job 1:13,12,And there was a day when his sons and his daughters were eating and drinking wine in their eldest brother's house:
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.14,Job 1:14,13,"And there came a messenger unto Job, and said, The oxen were plowing, and the asses feeding beside them:"
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.15,Job 1:15,14,"And the Sabeans fell upon them, and took them away; yea, they have slain the servants with the edge of the sword; and I only am escaped alone to tell thee."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.16,Job 1:16,15,"While he was yet speaking, there came also another, and said, The fire of God is fallen from heaven, and hath burned up the sheep, and the servants, and consumed them; and I only am escaped alone to tell thee."
en,KJV,Job,Job,17,Job.1,Job 1,0,Job.1.17,Job 1:17,16,"While he was yet speaking, there came also another, and said, The Chaldeans made out three bands, and fell upon the camels, and have carried them away, yea, and slain the servants with the edge of the sword; and I only am escaped alone to tell thee."
