languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.1,Ps 1:1,0,"Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful."
en,KJV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.2,Ps 1:2,1,But his delight is in the law of the LORD; and in his law doth he meditate day and night.
en,KJV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.3,Ps 1:3,2,"And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper."
en,KJV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.4,Ps 1:4,3,The ungodly are not so: but are like the chaff which the wind driveth away.
en,KJV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.5,Ps 1:5,4,"Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous."
en,KJV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.6,Ps 1:6,5,For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.1,Ps 2:1,0,"Why do the heathen rage, and the people imagine a vain thing?"
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.2,Ps 2:2,1,"The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,"
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.3,Ps 2:3,2,"Let us break their bands asunder, and cast away their cords from us."
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.4,Ps 2:4,3,He that sitteth in the heavens shall laugh: the LORD shall have them in derision.
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.5,Ps 2:5,4,"Then shall he speak unto them in his wrath, and vex them in his sore displeasure."
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.6,Ps 2:6,5,Yet have I set my king upon my holy hill of Zion.
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.7,Ps 2:7,6,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.8,Ps 2:8,7,"Ask of me, and I shall give thee the heathen for thine inheritance, and the uttermost parts of the earth for thy possession."
en,KJV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.9,Ps 2:9,8,Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.
