languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.1,Prov 1:1,0,"The proverbs of Solomon the son of David, king of Israel;"
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.2,Prov 1:2,1,To know wisdom and instruction; to perceive the words of understanding;
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.3,Prov 1:3,2,"To receive the instruction of wisdom, justice, and judgment, and equity;"
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.4,Prov 1:4,3,"To give subtilty to the simple, to the young man knowledge and discretion."
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.5,Prov 1:5,4,"A wise man will hear, and will increase learning; and a man of understanding shall attain unto wise counsels:"
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.6,Prov 1:6,5,"To understand a proverb, and the interpretation; the words of the wise, and their dark sayings."
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.7,Prov 1:7,6,The fear of the LORD is the beginning of knowledge: but fools despise wisdom and instruction.
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.8,Prov 1:8,7,"My son, hear the instruction of thy father, and forsake not the law of thy mother:"
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.9,Prov 1:9,8,"For they shall be an ornament of grace unto thy head, and chains about thy neck."
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.10,Prov 1:10,9,"My son, if sinners entice thee, consent thou not."
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.11,Prov 1:11,10,"If they say, Come with us, let us lay wait for blood, let us lurk privily for the innocent without cause:"
en,KJV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.12,Prov 1:12,11,"Let us swallow them up alive as the grave; and whole, as those that go down into the pit:"
