languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.1,Song 1:1,0,"The song of songs, which is Solomon's."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.2,Song 1:2,1,Let him kiss me with the kisses of his mouth: for thy love is better than wine.
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.3,Song 1:3,2,"Because of the savour of thy good ointments thy name is as ointment poured forth, therefore do the virgins love thee."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.4,Song 1:4,3,"Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.5,Song 1:5,4,"I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.6,Song 1:6,5,"Look not upon me, because I am black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; but mine own vineyard have I not kept."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.7,Song 1:7,6,"Tell me, O thou whom my soul loveth, where thou feedest, where thou makest thy flock to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions?"
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.8,Song 1:8,7,"If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds' tents."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.9,Song 1:9,8,"I have compared thee, O my love, to a company of horses in Pharaoh's chariots."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.10,Song 1:10,9,"Thy cheeks are comely with rows of jewels, thy neck with chains of gold."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.11,Song 1:11,10,We will make thee borders of gold with studs of silver.
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.12,Song 1:12,11,"While the king sitteth at his table, my spikenard sendeth forth the smell thereof."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.13,Song 1:13,12,A bundle of myrrh is my well-beloved unto me; he shall lie all night betwixt my breasts.
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.14,Song 1:14,13,My beloved is unto me as a cluster of camphire in the vineyards of Engedi.
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.15,Song 1:15,14,"Behold, thou art fair, my love; behold, thou art fair; thou hast doves' eyes."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.16,Song 1:16,15,"Behold, thou art fair, my beloved, yea, pleasant: also our bed is green."
en,KJV,Song,Song,21,Song.1,Song 1,0,Song.1.17,Song 1:17,16,"The beams of our house are cedar, and our rafters of fir."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.1,Song 2:1,0,"I am the rose of Sharon, and the lily of the valleys."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.2,Song 2:2,1,"As the lily among thorns, so is my love among the daughters."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.3,Song 2:3,2,"As the apple tree among the trees of the wood, so is my beloved among the sons. I sat down under his shadow with great delight, and his fruit was sweet to my taste."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.4,Song 2:4,3,"He brought me to the banqueting house, and his banner over me was love."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.5,Song 2:5,4,"Stay me with flagons, comfort me with apples: for I am sick of love."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.6,Song 2:6,5,"His left hand is under my head, and his right hand doth embrace me."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.7,Song 2:7,6,"I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake my love, till he please."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.8,Song 2:8,7,"The voice of my beloved! behold, he cometh leaping upon the mountains, skipping upon the hills."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.9,Song 2:9,8,"My beloved is like a roe or a young hart: behold, he standeth behind our wall, he looketh forth at the windows, shewing himself through the lattice."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.10,Song 2:10,9,"My beloved spake, and said unto me, Rise up, my love, my fair one, and come away."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.11,Song 2:11,10,"For, lo, the winter is past, the rain is over and gone;"
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.12,Song 2:12,11,"The flowers appear on the earth; the time of the singing of birds is come, and the voice of the turtle is heard in our land;"
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.13,Song 2:13,12,"The fig tree putteth forth her green figs, and the vines with the tender grape give a good smell. Arise, my love, my fair one, and come away."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.14,Song 2:14,13,"O my dove, that art in the clefts of the rock, in the secret places of the stairs, let me see thy countenance, let me hear thy voice; for sweet is thy voice, and thy countenance is comely."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.15,Song 2:15,14,"Take us the foxes, the little foxes, that spoil the vines: for our vines have tender grapes."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.16,Song 2:16,15,"My beloved is mine, and I am his: he feedeth among the lilies."
en,KJV,Song,Song,21,Song.2,Song 2,1,Song.2.17,Song 2:17,16,"Until the day break, and the shadows flee away, turn, my beloved, and be thou like a roe or a young hart upon the mountains of Bether."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.1,Song 3:1,0,"By night on my bed I sought him whom my soul loveth: I sought him, but I found him not."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.2,Song 3:2,1,"I will rise now, and go about the city in the streets, and in the broad ways I will seek him whom my soul loveth: I sought him, but I found him not."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.3,Song 3:3,2,"The watchmen that go about the city found me: to whom I said, Saw ye him whom my soul loveth?"
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.4,Song 3:4,3,"It was but a little that I passed from them, but I found him whom my soul loveth: I held him, and would not let him go, until I had brought him into my mother's house, and into the chamber of her that conceived me."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.5,Song 3:5,4,"I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake my love, till he please."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.6,Song 3:6,5,"Who is this that cometh out of the wilderness like pillars of smoke, perfumed with myrrh and frankincense, with all powders of the merchant?"
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.7,Song 3:7,6,"Behold his bed, which is Solomon's; threescore valiant men are about it, of the valiant of Israel."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.8,Song 3:8,7,"They all hold swords, being expert in war: every man hath his sword upon his thigh because of fear in the night."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.9,Song 3:9,8,King Solomon made himself a chariot of the wood of Lebanon.
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.10,Song 3:10,9,"He made the pillars thereof of silver, the bottom thereof of gold, the covering of it of purple, the midst thereof being paved with love, for the daughters of Jerusalem."
en,KJV,Song,Song,21,Song.3,Song 3,2,Song.3.11,Song 3:11,10,"Go forth, O ye daughters of Zion, and behold king Solomon with the crown wherewith his mother crowned him in the day of his espousals, and in the day of the gladness of his heart."
