languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.1,Isa 1:1,0,"The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.2,Isa 1:2,1,"Hear, O heavens, and give ear, O earth: for the LORD hath spoken, I have nourished and brought up children, and they have rebelled against me."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.3,Isa 1:3,2,"The ox knoweth his owner, and the ass his master's crib: but Israel doth not know, my people doth not consider."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.4,Isa 1:4,3,"Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the LORD, they have provoked the Holy One of Israel unto anger, they are gone away backward."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.5,Isa 1:5,4,"Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.6,Isa 1:6,5,"From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.7,Isa 1:7,6,"Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.8,Isa 1:8,7,"And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.9,Isa 1:9,8,"Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.10,Isa 1:10,9,"Hear the word of the LORD, ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.11,Isa 1:11,10,"To what purpose is the multitude of your sacrifices unto me? saith the LORD: I am full of the burnt offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he goats."
en,KJV,Isa,Isa,22,Isa.1,Isa 1,0,Isa.1.12,Isa 1:12,11,"When ye come to appear before me, who hath required this at your hand, to tread my courts?"
