languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.1,Mic 1:1,0,"The word of the LORD that came to Micah the Morasthite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.2,Mic 1:2,1,"Hear, all ye people; hearken, O earth, and all that therein is: and let the Lord GOD be witness against you, the LORD from his holy temple."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.3,Mic 1:3,2,"For, behold, the LORD cometh forth out of his place, and will come down, and tread upon the high places of the earth."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.4,Mic 1:4,3,"And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, and as the waters that are poured down a steep place."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.5,Mic 1:5,4,"For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?"
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.6,Mic 1:6,5,"Therefore I will make Samaria as an heap of the field, and as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.7,Mic 1:7,6,"And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered it of the hire of an harlot, and they shall return to the hire of an harlot."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.8,Mic 1:8,7,"Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.9,Mic 1:9,8,"For her wound is incurable; for it is come unto Judah; he is come unto the gate of my people, even to Jerusalem."
en,KJV,Mic,Mic,32,Mic.1,Mic 1,0,Mic.1.10,Mic 1:10,9,"Declare ye it not at Gath, weep ye not at all: in the house of Aphrah roll thyself in the dust."
