languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.1,Nah 1:1,0,The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.2,Nah 1:2,1,"God is jealous, and the LORD revengeth; the LORD revengeth, and is furious; the LORD will take vengeance on his adversaries, and he reserveth wrath for his enemies."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.3,Nah 1:3,2,"The LORD is slow to anger, and great in power, and will not at all acquit the wicked: the LORD hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.4,Nah 1:4,3,"He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.5,Nah 1:5,4,"The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.6,Nah 1:6,5,"Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.7,Nah 1:7,6,"The LORD is good, a strong hold in the day of trouble; and he knoweth them that trust in him."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.8,Nah 1:8,7,"But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.9,Nah 1:9,8,What do ye imagine against the LORD? he will make an utter end: affliction shall not rise up the second time.
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.10,Nah 1:10,9,"For while they be folden together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.11,Nah 1:11,10,"There is one come out of thee, that imagineth evil against the LORD, a wicked counsellor."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.12,Nah 1:12,11,"Thus saith the LORD; Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.13,Nah 1:13,12,"For now will I break his yoke from off thee, and will burst thy bonds in sunder."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.14,Nah 1:14,13,"And the LORD hath given a commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile."
en,KJV,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.15,Nah 1:15,14,"Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off."
en,KJV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.1,Nah 2:1,0,"He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily."
en,KJV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.2,Nah 2:2,1,"For the LORD hath turned away the excellency of Jacob, as the excellency of Israel: for the emptiers have emptied them out, and marred their vine branches."
en,KJV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.3,Nah 2:3,2,"The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir trees shall be terribly shaken."
en,KJV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.4,Nah 2:4,3,"The chariots shall rage in the streets, they shall justle one against another in the broad ways: they shall seem like torches, they shall run like the lightnings."
en,KJV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.5,Nah 2:5,4,"He shall recount his worthies: they shall stumble in their walk; they shall make haste to the wall thereof, and the defence shall be prepared."
en,KJV,Nah,Nah,33,Nah.2,Nah 2,1,Nah.2.6,Nah 2:6,5,"The gates of the rivers shall be opened, and the palace shall be dissolved."
