languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.1,Hag 1:1,0,"In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the LORD by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech, the high priest, saying,"
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.2,Hag 1:2,1,"Thus speaketh the LORD of hosts, saying, This people say, The time is not come, the time that the LORD's house should be built."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.3,Hag 1:3,2,"Then came the word of the LORD by Haggai the prophet, saying,"
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.4,Hag 1:4,3,"Is it time for you, O ye, to dwell in your cieled houses, and this house lie waste?"
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.5,Hag 1:5,4,Now therefore thus saith the LORD of hosts; Consider your ways.
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.6,Hag 1:6,5,"Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages to put it into a bag with holes."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.7,Hag 1:7,6,Thus saith the LORD of hosts; Consider your ways.
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.8,Hag 1:8,7,"Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the LORD."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.9,Hag 1:9,8,"Ye looked for much, and, lo it came to little; and when ye brought it home, I did blow upon it. Why? saith the LORD of hosts. Because of mine house that is waste, and ye run every man unto his own house."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.10,Hag 1:10,9,"Therefore the heaven over you is stayed from dew, and the earth is stayed from her fruit."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.11,Hag 1:11,10,"And I called for a drought upon the land, and upon the mountains, and upon the corn, and upon the new wine, and upon the oil, and upon that which the ground bringeth forth, and upon men, and upon cattle, and upon all the labour of the hands."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.12,Hag 1:12,11,"Then Zerubbabel the son of Shealtiel, and Joshua the son of Josedech, the high priest, with all the remnant of the people, obeyed the voice of the LORD their God, and the words of Haggai the prophet, as the LORD their God had sent him, and the people did fear before the LORD."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.13,Hag 1:13,12,"Then spake Haggai the LORD's messenger in the LORD's message unto the people, saying, I am with you, saith the LORD."
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.14,Hag 1:14,13,"And the LORD stirred up the spirit of Zerubbabel the son of Shealtiel, governor of Judah, and the spirit of Joshua the son of Josedech, the high priest, and the spirit of all the remnant of the people; and they came and did work in the house of the LORD of hosts, their God,"
en,KJV,Hag,Hag,36,Hag.1,Hag 1,0,Hag.1.15,Hag 1:15,14,"In the four and twentieth day of the sixth month, in the second year of Darius the king."
en,KJV,Hag,Hag,36,Hag.2,Hag 2,1,Hag.2.1,Hag 2:1,0,"In the seventh month, in the one and twentieth day of the month, came the word of the LORD by the prophet Haggai, saying,"
