languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.1,Mark 1:1,0,"The beginning of the gospel of Jesus Christ, the Son of God;"
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.2,Mark 1:2,1,"As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.3,Mark 1:3,2,"The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.4,Mark 1:4,3,"John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.5,Mark 1:5,4,"And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.6,Mark 1:6,5,"And John was clothed with camel's hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey;"
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.7,Mark 1:7,6,"And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.8,Mark 1:8,7,I indeed have baptized you with water: but he shall baptize you with the Holy Ghost.
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.9,Mark 1:9,8,"And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.10,Mark 1:10,9,"And straightway coming up out of the water, he saw the heavens opened, and the Spirit like a dove descending upon him:"
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.11,Mark 1:11,10,"And there came a voice from heaven, saying, Thou art my beloved Son, in whom I am well pleased."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.12,Mark 1:12,11,And immediately the spirit driveth him into the wilderness.
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.13,Mark 1:13,12,"And he was there in the wilderness forty days, tempted of Satan; and was with the wild beasts; and the angels ministered unto him."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.14,Mark 1:14,13,"Now after that John was put in prison, Jesus came into Galilee, preaching the gospel of the kingdom of God,"
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.15,Mark 1:15,14,"And saying, The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.16,Mark 1:16,15,"Now as he walked by the sea of Galilee, he saw Simon and Andrew his brother casting a net into the sea: for they were fishers."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.17,Mark 1:17,16,"And Jesus said unto them, Come ye after me, and I will make you to become fishers of men."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.18,Mark 1:18,17,"And straightway they forsook their nets, and followed him."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.19,Mark 1:19,18,"And when he had gone a little farther thence, he saw James the son of Zebedee, and John his brother, who also were in the ship mending their nets."
en,KJV,Mark,Mark,40,Mark.1,Mark 1,0,Mark.1.20,Mark 1:20,19,"And straightway he called them: and they left their father Zebedee in the ship with the hired servants, and went after him."
