languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.1,Gal 1:1,0,"Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)"
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.2,Gal 1:2,1,"And all the brethren which are with me, unto the churches of Galatia:"
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.3,Gal 1:3,2,"Grace be to you and peace from God the Father, and from our Lord Jesus Christ,"
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.4,Gal 1:4,3,"Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:"
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.5,Gal 1:5,4,To whom be glory for ever and ever. Amen.
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.6,Gal 1:6,5,I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.7,Gal 1:7,6,"Which is not another; but there be some that trouble you, and would pervert the gospel of Christ."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.8,Gal 1:8,7,"But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.9,Gal 1:9,8,"As we said before, so say I now again, if any man preach any other gospel unto you than that ye have received, let him be accursed."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.10,Gal 1:10,9,"For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.11,Gal 1:11,10,"But I certify you, brethren, that the gospel which was preached of me is not after man."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.12,Gal 1:12,11,"For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.13,Gal 1:13,12,"For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:"
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.14,Gal 1:14,13,"And profited in the Jews' religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.15,Gal 1:15,14,"But when it pleased God, who separated me from my mother's womb, and called me by his grace,"
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.16,Gal 1:16,15,"To reveal his Son in me, that I might preach him among the heathen; immediately I conferred not with flesh and blood:"
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.17,Gal 1:17,16,"Neither went I up to Jerusalem to them which were apostles before me; but I went into Arabia, and returned again unto Damascus."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.18,Gal 1:18,17,"Then after three years I went up to Jerusalem to see Peter, and abode with him fifteen days."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.19,Gal 1:19,18,"But other of the apostles saw I none, save James the Lord's brother."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.20,Gal 1:20,19,"Now the things which I write unto you, behold, before God, I lie not."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.21,Gal 1:21,20,Afterwards I came into the regions of Syria and Cilicia;
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.22,Gal 1:22,21,And was unknown by face unto the churches of Judaea which were in Christ:
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.23,Gal 1:23,22,"But they had heard only, That he which persecuted us in times past now preacheth the faith which once he destroyed."
en,KJV,Gal,Gal,47,Gal.1,Gal 1,0,Gal.1.24,Gal 1:24,23,And they glorified God in me.
en,KJV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.1,Gal 2:1,0,"Then fourteen years after I went up again to Jerusalem with Barnabas, and took Titus with me also."
en,KJV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.2,Gal 2:2,1,"And I went up by revelation, and communicated unto them that gospel which I preach among the Gentiles, but privately to them which were of reputation, lest by any means I should run, or had run, in vain."
en,KJV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.3,Gal 2:3,2,"But neither Titus, who was with me, being a Greek, was compelled to be circumcised:"
en,KJV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.4,Gal 2:4,3,"And that because of false brethren unawares brought in, who came in privily to spy out our liberty which we have in Christ Jesus, that they might bring us into bondage:"
en,KJV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.5,Gal 2:5,4,"To whom we gave place by subjection, no, not for an hour; that the truth of the gospel might continue with you."
en,KJV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.6,Gal 2:6,5,"But of these who seemed to be somewhat, (whatsoever they were, it maketh no matter to me: God accepteth no man's person:) for they who seemed to be somewhat in conference added nothing to me:"
en,KJV,Gal,Gal,47,Gal.2,Gal 2,1,Gal.2.7,Gal 2:7,6,"But contrariwise, when they saw that the gospel of the uncircumcision was committed unto me, as the gospel of the circumcision was unto Peter;"
