languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.1,Eph 1:1,0,"Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.2,Eph 1:2,1,"Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ."
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.3,Eph 1:3,2,"Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.4,Eph 1:4,3,"According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.5,Eph 1:5,4,"Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.6,Eph 1:6,5,"To the praise of the glory of his grace, wherein he hath made us accepted in the beloved."
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.7,Eph 1:7,6,"In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.8,Eph 1:8,7,Wherein he hath abounded toward us in all wisdom and prudence;
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.9,Eph 1:9,8,"Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.10,Eph 1:10,9,"That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.11,Eph 1:11,10,"In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.12,Eph 1:12,11,"That we should be to the praise of his glory, who first trusted in Christ."
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.13,Eph 1:13,12,"In whom ye also trusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.14,Eph 1:14,13,"Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory."
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.15,Eph 1:15,14,"Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.16,Eph 1:16,15,"Cease not to give thanks for you, making mention of you in my prayers;"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.17,Eph 1:17,16,"That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.18,Eph 1:18,17,"The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.19,Eph 1:19,18,"And what is the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power,"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.20,Eph 1:20,19,"Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.21,Eph 1:21,20,"Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.22,Eph 1:22,21,"And hath put all things under his feet, and gave him to be the head over all things to the church,"
en,KJV,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.23,Eph 1:23,22,"Which is his body, the fulness of him that filleth all in all."
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.1,Eph 2:1,0,"And you hath he quickened, who were dead in trespasses and sins;"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.2,Eph 2:2,1,"Wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience:"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.3,Eph 2:3,2,"Among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others."
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.4,Eph 2:4,3,"But God, who is rich in mercy, for his great love wherewith he loved us,"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.5,Eph 2:5,4,"Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;)"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.6,Eph 2:6,5,"And hath raised us up together, and made us sit together in heavenly places in Christ Jesus:"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.7,Eph 2:7,6,That in the ages to come he might shew the exceeding riches of his grace in his kindness toward us through Christ Jesus.
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.8,Eph 2:8,7,For by grace are ye saved through faith; and that not of yourselves: it is the gift of God:
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.9,Eph 2:9,8,"Not of works, lest any man should boast."
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.10,Eph 2:10,9,"For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them."
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.11,Eph 2:11,10,"Wherefore remember, that ye being in time past Gentiles in the flesh, who are called Uncircumcision by that which is called the Circumcision in the flesh made by hands;"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.12,Eph 2:12,11,"That at that time ye were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.13,Eph 2:13,12,But now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ.
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.14,Eph 2:14,13,"For he is our peace, who hath made both one, and hath broken down the middle wall of partition between us;"
en,KJV,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.15,Eph 2:15,14,"Having abolished in his flesh the enmity, even the law of commandments contained in ordinances; for to make in himself of twain one new man, so making peace;"
