languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.1,Col 1:1,0,"Paul, an apostle of Jesus Christ by the will of God, and Timotheus our brother,"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.2,Col 1:2,1,"To the saints and faithful brethren in Christ which are at Colosse: Grace be unto you, and peace, from God our Father and the Lord Jesus Christ."
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.3,Col 1:3,2,"We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.4,Col 1:4,3,"Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints,"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.5,Col 1:5,4,"For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.6,Col 1:6,5,"Which is come unto you, as it is in all the world; and bringeth forth fruit, as it doth also in you, since the day ye heard of it, and knew the grace of God in truth:"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.7,Col 1:7,6,"As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.8,Col 1:8,7,Who also declared unto us your love in the Spirit.
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.9,Col 1:9,8,"For this cause we also, since the day we heard it, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.10,Col 1:10,9,"That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.11,Col 1:11,10,"Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.12,Col 1:12,11,"Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:"
en,KJV,Col,Col,50,Col.1,Col 1,0,Col.1.13,Col 1:13,12,"Who hath delivered us from the power of darkness, and hath translated us into the kingdom of his dear Son:"
