languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.1,2Tim 1:1,0,"Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,"
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.2,2Tim 1:2,1,"To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord."
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.3,2Tim 1:3,2,"I thank God, whom I serve from my forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;"
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.4,2Tim 1:4,3,"Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;"
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.5,2Tim 1:5,4,"When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also."
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.6,2Tim 1:6,5,"Wherefore I put thee in remembrance that thou stir up the gift of God, which is in thee by the putting on of my hands."
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.7,2Tim 1:7,6,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind."
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.8,2Tim 1:8,7,"Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;"
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.9,2Tim 1:9,8,"Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,"
en,KJV,2Tim,2Tim,54,2Tim.1,2Tim 1,0,2Tim.1.10,2Tim 1:10,9,"But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:"
