languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.1,Phlm 1:1,0,"Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.2,Phlm 1:2,1,"And to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.3,Phlm 1:3,2,"Grace to you, and peace, from God our Father and the Lord Jesus Christ."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.4,Phlm 1:4,3,"I thank my God, making mention of thee always in my prayers,"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.5,Phlm 1:5,4,"Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.6,Phlm 1:6,5,That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.7,Phlm 1:7,6,"For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.8,Phlm 1:8,7,"Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.9,Phlm 1:9,8,"Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.10,Phlm 1:10,9,"I beseech thee for my son Onesimus, whom I have begotten in my bonds:"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.11,Phlm 1:11,10,"Which in time past was to thee unprofitable, but now profitable to thee and to me:"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.12,Phlm 1:12,11,"Whom I have sent again: thou therefore receive him, that is, mine own bowels:"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.13,Phlm 1:13,12,"Whom I would have retained with me, that in thy stead he might have ministered unto me in the bonds of the gospel:"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.14,Phlm 1:14,13,"But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.15,Phlm 1:15,14,"For perhaps he therefore departed for a season, that thou shouldest receive him for ever;"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.16,Phlm 1:16,15,"Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord?"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.17,Phlm 1:17,16,"If thou count me therefore a partner, receive him as myself."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.18,Phlm 1:18,17,"If he hath wronged thee, or oweth thee ought, put that on mine account;"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.19,Phlm 1:19,18,"I Paul have written it with mine own hand, I will repay it: albeit I do not say to thee how thou owest unto me even thine own self besides."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.20,Phlm 1:20,19,"Yea, brother, let me have joy of thee in the Lord: refresh my bowels in the Lord."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.21,Phlm 1:21,20,"Having confidence in thy obedience I wrote unto thee, knowing that thou wilt also do more than I say."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.22,Phlm 1:22,21,But withal prepare me also a lodging: for I trust that through your prayers I shall be given unto you.
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.23,Phlm 1:23,22,"There salute thee Epaphras, my fellowprisoner in Christ Jesus;"
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.24,Phlm 1:24,23,"Marcus, Aristarchus, Demas, Lucas, my fellowlabourers."
en,KJV,Phlm,Phlm,56,Phlm.1,Phlm 1,0,Phlm.1.25,Phlm 1:25,24,The grace of our Lord Jesus Christ be with your spirit. Amen.
