languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.1,1Pet 1:1,0,"Peter, an apostle of Jesus Christ, to the strangers scattered throughout Pontus, Galatia, Cappadocia, Asia, and Bithynia,"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.2,1Pet 1:2,1,"Elect according to the foreknowledge of God the Father, through sanctification of the Spirit, unto obedience and sprinkling of the blood of Jesus Christ: Grace unto you, and peace, be multiplied."
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.3,1Pet 1:3,2,"Blessed be the God and Father of our Lord Jesus Christ, which according to his abundant mercy hath begotten us again unto a lively hope by the resurrection of Jesus Christ from the dead,"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.4,1Pet 1:4,3,"To an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.5,1Pet 1:5,4,Who are kept by the power of God through faith unto salvation ready to be revealed in the last time.
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.6,1Pet 1:6,5,"Wherein ye greatly rejoice, though now for a season, if need be, ye are in heaviness through manifold temptations:"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.7,1Pet 1:7,6,"That the trial of your faith, being much more precious than of gold that perisheth, though it be tried with fire, might be found unto praise and honour and glory at the appearing of Jesus Christ:"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.8,1Pet 1:8,7,"Whom having not seen, ye love; in whom, though now ye see him not, yet believing, ye rejoice with joy unspeakable and full of glory:"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.9,1Pet 1:9,8,"Receiving the end of your faith, even the salvation of your souls."
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.10,1Pet 1:10,9,"Of which salvation the prophets have enquired and searched diligently, who prophesied of the grace that should come unto you:"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.11,1Pet 1:11,10,"Searching what, or what manner of time the Spirit of Christ which was in them did signify, when it testified beforehand the sufferings of Christ, and the glory that should follow."
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.12,1Pet 1:12,11,"Unto whom it was revealed, that not unto themselves, but unto us they did minister the things, which are now reported unto you by them that have preached the gospel unto you with the Holy Ghost sent down from heaven; which things the angels desire to look into."
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.13,1Pet 1:13,12,"Wherefore gird up the loins of your mind, be sober, and hope to the end for the grace that is to be brought unto you at the revelation of Jesus Christ;"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.14,1Pet 1:14,13,"As obedient children, not fashioning yourselves according to the former lusts in your ignorance:"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.15,1Pet 1:15,14,"But as he which hath called you is holy, so be ye holy in all manner of conversation;"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.16,1Pet 1:16,15,"Because it is written, Be ye holy; for I am holy."
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.17,1Pet 1:17,16,"And if ye call on the Father, who without respect of persons judgeth according to every man's work, pass the time of your sojourning here in fear:"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.18,1Pet 1:18,17,"Forasmuch as ye know that ye were not redeemed with corruptible things, as silver and gold, from your vain conversation received by tradition from your fathers;"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.19,1Pet 1:19,18,"But with the precious blood of Christ, as of a lamb without blemish and without spot:"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.20,1Pet 1:20,19,"Who verily was foreordained before the foundation of the world, but was manifest in these last times for you,"
en,KJV,1Pet,1Pet,59,1Pet.1,1Pet 1,0,1Pet.1.21,1Pet 1:21,20,"Who by him do believe in God, that raised him up from the dead, and gave him glory; that your faith and hope might be in God."
