languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.1,3John 1:1,0,"The elder unto the wellbeloved Gaius, whom I love in the truth."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.2,3John 1:2,1,"Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.3,3John 1:3,2,"For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.4,3John 1:4,3,I have no greater joy than to hear that my children walk in truth.
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.5,3John 1:5,4,"Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;"
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.6,3John 1:6,5,"Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:"
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.7,3John 1:7,6,"Because that for his name's sake they went forth, taking nothing of the Gentiles."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.8,3John 1:8,7,"We therefore ought to receive such, that we might be fellowhelpers to the truth."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.9,3John 1:9,8,"I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.10,3John 1:10,9,"Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth them out of the church."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.11,3John 1:11,10,"Beloved, follow not that which is evil, but that which is good. He that doeth good is of God: but he that doeth evil hath not seen God."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.12,3John 1:12,11,"Demetrius hath good report of all men, and of the truth itself: yea, and we also bear record; and ye know that our record is true."
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.13,3John 1:13,12,"I had many things to write, but I will not with ink and pen write unto thee:"
en,KJV,3John,3John,63,3John.1,3John 1,0,3John.1.14,3John 1:14,13,"But I trust I shall shortly see thee, and we shall speak face to face. Peace be to thee. Our friends salute thee. Greet the friends by name."
