languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.1,Jude 1:1,0,"Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, and called:"
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.2,Jude 1:2,1,"Mercy unto you, and peace, and love, be multiplied."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.3,Jude 1:3,2,"Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort you that ye should earnestly contend for the faith which was once delivered unto the saints."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.4,Jude 1:4,3,"For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness, and denying the only Lord God, and our Lord Jesus Christ."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.5,Jude 1:5,4,"I will therefore put you in remembrance, though ye once knew this, how that the Lord, having saved the people out of the land of Egypt, afterward destroyed them that believed not."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.6,Jude 1:6,5,"And the angels which kept not their first estate, but left their own habitation, he hath reserved in everlasting chains under darkness unto the judgment of the great day."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.7,Jude 1:7,6,"Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.8,Jude 1:8,7,"Likewise also these filthy dreamers defile the flesh, despise dominion, and speak evil of dignities."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.9,Jude 1:9,8,"Yet Michael the archangel, when contending with the devil he disputed about the body of Moses, durst not bring against him a railing accusation, but said, The Lord rebuke thee."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.10,Jude 1:10,9,"But these speak evil of those things which they know not: but what they know naturally, as brute beasts, in those things they corrupt themselves."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.11,Jude 1:11,10,"Woe unto them! for they have gone in the way of Cain, and ran greedily after the error of Balaam for reward, and perished in the gainsaying of Core."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.12,Jude 1:12,11,"These are spots in your feasts of charity, when they feast with you, feeding themselves without fear: clouds they are without water, carried about of winds; trees whose fruit withereth, without fruit, twice dead, plucked up by the roots;"
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.13,Jude 1:13,12,"Raging waves of the sea, foaming out their own shame; wandering stars, to whom is reserved the blackness of darkness for ever."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.14,Jude 1:14,13,"And Enoch also, the seventh from Adam, prophesied of these, saying, Behold, the Lord cometh with ten thousands of his saints,"
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.15,Jude 1:15,14,"To execute judgment upon all, and to convince all that are ungodly among them of all their ungodly deeds which they have ungodly committed, and of all their hard speeches which ungodly sinners have spoken against him."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.16,Jude 1:16,15,"These are murmurers, complainers, walking after their own lusts; and their mouth speaketh great swelling words, having men's persons in admiration because of advantage."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.17,Jude 1:17,16,"But, beloved, remember ye the words which were spoken before of the apostles of our Lord Jesus Christ;"
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.18,Jude 1:18,17,"How that they told you there should be mockers in the last time, who should walk after their own ungodly lusts."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.19,Jude 1:19,18,"These be they who separate themselves, sensual, having not the Spirit."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.20,Jude 1:20,19,"But ye, beloved, building up yourselves on your most holy faith, praying in the Holy Ghost,"
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.21,Jude 1:21,20,"Keep yourselves in the love of God, looking for the mercy of our Lord Jesus Christ unto eternal life."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.22,Jude 1:22,21,"And of some have compassion, making a difference:"
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.23,Jude 1:23,22,"And others save with fear, pulling them out of the fire; hating even the garment spotted by the flesh."
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.24,Jude 1:24,23,"Now unto him that is able to keep you from falling, and to present you faultless before the presence of his glory with exceeding joy,"
en,KJV,Jude,Jude,64,Jude.1,Jude 1,0,Jude.1.25,Jude 1:25,24,"To the only wise God our Saviour, be glory and majesty, dominion and power, both now and ever. Amen."
