languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.1,Gen 1:1,0,In the beginning God created the heavens and the earth.
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.2,Gen 1:2,1,"Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.3,Gen 1:3,2,"And God said, ""Let there be light,"" and there was light."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.4,Gen 1:4,3,"God saw that the light was good, and he separated the light from the darkness."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.5,Gen 1:5,4,"God called the light ""day,"" and the darkness he called ""night."" And there was evening, and there was morning-the first day."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.6,Gen 1:6,5,"And God said, ""Let there be an expanse between the waters to separate water from water."""
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.7,Gen 1:7,6,So God made the expanse and separated the water under the expanse from the water above it. And it was so.
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.8,Gen 1:8,7,"God called the expanse ""sky."" And there was evening, and there was morning-the second day."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.9,Gen 1:9,8,"And God said, ""Let the water under the sky be gathered to one place, and let dry ground appear."" And it was so."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.10,Gen 1:10,9,"God called the dry ground ""land,"" and the gathered waters he called ""seas."" And God saw that it was good."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.11,Gen 1:11,10,"Then God said, ""Let the land produce vegetation: seed-bearing plants and trees on the land that bear fruit with seed in it, according to their various kinds."" And it was so."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.12,Gen 1:12,11,The land produced vegetation: plants bearing seed according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good.
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.13,Gen 1:13,12,"And there was evening, and there was morning-the third day."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.14,Gen 1:14,13,"And God said, ""Let there be lights in the expanse of the sky to separate the day from the night, and let them serve as signs to mark seasons and days and years,"
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.15,Gen 1:15,14,"and let them be lights in the expanse of the sky to give light on the earth."" And it was so."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.16,Gen 1:16,15,God made two great lights-the greater light to govern the day and the lesser light to govern the night. He also made the stars.
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.17,Gen 1:17,16,"God set them in the expanse of the sky to give light on the earth,"
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.18,Gen 1:18,17,"to govern the day and the night, and to separate light from darkness. And God saw that it was good."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.19,Gen 1:19,18,"And there was evening, and there was morning-the fourth day."
en,NIV,Gen,Gen,0,Gen.1,Gen 1,0,Gen.1.20,Gen 1:20,19,"And God said, ""Let the water teem with living creatures, and let birds fly above the earth across the expanse of the sky."""
