languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.1,Exod 1:1,0,"These are the names of the sons of Israel who went to Egypt with Jacob, each with his family:"
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.2,Exod 1:2,1,"Reuben, Simeon, Levi and Judah;"
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.3,Exod 1:3,2,"Issachar, Zebulun and Benjamin;"
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.4,Exod 1:4,3,Dan and Naphtali; Gad and Asher.
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.5,Exod 1:5,4,The descendants of Jacob numbered seventy in all; Joseph was already in Egypt.
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.6,Exod 1:6,5,"Now Joseph and all his brothers and all that generation died,"
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.7,Exod 1:7,6,"but the Israelites were fruitful and multiplied greatly and became exceedingly numerous, so that the land was filled with them."
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.8,Exod 1:8,7,"Then a new king, who did not know about Joseph, came to power in Egypt."
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.9,Exod 1:9,8,"""Look,"" he said to his people, ""the Israelites have become much too numerous for us."
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.10,Exod 1:10,9,"Come, we must deal shrewdly with them or they will become even more numerous and, if war breaks out, will join our enemies, fight against us and leave the country."""
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.11,Exod 1:11,10,"So they put slave masters over them to oppress them with forced labor, and they built Pithom and Rameses as store cities for Pharaoh."
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.12,Exod 1:12,11,"But the more they were oppressed, the more they multiplied and spread; so the Egyptians came to dread the Israelites"
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.13,Exod 1:13,12,and worked them ruthlessly.
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.14,Exod 1:14,13,They made their lives bitter with hard labor in brick and mortar and with all kinds of work in the fields; in all their hard labor the Egyptians used them ruthlessly.
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.15,Exod 1:15,14,"The king of Egypt said to the Hebrew midwives, whose names were Shiphrah and Puah,"
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.16,Exod 1:16,15,"""When you help the Hebrew women in childbirth and observe them on the delivery stool, if it is a boy, kill him; but if it is a girl, let her live."""
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.17,Exod 1:17,16,"The midwives, however, feared God and did not do what the king of Egypt had told them to do; they let the boys live."
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.18,Exod 1:18,17,"Then the king of Egypt summoned the midwives and asked them, ""Why have you done this? Why have you let the boys live?"""
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.19,Exod 1:19,18,"The midwives answered Pharaoh, ""Hebrew women are not like Egyptian women; they are vigorous and give birth before the midwives arrive."""
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.20,Exod 1:20,19,So God was kind to the midwives and the people increased and became even more numerous.
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.21,Exod 1:21,20,"And because the midwives feared God, he gave them families of their own."
en,NIV,Exod,Exod,1,Exod.1,Exod 1,0,Exod.1.22,Exod 1:22,21,"Then Pharaoh gave this order to all his people: ""Every boy that is born you must throw into the Nile, but let every girl live."""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.1,Exod 2:1,0,"Now a man of the house of Levi married a Levite woman,"
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.2,Exod 2:2,1,"and she became pregnant and gave birth to a son. When she saw that he was a fine child, she hid him for three months."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.3,Exod 2:3,2,"But when she could hide him no longer, she got a papyrus basket for him and coated it with tar and pitch. Then she placed the child in it and put it among the reeds along the bank of the Nile."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.4,Exod 2:4,3,His sister stood at a distance to see what would happen to him.
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.5,Exod 2:5,4,"Then Pharaoh's daughter went down to the Nile to bathe, and her attendants were walking along the river bank. She saw the basket among the reeds and sent her slave girl to get it."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.6,Exod 2:6,5,"She opened it and saw the baby. He was crying, and she felt sorry for him. ""This is one of the Hebrew babies,"" she said."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.7,Exod 2:7,6,"Then his sister asked Pharaoh's daughter, ""Shall I go and get one of the Hebrew women to nurse the baby for you?"""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.8,Exod 2:8,7,"""Yes, go,"" she answered. And the girl went and got the baby's mother."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.9,Exod 2:9,8,"Pharaoh's daughter said to her, ""Take this baby and nurse him for me, and I will pay you."" So the woman took the baby and nursed him."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.10,Exod 2:10,9,"When the child grew older, she took him to Pharaoh's daughter and he became her son. She named him Moses, saying, ""I drew him out of the water."""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.11,Exod 2:11,10,"One day, after Moses had grown up, he went out to where his own people were and watched them at their hard labor. He saw an Egyptian beating a Hebrew, one of his own people."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.12,Exod 2:12,11,"Glancing this way and that and seeing no one, he killed the Egyptian and hid him in the sand."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.13,Exod 2:13,12,"The next day he went out and saw two Hebrews fighting. He asked the one in the wrong, ""Why are you hitting your fellow Hebrew?"""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.14,Exod 2:14,13,"The man said, ""Who made you ruler and judge over us? Are you thinking of killing me as you killed the Egyptian?"" Then Moses was afraid and thought, ""What I did must have become known."""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.15,Exod 2:15,14,"When Pharaoh heard of this, he tried to kill Moses, but Moses fled from Pharaoh and went to live in Midian, where he sat down by a well."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.16,Exod 2:16,15,"Now a priest of Midian had seven daughters, and they came to draw water and fill the troughs to water their father's flock."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.17,Exod 2:17,16,"Some shepherds came along and drove them away, but Moses got up and came to their rescue and watered their flock."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.18,Exod 2:18,17,"When the girls returned to Reuel their father, he asked them, ""Why have you returned so early today?"""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.19,Exod 2:19,18,"They answered, ""An Egyptian rescued us from the shepherds. He even drew water for us and watered the flock."""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.20,Exod 2:20,19,"""And where is he?"" he asked his daughters. ""Why did you leave him? Invite him to have something to eat."""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.21,Exod 2:21,20,"Moses agreed to stay with the man, who gave his daughter Zipporah to Moses in marriage."
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.22,Exod 2:22,21,"Zipporah gave birth to a son, and Moses named him Gershom, saying, ""I have become an alien in a foreign land."""
en,NIV,Exod,Exod,1,Exod.2,Exod 2,1,Exod.2.23,Exod 2:23,22,"During that long period, the king of Egypt died. The Israelites groaned in their slavery and cried out, and their cry for help because of their slavery went up to God."
