languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.1,Lev 1:1,0,"The LORD called to Moses and spoke to him from the Tent of Meeting. He said,"
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.2,Lev 1:2,1,"""Speak to the Israelites and say to them: 'When any of you brings an offering to the LORD, bring as your offering an animal from either the herd or the flock."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.3,Lev 1:3,2,"""'If the offering is a burnt offering from the herd, he is to offer a male without defect. He must present it at the entrance to the Tent of Meeting so that it will be acceptable to the LORD."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.4,Lev 1:4,3,"He is to lay his hand on the head of the burnt offering, and it will be accepted on his behalf to make atonement for him."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.5,Lev 1:5,4,"He is to slaughter the young bull before the LORD, and then Aaron's sons the priests shall bring the blood and sprinkle it against the altar on all sides at the entrance to the Tent of Meeting."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.6,Lev 1:6,5,He is to skin the burnt offering and cut it into pieces.
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.7,Lev 1:7,6,The sons of Aaron the priest are to put fire on the altar and arrange wood on the fire.
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.8,Lev 1:8,7,"Then Aaron's sons the priests shall arrange the pieces, including the head and the fat, on the burning wood that is on the altar."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.9,Lev 1:9,8,"He is to wash the inner parts and the legs with water, and the priest is to burn all of it on the altar. It is a burnt offering, an offering made by fire, an aroma pleasing to the LORD."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.10,Lev 1:10,9,"""'If the offering is a burnt offering from the flock, from either the sheep or the goats, he is to offer a male without defect."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.11,Lev 1:11,10,"He is to slaughter it at the north side of the altar before the LORD, and Aaron's sons the priests shall sprinkle its blood against the altar on all sides."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.12,Lev 1:12,11,"He is to cut it into pieces, and the priest shall arrange them, including the head and the fat, on the burning wood that is on the altar."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.13,Lev 1:13,12,"He is to wash the inner parts and the legs with water, and the priest is to bring all of it and burn it on the altar. It is a burnt offering, an offering made by fire, an aroma pleasing to the LORD."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.14,Lev 1:14,13,"""'If the offering to the LORD is a burnt offering of birds, he is to offer a dove or a young pigeon."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.15,Lev 1:15,14,"The priest shall bring it to the altar, wring off the head and burn it on the altar; its blood shall be drained out on the side of the altar."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.16,Lev 1:16,15,"He is to remove the crop with its contents and throw it to the east side of the altar, where the ashes are."
en,NIV,Lev,Lev,2,Lev.1,Lev 1,0,Lev.1.17,Lev 1:17,16,"He shall tear it open by the wings, not severing it completely, and then the priest shall burn it on the wood that is on the fire on the altar. It is a burnt offering, an offering made by fire, an aroma pleasing to the LORD."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.1,Lev 2:1,0,"""'When someone brings a grain offering to the LORD, his offering is to be of fine flour. He is to pour oil on it, put incense on it"
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.2,Lev 2:2,1,"and take it to Aaron's sons the priests. The priest shall take a handful of the fine flour and oil, together with all the incense, and burn this as a memorial portion on the altar, an offering made by fire, an aroma pleasing to the LORD."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.3,Lev 2:3,2,The rest of the grain offering belongs to Aaron and his sons; it is a most holy part of the offerings made to the LORD by fire.
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.4,Lev 2:4,3,"""'If you bring a grain offering baked in an oven, it is to consist of fine flour: cakes made without yeast and mixed with oil, or wafers made without yeast and spread with oil."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.5,Lev 2:5,4,"If your grain offering is prepared on a griddle, it is to be made of fine flour mixed with oil, and without yeast."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.6,Lev 2:6,5,Crumble it and pour oil on it; it is a grain offering.
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.7,Lev 2:7,6,"If your grain offering is cooked in a pan, it is to be made of fine flour and oil."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.8,Lev 2:8,7,"Bring the grain offering made of these things to the LORD; present it to the priest, who shall take it to the altar."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.9,Lev 2:9,8,"He shall take out the memorial portion from the grain offering and burn it on the altar as an offering made by fire, an aroma pleasing to the LORD."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.10,Lev 2:10,9,The rest of the grain offering belongs to Aaron and his sons; it is a most holy part of the offerings made to the LORD by fire.
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.11,Lev 2:11,10,"""'Every grain offering you bring to the LORD must be made without yeast, for you are not to burn any yeast or honey in an offering made to the LORD by fire."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.12,Lev 2:12,11,"You may bring them to the LORD as an offering of the firstfruits, but they are not to be offered on the altar as a pleasing aroma."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.13,Lev 2:13,12,Season all your grain offerings with salt. Do not leave the salt of the covenant of your God out of your grain offerings; add salt to all your offerings.
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.14,Lev 2:14,13,"""'If you bring a grain offering of firstfruits to the LORD, offer crushed heads of new grain roasted in the fire."
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.15,Lev 2:15,14,Put oil and incense on it; it is a grain offering.
en,NIV,Lev,Lev,2,Lev.2,Lev 2,1,Lev.2.16,Lev 2:16,15,"The priest shall burn the memorial portion of the crushed grain and the oil, together with all the incense, as an offering made to the LORD by fire."
en,NIV,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.1,Lev 3:1,0,"""'If someone's offering is a fellowship offering, and he offers an animal from the herd, whether male or female, he is to present before the LORD an animal without defect."
en,NIV,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.2,Lev 3:2,1,He is to lay his hand on the head of his offering and slaughter it at the entrance to the Tent of Meeting. Then Aaron's sons the priests shall sprinkle the blood against the altar on all sides.
en,NIV,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.3,Lev 3:3,2,"From the fellowship offering he is to bring a sacrifice made to the LORD by fire: all the fat that covers the inner parts or is connected to them,"
en,NIV,Lev,Lev,2,Lev.3,Lev 3,2,Lev.3.4,Lev 3:4,3,"both kidneys with the fat on them near the loins, and the covering of the liver, which he will remove with the kidneys."
