languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.1,Num 1:1,0,The LORD spoke to Moses in the Tent of Meeting in the Desert of Sinai on the first day of the second month of the second year after the Israelites came out of Egypt. He said:
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.2,Num 1:2,1,"""Take a census of the whole Israelite community by their clans and families, listing every man by name, one by one."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.3,Num 1:3,2,You and Aaron are to number by their divisions all the men in Israel twenty years old or more who are able to serve in the army.
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.4,Num 1:4,3,"One man from each tribe, each the head of his family, is to help you."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.5,Num 1:5,4,"These are the names of the men who are to assist you: from Reuben, Elizur son of Shedeur;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.6,Num 1:6,5,"from Simeon, Shelumiel son of Zurishaddai;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.7,Num 1:7,6,"from Judah, Nahshon son of Amminadab;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.8,Num 1:8,7,"from Issachar, Nethanel son of Zuar;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.9,Num 1:9,8,"from Zebulun, Eliab son of Helon;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.10,Num 1:10,9,"from the sons of Joseph: from Ephraim, Elishama son of Ammihud; from Manasseh, Gamaliel son of Pedahzur;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.11,Num 1:11,10,"from Benjamin, Abidan son of Gideoni;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.12,Num 1:12,11,"from Dan, Ahiezer son of Ammishaddai;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.13,Num 1:13,12,"from Asher, Pagiel son of Ocran;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.14,Num 1:14,13,"from Gad, Eliasaph son of Deuel;"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.15,Num 1:15,14,"from Naphtali, Ahira son of Enan."""
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.16,Num 1:16,15,"These were the men appointed from the community, the leaders of their ancestral tribes. They were the heads of the clans of Israel."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.17,Num 1:17,16,"Moses and Aaron took these men whose names had been given,"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.18,Num 1:18,17,"and they called the whole community together on the first day of the second month. The people indicated their ancestry by their clans and families, and the men twenty years old or more were listed by name, one by one,"
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.19,Num 1:19,18,as the LORD commanded Moses. And so he counted them in the Desert of Sinai:
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.20,Num 1:20,19,"From the descendants of Reuben the firstborn son of Israel: All the men twenty years old or more who were able to serve in the army were listed by name, one by one, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.21,Num 1:21,20,"The number from the tribe of Reuben was 46,500."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.22,Num 1:22,21,"From the descendants of Simeon: All the men twenty years old or more who were able to serve in the army were counted and listed by name, one by one, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.23,Num 1:23,22,"The number from the tribe of Simeon was 59,300."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.24,Num 1:24,23,"From the descendants of Gad: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.25,Num 1:25,24,"The number from the tribe of Gad was 45,650."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.26,Num 1:26,25,"From the descendants of Judah: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.27,Num 1:27,26,"The number from the tribe of Judah was 74,600."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.28,Num 1:28,27,"From the descendants of Issachar: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.29,Num 1:29,28,"The number from the tribe of Issachar was 54,400."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.30,Num 1:30,29,"From the descendants of Zebulun: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.31,Num 1:31,30,"The number from the tribe of Zebulun was 57,400."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.32,Num 1:32,31,"From the sons of Joseph: From the descendants of Ephraim: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.33,Num 1:33,32,"The number from the tribe of Ephraim was 40,500."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.34,Num 1:34,33,"From the descendants of Manasseh: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.35,Num 1:35,34,"The number from the tribe of Manasseh was 32,200."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.36,Num 1:36,35,"From the descendants of Benjamin: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.37,Num 1:37,36,"The number from the tribe of Benjamin was 35,400."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.38,Num 1:38,37,"From the descendants of Dan: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.39,Num 1:39,38,"The number from the tribe of Dan was 62,700."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.40,Num 1:40,39,"From the descendants of Asher: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.41,Num 1:41,40,"The number from the tribe of Asher was 41,500."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.42,Num 1:42,41,"From the descendants of Naphtali: All the men twenty years old or more who were able to serve in the army were listed by name, according to the records of their clans and families."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.43,Num 1:43,42,"The number from the tribe of Naphtali was 53,400."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.44,Num 1:44,43,"These were the men counted by Moses and Aaron and the twelve leaders of Israel, each one representing his family."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.45,Num 1:45,44,All the Israelites twenty years old or more who were able to serve in Israel's army were counted according to their families.
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.46,Num 1:46,45,"The total number was 603,550."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.47,Num 1:47,46,"The families of the tribe of Levi, however, were not counted along with the others."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.48,Num 1:48,47,The LORD had said to Moses:
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.49,Num 1:49,48,"""You must not count the tribe of Levi or include them in the census of the other Israelites."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.50,Num 1:50,49,"Instead, appoint the Levites to be in charge of the tabernacle of the Testimony-over all its furnishings and everything belonging to it. They are to carry the tabernacle and all its furnishings; they are to take care of it and encamp around it."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.51,Num 1:51,50,"Whenever the tabernacle is to move, the Levites are to take it down, and whenever the tabernacle is to be set up, the Levites shall do it. Anyone else who goes near it shall be put to death."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.52,Num 1:52,51,"The Israelites are to set up their tents by divisions, each man in his own camp under his own standard."
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.53,Num 1:53,52,"The Levites, however, are to set up their tents around the tabernacle of the Testimony so that wrath will not fall on the Israelite community. The Levites are to be responsible for the care of the tabernacle of the Testimony."""
en,NIV,Num,Num,3,Num.1,Num 1,0,Num.1.54,Num 1:54,53,The Israelites did all this just as the LORD commanded Moses.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.1,Num 2:1,0,The LORD said to Moses and Aaron:
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.2,Num 2:2,1,"""The Israelites are to camp around the Tent of Meeting some distance from it, each man under his standard with the banners of his family."""
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.3,Num 2:3,2,"On the east, toward the sunrise, the divisions of the camp of Judah are to encamp under their standard. The leader of the people of Judah is Nahshon son of Amminadab."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.4,Num 2:4,3,"His division numbers 74,600."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.5,Num 2:5,4,The tribe of Issachar will camp next to them. The leader of the people of Issachar is Nethanel son of Zuar.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.6,Num 2:6,5,"His division numbers 54,400."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.7,Num 2:7,6,The tribe of Zebulun will be next. The leader of the people of Zebulun is Eliab son of Helon.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.8,Num 2:8,7,"His division numbers 57,400."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.9,Num 2:9,8,"All the men assigned to the camp of Judah, according to their divisions, number 186,400. They will set out first."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.10,Num 2:10,9,On the south will be the divisions of the camp of Reuben under their standard. The leader of the people of Reuben is Elizur son of Shedeur.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.11,Num 2:11,10,"His division numbers 46,500."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.12,Num 2:12,11,The tribe of Simeon will camp next to them. The leader of the people of Simeon is Shelumiel son of Zurishaddai.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.13,Num 2:13,12,"His division numbers 59,300."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.14,Num 2:14,13,The tribe of Gad will be next. The leader of the people of Gad is Eliasaph son of Deuel.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.15,Num 2:15,14,"His division numbers 45,650."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.16,Num 2:16,15,"All the men assigned to the camp of Reuben, according to their divisions, number 151,450. They will set out second."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.17,Num 2:17,16,"Then the Tent of Meeting and the camp of the Levites will set out in the middle of the camps. They will set out in the same order as they encamp, each in his own place under his standard."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.18,Num 2:18,17,On the west will be the divisions of the camp of Ephraim under their standard. The leader of the people of Ephraim is Elishama son of Ammihud.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.19,Num 2:19,18,"His division numbers 40,500."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.20,Num 2:20,19,The tribe of Manasseh will be next to them. The leader of the people of Manasseh is Gamaliel son of Pedahzur.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.21,Num 2:21,20,"His division numbers 32,200."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.22,Num 2:22,21,The tribe of Benjamin will be next. The leader of the people of Benjamin is Abidan son of Gideoni.
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.23,Num 2:23,22,"His division numbers 35,400."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.24,Num 2:24,23,"All the men assigned to the camp of Ephraim, according to their divisions, number 108,100. They will set out third."
en,NIV,Num,Num,3,Num.2,Num 2,1,Num.2.25,Num 2:25,24,"On the north will be the divisions of the camp of Dan, under their standard. The leader of the people of Dan is Ahiezer son of Ammishaddai."
