languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.1,Deut 1:1,0,"These are the words Moses spoke to all Israel in the desert east of the Jordan-that is, in the Arabah-opposite Suph, between Paran and Tophel, Laban, Hazeroth and Dizahab."
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.2,Deut 1:2,1,(It takes eleven days to go from Horeb to Kadesh Barnea by the Mount Seir road.)
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.3,Deut 1:3,2,"In the fortieth year, on the first day of the eleventh month, Moses proclaimed to the Israelites all that the LORD had commanded him concerning them."
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.4,Deut 1:4,3,"This was after he had defeated Sihon king of the Amorites, who reigned in Heshbon, and at Edrei had defeated Og king of Bashan, who reigned in Ashtaroth."
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.5,Deut 1:5,4,"East of the Jordan in the territory of Moab, Moses began to expound this law, saying:"
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.6,Deut 1:6,5,"The LORD our God said to us at Horeb, ""You have stayed long enough at this mountain."
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.7,Deut 1:7,6,"Break camp and advance into the hill country of the Amorites; go to all the neighboring peoples in the Arabah, in the mountains, in the western foothills, in the Negev and along the coast, to the land of the Canaanites and to Lebanon, as far as the great river, the Euphrates."
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.8,Deut 1:8,7,"See, I have given you this land. Go in and take possession of the land that the LORD swore he would give to your fathers-to Abraham, Isaac and Jacob-and to their descendants after them."""
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.9,Deut 1:9,8,"At that time I said to you, ""You are too heavy a burden for me to carry alone."
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.10,Deut 1:10,9,The LORD your God has increased your numbers so that today you are as many as the stars in the sky.
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.11,Deut 1:11,10,"May the LORD, the God of your fathers, increase you a thousand times and bless you as he has promised!"
en,NIV,Deut,Deut,4,Deut.1,Deut 1,0,Deut.1.12,Deut 1:12,11,But how can I bear your problems and your burdens and your disputes all by myself?
