languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.1,1Sam 1:1,0,"There was a certain man from Ramathaim, a Zuphite from the hill country of Ephraim, whose name was Elkanah son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephraimite."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.2,1Sam 1:2,1,"He had two wives; one was called Hannah and the other Peninnah. Peninnah had children, but Hannah had none."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.3,1Sam 1:3,2,"Year after year this man went up from his town to worship and sacrifice to the LORD Almighty at Shiloh, where Hophni and Phinehas, the two sons of Eli, were priests of the LORD."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.4,1Sam 1:4,3,"Whenever the day came for Elkanah to sacrifice, he would give portions of the meat to his wife Peninnah and to all her sons and daughters."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.5,1Sam 1:5,4,"But to Hannah he gave a double portion because he loved her, and the LORD had closed her womb."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.6,1Sam 1:6,5,"And because the LORD had closed her womb, her rival kept provoking her in order to irritate her."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.7,1Sam 1:7,6,"This went on year after year. Whenever Hannah went up to the house of the LORD, her rival provoked her till she wept and would not eat."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.8,1Sam 1:8,7,"Elkanah her husband would say to her, ""Hannah, why are you weeping? Why don't you eat? Why are you downhearted? Don't I mean more to you than ten sons?"""
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.9,1Sam 1:9,8,"Once when they had finished eating and drinking in Shiloh, Hannah stood up. Now Eli the priest was sitting on a chair by the doorpost of the LORD's temple."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.10,1Sam 1:10,9,In bitterness of soul Hannah wept much and prayed to the LORD.
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.11,1Sam 1:11,10,"And she made a vow, saying, ""O LORD Almighty, if you will only look upon your servant's misery and remember me, and not forget your servant but give her a son, then I will give him to the LORD for all the days of his life, and no razor will ever be used on his head."""
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.12,1Sam 1:12,11,"As she kept on praying to the LORD, Eli observed her mouth."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.13,1Sam 1:13,12,"Hannah was praying in her heart, and her lips were moving but her voice was not heard. Eli thought she was drunk"
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.14,1Sam 1:14,13,"and said to her, ""How long will you keep on getting drunk? Get rid of your wine."""
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.15,1Sam 1:15,14,"""Not so, my lord,"" Hannah replied, ""I am a woman who is deeply troubled. I have not been drinking wine or beer; I was pouring out my soul to the LORD."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.16,1Sam 1:16,15,"Do not take your servant for a wicked woman; I have been praying here out of my great anguish and grief."""
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.17,1Sam 1:17,16,"Eli answered, ""Go in peace, and may the God of Israel grant you what you have asked of him."""
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.18,1Sam 1:18,17,"She said, ""May your servant find favor in your eyes."" Then she went her way and ate something, and her face was no longer downcast."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.19,1Sam 1:19,18,"Early the next morning they arose and worshiped before the LORD and then went back to their home at Ramah. Elkanah lay with Hannah his wife, and the LORD remembered her."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.20,1Sam 1:20,19,"So in the course of time Hannah conceived and gave birth to a son. She named him Samuel, saying, ""Because I asked the LORD for him."""
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.21,1Sam 1:21,20,"When the man Elkanah went up with all his family to offer the annual sacrifice to the LORD and to fulfill his vow,"
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.22,1Sam 1:22,21,"Hannah did not go. She said to her husband, ""After the boy is weaned, I will take him and present him before the LORD, and he will live there always."""
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.23,1Sam 1:23,22,"""Do what seems best to you,"" Elkanah her husband told her. ""Stay here until you have weaned him; only may the LORD make good his word."" So the woman stayed at home and nursed her son until she had weaned him."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.24,1Sam 1:24,23,"After he was weaned, she took the boy with her, young as he was, along with a three-year-old bull, an ephah of flour and a skin of wine, and brought him to the house of the LORD at Shiloh."
en,NIV,1Sam,1Sam,8,1Sam.1,1Sam 1,0,1Sam.1.25,1Sam 1:25,24,"When they had slaughtered the bull, they brought the boy to Eli,"
