languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.1,2Chr 1:1,0,"Solomon son of David established himself firmly over his kingdom, for the LORD his God was with him and made him exceedingly great."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.2,2Chr 1:2,1,"Then Solomon spoke to all Israel-to the commanders of thousands and commanders of hundreds, to the judges and to all the leaders in Israel, the heads of families-"
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.3,2Chr 1:3,2,"and Solomon and the whole assembly went to the high place at Gibeon, for God's Tent of Meeting was there, which Moses the LORD's servant had made in the desert."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.4,2Chr 1:4,3,"Now David had brought up the ark of God from Kiriath Jearim to the place he had prepared for it, because he had pitched a tent for it in Jerusalem."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.5,2Chr 1:5,4,"But the bronze altar that Bezalel son of Uri, the son of Hur, had made was in Gibeon in front of the tabernacle of the LORD; so Solomon and the assembly inquired of him there."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.6,2Chr 1:6,5,Solomon went up to the bronze altar before the LORD in the Tent of Meeting and offered a thousand burnt offerings on it.
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.7,2Chr 1:7,6,"That night God appeared to Solomon and said to him, ""Ask for whatever you want me to give you."""
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.8,2Chr 1:8,7,"Solomon answered God, ""You have shown great kindness to David my father and have made me king in his place."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.9,2Chr 1:9,8,"Now, LORD God, let your promise to my father David be confirmed, for you have made me king over a people who are as numerous as the dust of the earth."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.10,2Chr 1:10,9,"Give me wisdom and knowledge, that I may lead this people, for who is able to govern this great people of yours?"""
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.11,2Chr 1:11,10,"God said to Solomon, ""Since this is your heart's desire and you have not asked for wealth, riches or honor, nor for the death of your enemies, and since you have not asked for a long life but for wisdom and knowledge to govern my people over whom I have made you king,"
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.12,2Chr 1:12,11,"therefore wisdom and knowledge will be given you. And I will also give you wealth, riches and honor, such as no king who was before you ever had and none after you will have."""
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.13,2Chr 1:13,12,"Then Solomon went to Jerusalem from the high place at Gibeon, from before the Tent of Meeting. And he reigned over Israel."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.14,2Chr 1:14,13,"Solomon accumulated chariots and horses; he had fourteen hundred chariots and twelve thousand horses, which he kept in the chariot cities and also with him in Jerusalem."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.15,2Chr 1:15,14,"The king made silver and gold as common in Jerusalem as stones, and cedar as plentiful as sycamore-fig trees in the foothills."
en,NIV,2Chr,2Chr,13,2Chr.1,2Chr 1,0,2Chr.1.16,2Chr 1:16,15,Solomon's horses were imported from Egypt and from Kue - the royal merchants purchased them from Kue.
