languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.1,Job 1:1,0,In the land of Uz there lived a man whose name was Job. This man was blameless and upright; he feared God and shunned evil.
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.2,Job 1:2,1,"He had seven sons and three daughters,"
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.3,Job 1:3,2,"and he owned seven thousand sheep, three thousand camels, five hundred yoke of oxen and five hundred donkeys, and had a large number of servants. He was the greatest man among all the people of the East."
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.4,Job 1:4,3,"His sons used to take turns holding feasts in their homes, and they would invite their three sisters to eat and drink with them."
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.5,Job 1:5,4,"When a period of feasting had run its course, Job would send and have them purified. Early in the morning he would sacrifice a burnt offering for each of them, thinking, ""Perhaps my children have sinned and cursed God in their hearts."" This was Job's regular custom."
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.6,Job 1:6,5,"One day the angels came to present themselves before the LORD, and Satan also came with them."
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.7,Job 1:7,6,"The LORD said to Satan, ""Where have you come from?"" Satan answered the LORD, ""From roaming through the earth and going back and forth in it."""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.8,Job 1:8,7,"Then the LORD said to Satan, ""Have you considered my servant Job? There is no one on earth like him; he is blameless and upright, a man who fears God and shuns evil."""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.9,Job 1:9,8,"""Does Job fear God for nothing?"" Satan replied."
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.10,Job 1:10,9,"""Have you not put a hedge around him and his household and everything he has? You have blessed the work of his hands, so that his flocks and herds are spread throughout the land."
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.11,Job 1:11,10,"But stretch out your hand and strike everything he has, and he will surely curse you to your face."""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.12,Job 1:12,11,"The LORD said to Satan, ""Very well, then, everything he has is in your hands, but on the man himself do not lay a finger."" Then Satan went out from the presence of the LORD."
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.13,Job 1:13,12,"One day when Job's sons and daughters were feasting and drinking wine at the oldest brother's house,"
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.14,Job 1:14,13,"a messenger came to Job and said, ""The oxen were plowing and the donkeys were grazing nearby,"
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.15,Job 1:15,14,"and the Sabeans attacked and carried them off. They put the servants to the sword, and I am the only one who has escaped to tell you!"""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.16,Job 1:16,15,"While he was still speaking, another messenger came and said, ""The fire of God fell from the sky and burned up the sheep and the servants, and I am the only one who has escaped to tell you!"""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.17,Job 1:17,16,"While he was still speaking, another messenger came and said, ""The Chaldeans formed three raiding parties and swept down on your camels and carried them off. They put the servants to the sword, and I am the only one who has escaped to tell you!"""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.18,Job 1:18,17,"While he was still speaking, yet another messenger came and said, ""Your sons and daughters were feasting and drinking wine at the oldest brother's house,"
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.19,Job 1:19,18,"when suddenly a mighty wind swept in from the desert and struck the four corners of the house. It collapsed on them and they are dead, and I am the only one who has escaped to tell you!"""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.20,Job 1:20,19,"At this, Job got up and tore his robe and shaved his head. Then he fell to the ground in worship"
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.21,Job 1:21,20,"and said: ""Naked I came from my mother's womb, and naked I will depart. The LORD gave and the LORD has taken away; may the name of the LORD be praised."""
en,NIV,Job,Job,17,Job.1,Job 1,0,Job.1.22,Job 1:22,21,"In all this, Job did not sin by charging God with wrongdoing."
en,NIV,Job,Job,17,Job.2,Job 2,1,Job.2.1,Job 2:1,0,"On another day the angels came to present themselves before the LORD, and Satan also came with them to present himself before him."
en,NIV,Job,Job,17,Job.2,Job 2,1,Job.2.2,Job 2:2,1,"And the LORD said to Satan, ""Where have you come from?"" Satan answered the LORD, ""From roaming through the earth and going back and forth in it."""
en,NIV,Job,Job,17,Job.2,Job 2,1,Job.2.3,Job 2:3,2,"Then the LORD said to Satan, ""Have you considered my servant Job? There is no one on earth like him; he is blameless and upright, a man who fears God and shuns evil. And he still maintains his integrity, though you incited me against him to ruin him without any reason."""
en,NIV,Job,Job,17,Job.2,Job 2,1,Job.2.4,Job 2:4,3,"""Skin for skin!"" Satan replied. ""A man will give all he has for his own life."
en,NIV,Job,Job,17,Job.2,Job 2,1,Job.2.5,Job 2:5,4,"But stretch out your hand and strike his flesh and bones, and he will surely curse you to your face."""
