languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.1,Ps 1:1,0,Blessed is the man who does not walk in the counsel of the wicked or stand in the way of sinners or sit in the seat of mockers.
en,NIV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.2,Ps 1:2,1,"But his delight is in the law of the LORD, and on his law he meditates day and night."
en,NIV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.3,Ps 1:3,2,"He is like a tree planted by streams of water, which yields its fruit in season and whose leaf does not wither. Whatever he does prospers."
en,NIV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.4,Ps 1:4,3,Not so the wicked! They are like chaff that the wind blows away.
en,NIV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.5,Ps 1:5,4,"Therefore the wicked will not stand in the judgment, nor sinners in the assembly of the righteous."
en,NIV,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.6,Ps 1:6,5,"For the LORD watches over the way of the righteous, but the way of the wicked will perish."
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.1,Ps 2:1,0,Why do the nations conspire and the peoples plot in vain?
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.2,Ps 2:2,1,The kings of the earth take their stand and the rulers gather together against the LORD and against his Anointed One.
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.3,Ps 2:3,2,"""Let us break their chains,"" they say, ""and throw off their fetters."""
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.4,Ps 2:4,3,The One enthroned in heaven laughs; the Lord scoffs at them.
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.5,Ps 2:5,4,"Then he rebukes them in his anger and terrifies them in his wrath, saying,"
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.6,Ps 2:6,5,"""I have installed my King on Zion, my holy hill."""
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.7,Ps 2:7,6,"I will proclaim the decree of the LORD: He said to me, ""You are my Son; today I have become your Father."
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.8,Ps 2:8,7,"Ask of me, and I will make the nations your inheritance, the ends of the earth your possession."
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.9,Ps 2:9,8,"You will rule them with an iron scepter; you will dash them to pieces like pottery."""
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.10,Ps 2:10,9,"Therefore, you kings, be wise; be warned, you rulers of the earth."
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.11,Ps 2:11,10,Serve the LORD with fear and rejoice with trembling.
en,NIV,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.12,Ps 2:12,11,"Kiss the Son, lest he be angry and you be destroyed in your way, for his wrath can flare up in a moment. Blessed are all who take refuge in him."
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.1,Ps 3:1,0,"O LORD, how many are my foes! How many rise up against me!"
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.2,Ps 3:2,1,"Many are saying of me, ""God will not deliver him."" Selah"
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.3,Ps 3:3,2,"But you are a shield around me, O LORD; you bestow glory on me and lift up my head."
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.4,Ps 3:4,3,"To the LORD I cry aloud, and he answers me from his holy hill. Selah"
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.5,Ps 3:5,4,"I lie down and sleep; I wake again, because the LORD sustains me."
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.6,Ps 3:6,5,I will not fear the tens of thousands drawn up against me on every side.
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.7,Ps 3:7,6,"Arise, O LORD! Deliver me, O my God! Strike all my enemies on the jaw; break the teeth of the wicked."
en,NIV,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.8,Ps 3:8,7,From the LORD comes deliverance. May your blessing be on your people. Selah
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.1,Ps 4:1,0,"Answer me when I call to you, O my righteous God. Give me relief from my distress; be merciful to me and hear my prayer."
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.2,Ps 4:2,1,"How long, O men, will you turn my glory into shame? How long will you love delusions and seek false gods? Selah"
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.3,Ps 4:3,2,Know that the LORD has set apart the godly for himself; the LORD will hear when I call to him.
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.4,Ps 4:4,3,"In your anger do not sin; when you are on your beds, search your hearts and be silent. Selah"
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.5,Ps 4:5,4,Offer right sacrifices and trust in the LORD.
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.6,Ps 4:6,5,"Many are asking, ""Who can show us any good?"" Let the light of your face shine upon us, O LORD."
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.7,Ps 4:7,6,You have filled my heart with greater joy than when their grain and new wine abound.
en,NIV,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.8,Ps 4:8,7,"I will lie down and sleep in peace, for you alone, O LORD, make me dwell in safety."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.1,Ps 5:1,0,"Give ear to my words, O LORD, consider my sighing."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.2,Ps 5:2,1,"Listen to my cry for help, my King and my God, for to you I pray."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.3,Ps 5:3,2,"In the morning, O LORD, you hear my voice; in the morning I lay my requests before you and wait in expectation."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.4,Ps 5:4,3,You are not a God who takes pleasure in evil; with you the wicked cannot dwell.
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.5,Ps 5:5,4,The arrogant cannot stand in your presence; you hate all who do wrong.
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.6,Ps 5:6,5,You destroy those who tell lies; bloodthirsty and deceitful men the LORD abhors.
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.7,Ps 5:7,6,"But I, by your great mercy, will come into your house; in reverence will I bow down toward your holy temple."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.8,Ps 5:8,7,"Lead me, O LORD, in your righteousness because of my enemies- make straight your way before me."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.9,Ps 5:9,8,Not a word from their mouth can be trusted; their heart is filled with destruction. Their throat is an open grave; with their tongue they speak deceit.
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.10,Ps 5:10,9,"Declare them guilty, O God! Let their intrigues be their downfall. Banish them for their many sins, for they have rebelled against you."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.11,Ps 5:11,10,"But let all who take refuge in you be glad; let them ever sing for joy. Spread your protection over them, that those who love your name may rejoice in you."
en,NIV,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.12,Ps 5:12,11,"For surely, O LORD, you bless the righteous; you surround them with your favor as with a shield."
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.1,Ps 6:1,0,"O LORD, do not rebuke me in your anger or discipline me in your wrath."
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.2,Ps 6:2,1,"Be merciful to me, LORD, for I am faint; O LORD, heal me, for my bones are in agony."
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.3,Ps 6:3,2,"My soul is in anguish. How long, O LORD, how long?"
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.4,Ps 6:4,3,"Turn, O LORD, and deliver me; save me because of your unfailing love."
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.5,Ps 6:5,4,No one remembers you when he is dead. Who praises you from the grave?
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.6,Ps 6:6,5,I am worn out from groaning; all night long I flood my bed with weeping and drench my couch with tears.
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.7,Ps 6:7,6,My eyes grow weak with sorrow; they fail because of all my foes.
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.8,Ps 6:8,7,"Away from me, all you who do evil, for the LORD has heard my weeping."
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.9,Ps 6:9,8,The LORD has heard my cry for mercy; the LORD accepts my prayer.
en,NIV,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.10,Ps 6:10,9,All my enemies will be ashamed and dismayed; they will turn back in sudden disgrace.
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.1,Ps 7:1,0,"O LORD my God, I take refuge in you; save and deliver me from all who pursue me,"
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.2,Ps 7:2,1,or they will tear me like a lion and rip me to pieces with no one to rescue me.
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.3,Ps 7:3,2,"O LORD my God, if I have done this and there is guilt on my hands-"
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.4,Ps 7:4,3,if I have done evil to him who is at peace with me or without cause have robbed my foe-
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.5,Ps 7:5,4,then let my enemy pursue and overtake me; let him trample my life to the ground and make me sleep in the dust. Selah
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.6,Ps 7:6,5,"Arise, O LORD, in your anger; rise up against the rage of my enemies. Awake, my God; decree justice."
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.7,Ps 7:7,6,Let the assembled peoples gather around you. Rule over them from on high;
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.8,Ps 7:8,7,"let the LORD judge the peoples. Judge me, O LORD, according to my righteousness, according to my integrity, O Most High."
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.9,Ps 7:9,8,"O righteous God, who searches minds and hearts, bring to an end the violence of the wicked and make the righteous secure."
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.10,Ps 7:10,9,"My shield is God Most High, who saves the upright in heart."
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.11,Ps 7:11,10,"God is a righteous judge, a God who expresses his wrath every day."
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.12,Ps 7:12,11,"If he does not relent, he will sharpen his sword; he will bend and string his bow."
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.13,Ps 7:13,12,He has prepared his deadly weapons; he makes ready his flaming arrows.
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.14,Ps 7:14,13,He who is pregnant with evil and conceives trouble gives birth to disillusionment.
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.15,Ps 7:15,14,He who digs a hole and scoops it out falls into the pit he has made.
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.16,Ps 7:16,15,The trouble he causes recoils on himself; his violence comes down on his own head.
en,NIV,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.17,Ps 7:17,16,I will give thanks to the LORD because of his righteousness and will sing praise to the name of the LORD Most High.
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.1,Ps 8:1,0,"O LORD, our Lord, how majestic is your name in all the earth! You have set your glory above the heavens."
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.2,Ps 8:2,1,"From the lips of children and infants you have ordained praise because of your enemies, to silence the foe and the avenger."
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.3,Ps 8:3,2,"When I consider your heavens, the work of your fingers, the moon and the stars, which you have set in place,"
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.4,Ps 8:4,3,"what is man that you are mindful of him, the son of man that you care for him?"
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.5,Ps 8:5,4,You made him a little lower than the heavenly beings and crowned him with glory and honor.
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.6,Ps 8:6,5,You made him ruler over the works of your hands; you put everything under his feet:
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.7,Ps 8:7,6,"all flocks and herds, and the beasts of the field,"
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.8,Ps 8:8,7,"the birds of the air, and the fish of the sea, all that swim the paths of the seas."
en,NIV,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.9,Ps 8:9,8,"O LORD, our Lord, how majestic is your name in all the earth!"
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.1,Ps 9:1,0,"I will praise you, O LORD, with all my heart; I will tell of all your wonders."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.2,Ps 9:2,1,"I will be glad and rejoice in you; I will sing praise to your name, O Most High."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.3,Ps 9:3,2,My enemies turn back; they stumble and perish before you.
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.4,Ps 9:4,3,"For you have upheld my right and my cause; you have sat on your throne, judging righteously."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.5,Ps 9:5,4,You have rebuked the nations and destroyed the wicked; you have blotted out their name for ever and ever.
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.6,Ps 9:6,5,"Endless ruin has overtaken the enemy, you have uprooted their cities; even the memory of them has perished."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.7,Ps 9:7,6,The LORD reigns forever; he has established his throne for judgment.
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.8,Ps 9:8,7,He will judge the world in righteousness; he will govern the peoples with justice.
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.9,Ps 9:9,8,"The LORD is a refuge for the oppressed, a stronghold in times of trouble."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.10,Ps 9:10,9,"Those who know your name will trust in you, for you, LORD, have never forsaken those who seek you."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.11,Ps 9:11,10,"Sing praises to the LORD, enthroned in Zion; proclaim among the nations what he has done."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.12,Ps 9:12,11,For he who avenges blood remembers; he does not ignore the cry of the afflicted.
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.13,Ps 9:13,12,"O LORD, see how my enemies persecute me! Have mercy and lift me up from the gates of death,"
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.14,Ps 9:14,13,that I may declare your praises in the gates of the Daughter of Zion and there rejoice in your salvation.
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.15,Ps 9:15,14,The nations have fallen into the pit they have dug; their feet are caught in the net they have hidden.
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.16,Ps 9:16,15,The LORD is known by his justice; the wicked are ensnared by the work of their hands. Higgaion. Selah
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.17,Ps 9:17,16,"The wicked return to the grave, all the nations that forget God."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.18,Ps 9:18,17,"But the needy will not always be forgotten, nor the hope of the afflicted ever perish."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.19,Ps 9:19,18,"Arise, O LORD, let not man triumph; let the nations be judged in your presence."
en,NIV,Ps,Ps,18,Ps.9,Ps 9,8,Ps.9.20,Ps 9:20,19,"Strike them with terror, O LORD; let the nations know they are but men. Selah"
en,NIV,Ps,Ps,18,Ps.10,Ps 10,9,Ps.10.1,Ps 10:1,0,"Why, O LORD, do you stand far off? Why do you hide yourself in times of trouble?"
en,NIV,Ps,Ps,18,Ps.10,Ps 10,9,Ps.10.2,Ps 10:2,1,"In his arrogance the wicked man hunts down the weak, who are caught in the schemes he devises."
en,NIV,Ps,Ps,18,Ps.10,Ps 10,9,Ps.10.3,Ps 10:3,2,He boasts of the cravings of his heart; he blesses the greedy and reviles the LORD.
en,NIV,Ps,Ps,18,Ps.10,Ps 10,9,Ps.10.4,Ps 10:4,3,In his pride the wicked does not seek him; in all his thoughts there is no room for God.
en,NIV,Ps,Ps,18,Ps.10,Ps 10,9,Ps.10.5,Ps 10:5,4,His ways are always prosperous; he is haughty and your laws are far from him; he sneers at all his enemies.
en,NIV,Ps,Ps,18,Ps.10,Ps 10,9,Ps.10.6,Ps 10:6,5,"He says to himself, ""Nothing will shake me; I'll always be happy and never have trouble."""
en,NIV,Ps,Ps,18,Ps.10,Ps 10,9,Ps.10.7,Ps 10:7,6,His mouth is full of curses and lies and threats; trouble and evil are under his tongue.
