languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.1,Prov 1:1,0,"The proverbs of Solomon son of David, king of Israel:"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.2,Prov 1:2,1,for attaining wisdom and discipline; for understanding words of insight;
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.3,Prov 1:3,2,"for acquiring a disciplined and prudent life, doing what is right and just and fair;"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.4,Prov 1:4,3,"for giving prudence to the simple, knowledge and discretion to the young-"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.5,Prov 1:5,4,"let the wise listen and add to their learning, and let the discerning get guidance-"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.6,Prov 1:6,5,"for understanding proverbs and parables, the sayings and riddles of the wise."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.7,Prov 1:7,6,"The fear of the Lord is the beginning of knowledge, but fools despise wisdom and discipline."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.8,Prov 1:8,7,"Listen, my son, to your father's instruction and do not forsake your mother's teaching."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.9,Prov 1:9,8,They will be a garland to grace your head and a chain to adorn your neck.
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.10,Prov 1:10,9,"My son, if sinners entice you, do not give in to them."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.11,Prov 1:11,10,"If they say, ""Come along with us; let's lie in wait for someone's blood, let's waylay some harmless soul;"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.12,Prov 1:12,11,"let's swallow them alive, like the grave, and whole, like those who go down to the pit;"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.13,Prov 1:13,12,we will get all sorts of valuable things and fill our houses with plunder;
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.14,Prov 1:14,13,"throw in your lot with us, and we will share a common purse""-"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.15,Prov 1:15,14,"my son, do not go along with them, do not set foot on their paths;"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.16,Prov 1:16,15,"for their feet rush into sin, they are swift to shed blood."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.17,Prov 1:17,16,How useless to spread a net in full view of all the birds!
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.18,Prov 1:18,17,These men lie in wait for their own blood; they waylay only themselves!
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.19,Prov 1:19,18,Such is the end of all who go after ill-gotten gain; it takes away the lives of those who get it.
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.20,Prov 1:20,19,"Wisdom calls aloud in the street, she raises her voice in the public squares;"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.21,Prov 1:21,20,"at the head of the noisy streets she cries out, in the gateways of the city she makes her speech:"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.22,Prov 1:22,21,"""How long will you simple ones love your simple ways? How long will mockers delight in mockery and fools hate knowledge?"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.23,Prov 1:23,22,"If you had responded to my rebuke, I would have poured out my heart to you and made my thoughts known to you."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.24,Prov 1:24,23,"But since you rejected me when I called and no one gave heed when I stretched out my hand,"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.25,Prov 1:25,24,"since you ignored all my advice and would not accept my rebuke,"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.26,Prov 1:26,25,I in turn will laugh at your disaster; I will mock when calamity overtakes you-
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.27,Prov 1:27,26,"when calamity overtakes you like a storm, when disaster sweeps over you like a whirlwind, when distress and trouble overwhelm you."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.28,Prov 1:28,27,"""Then they will call to me but I will not answer; they will look for me but will not find me."
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.29,Prov 1:29,28,"Since they hated knowledge and did not choose to fear the LORD,"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.30,Prov 1:30,29,"since they would not accept my advice and spurned my rebuke,"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.31,Prov 1:31,30,they will eat the fruit of their ways and be filled with the fruit of their schemes.
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.32,Prov 1:32,31,"For the waywardness of the simple will kill them, and the complacency of fools will destroy them;"
en,NIV,Prov,Prov,19,Prov.1,Prov 1,0,Prov.1.33,Prov 1:33,32,"but whoever listens to me will live in safety and be at ease, without fear of harm."""
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.1,Prov 2:1,0,"My son, if you accept my words and store up my commands within you,"
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.2,Prov 2:2,1,"turning your ear to wisdom and applying your heart to understanding,"
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.3,Prov 2:3,2,"and if you call out for insight and cry aloud for understanding,"
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.4,Prov 2:4,3,"and if you look for it as for silver and search for it as for hidden treasure,"
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.5,Prov 2:5,4,then you will understand the fear of the LORD and find the knowledge of God.
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.6,Prov 2:6,5,"For the LORD gives wisdom, and from his mouth come knowledge and understanding."
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.7,Prov 2:7,6,"He holds victory in store for the upright, he is a shield to those whose walk is blameless,"
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.8,Prov 2:8,7,for he guards the course of the just and protects the way of his faithful ones.
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.9,Prov 2:9,8,Then you will understand what is right and just and fair-every good path.
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.10,Prov 2:10,9,"For wisdom will enter your heart, and knowledge will be pleasant to your soul."
en,NIV,Prov,Prov,19,Prov.2,Prov 2,1,Prov.2.11,Prov 2:11,10,"Discretion will protect you, and understanding will guard you."
