languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.1,Song 1:1,0,Solomon's Song of Songs.
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.2,Song 1:2,1,Let him kiss me with the kisses of his mouth- for your love is more delightful than wine.
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.3,Song 1:3,2,Pleasing is the fragrance of your perfumes; your name is like perfume poured out. No wonder the maidens love you!
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.4,Song 1:4,3,Take me away with you-let us hurry! Let the king bring me into his chambers. We rejoice and delight in you; we will praise your love more than wine. How right they are to adore you!
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.5,Song 1:5,4,"Dark am I, yet lovely, O daughters of Jerusalem, dark like the tents of Kedar, like the tent curtains of Solomon."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.6,Song 1:6,5,"Do not stare at me because I am dark, because I am darkened by the sun. My mother's sons were angry with me and made me take care of the vineyards; my own vineyard I have neglected."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.7,Song 1:7,6,"Tell me, you whom I love, where you graze your flock and where you rest your sheep at midday. Why should I be like a veiled woman beside the flocks of your friends?"
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.8,Song 1:8,7,"If you do not know, most beautiful of women, follow the tracks of the sheep and graze your young goats by the tents of the shepherds."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.9,Song 1:9,8,"I liken you, my darling, to a mare harnessed to one of the chariots of Pharaoh."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.10,Song 1:10,9,"Your cheeks are beautiful with earrings, your neck with strings of jewels."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.11,Song 1:11,10,"We will make you earrings of gold, studded with silver."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.12,Song 1:12,11,"While the king was at his table, my perfume spread its fragrance."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.13,Song 1:13,12,My lover is to me a sachet of myrrh resting between my breasts.
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.14,Song 1:14,13,My lover is to me a cluster of henna blossoms from the vineyards of En Gedi.
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.15,Song 1:15,14,"How beautiful you are, my darling! Oh, how beautiful! Your eyes are doves."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.16,Song 1:16,15,"How handsome you are, my lover! Oh, how charming! And our bed is verdant."
en,NIV,Song,Song,21,Song.1,Song 1,0,Song.1.17,Song 1:17,16,The beams of our house are cedars; our rafters are firs.
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.1,Song 2:1,0,"I am a rose of Sharon, a lily of the valleys."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.2,Song 2:2,1,Like a lily among thorns is my darling among the maidens.
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.3,Song 2:3,2,"Like an apple tree among the trees of the forest is my lover among the young men. I delight to sit in his shade, and his fruit is sweet to my taste."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.4,Song 2:4,3,"He has taken me to the banquet hall, and his banner over me is love."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.5,Song 2:5,4,"Strengthen me with raisins, refresh me with apples, for I am faint with love."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.6,Song 2:6,5,"His left arm is under my head, and his right arm embraces me."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.7,Song 2:7,6,"Daughters of Jerusalem, I charge you by the gazelles and by the does of the field: Do not arouse or awaken love until it so desires."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.8,Song 2:8,7,"Listen! My lover! Look! Here he comes, leaping across the mountains, bounding over the hills."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.9,Song 2:9,8,"My lover is like a gazelle or a young stag. Look! There he stands behind our wall, gazing through the windows, peering through the lattice."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.10,Song 2:10,9,"My lover spoke and said to me, ""Arise, my darling, my beautiful one, and come with me."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.11,Song 2:11,10,See! The winter is past; the rains are over and gone.
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.12,Song 2:12,11,"Flowers appear on the earth; the season of singing has come, the cooing of doves is heard in our land."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.13,Song 2:13,12,"The fig tree forms its early fruit; the blossoming vines spread their fragrance. Arise, come, my darling; my beautiful one, come with me."""
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.14,Song 2:14,13,"My dove in the clefts of the rock, in the hiding places on the mountainside, show me your face, let me hear your voice; for your voice is sweet, and your face is lovely."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.15,Song 2:15,14,"Catch for us the foxes, the little foxes that ruin the vineyards, our vineyards that are in bloom."
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.16,Song 2:16,15,My lover is mine and I am his; he browses among the lilies.
en,NIV,Song,Song,21,Song.2,Song 2,1,Song.2.17,Song 2:17,16,"Until the day breaks and the shadows flee, turn, my lover, and be like a gazelle or like a young stag on the rugged hills."
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.1,Song 3:1,0,All night long on my bed I looked for the one my heart loves; I looked for him but did not find him.
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.2,Song 3:2,1,"I will get up now and go about the city, through its streets and squares; I will search for the one my heart loves. So I looked for him but did not find him."
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.3,Song 3:3,2,"The watchmen found me as they made their rounds in the city. ""Have you seen the one my heart loves?"""
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.4,Song 3:4,3,"Scarcely had I passed them when I found the one my heart loves. I held him and would not let him go till I had brought him to my mother's house, to the room of the one who conceived me."
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.5,Song 3:5,4,"Daughters of Jerusalem, I charge you by the gazelles and by the does of the field: Do not arouse or awaken love until it so desires."
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.6,Song 3:6,5,"Who is this coming up from the desert like a column of smoke, perfumed with myrrh and incense made from all the spices of the merchant?"
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.7,Song 3:7,6,"Look! It is Solomon's carriage, escorted by sixty warriors, the noblest of Israel,"
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.8,Song 3:8,7,"all of them wearing the sword, all experienced in battle, each with his sword at his side, prepared for the terrors of the night."
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.9,Song 3:9,8,King Solomon made for himself the carriage; he made it of wood from Lebanon.
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.10,Song 3:10,9,"Its posts he made of silver, its base of gold. Its seat was upholstered with purple, its interior lovingly inlaid by the daughters of Jerusalem."
en,NIV,Song,Song,21,Song.3,Song 3,2,Song.3.11,Song 3:11,10,"Come out, you daughters of Zion, and look at King Solomon wearing the crown, the crown with which his mother crowned him on the day of his wedding, the day his heart rejoiced."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.1,Song 4:1,0,"How beautiful you are, my darling! Oh, how beautiful! Your eyes behind your veil are doves. Your hair is like a flock of goats descending from Mount Gilead."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.2,Song 4:2,1,"Your teeth are like a flock of sheep just shorn, coming up from the washing. Each has its twin; not one of them is alone."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.3,Song 4:3,2,Your lips are like a scarlet ribbon; your mouth is lovely. Your temples behind your veil are like the halves of a pomegranate.
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.4,Song 4:4,3,"Your neck is like the tower of David, built with elegance; on it hang a thousand shields, all of them shields of warriors."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.5,Song 4:5,4,"Your two breasts are like two fawns, like twin fawns of a gazelle that browse among the lilies."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.6,Song 4:6,5,"Until the day breaks and the shadows flee, I will go to the mountain of myrrh and to the hill of incense."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.7,Song 4:7,6,"All beautiful you are, my darling; there is no flaw in you."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.8,Song 4:8,7,"Come with me from Lebanon, my bride, come with me from Lebanon. Descend from the crest of Amana, from the top of Senir, the summit of Hermon, from the lions' dens and the mountain haunts of the leopards."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.9,Song 4:9,8,"You have stolen my heart, my sister, my bride; you have stolen my heart with one glance of your eyes, with one jewel of your necklace."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.10,Song 4:10,9,"How delightful is your love, my sister, my bride! How much more pleasing is your love than wine, and the fragrance of your perfume than any spice!"
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.11,Song 4:11,10,"Your lips drop sweetness as the honeycomb, my bride; milk and honey are under your tongue. The fragrance of your garments is like that of Lebanon."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.12,Song 4:12,11,"You are a garden locked up, my sister, my bride; you are a spring enclosed, a sealed fountain."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.13,Song 4:13,12,"Your plants are an orchard of pomegranates with choice fruits, with henna and nard,"
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.14,Song 4:14,13,"nard and saffron, calamus and cinnamon, with every kind of incense tree, with myrrh and aloes and all the finest spices."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.15,Song 4:15,14,"You are a garden fountain, a well of flowing water streaming down from Lebanon."
en,NIV,Song,Song,21,Song.4,Song 4,3,Song.4.16,Song 4:16,15,"Awake, north wind, and come, south wind! Blow on my garden, that its fragrance may spread abroad. Let my lover come into his garden and taste its choice fruits."
en,NIV,Song,Song,21,Song.5,Song 5,4,Song.5.1,Song 5:1,0,"I have come into my garden, my sister, my bride; I have gathered my myrrh with my spice. I have eaten my honeycomb and my honey; I have drunk my wine and my milk. Eat, O friends, and drink; drink your fill, O lovers."
en,NIV,Song,Song,21,Song.5,Song 5,4,Song.5.2,Song 5:2,1,"I slept but my heart was awake. Listen! My lover is knocking: ""Open to me, my sister, my darling, my dove, my flawless one. My head is drenched with dew, my hair with the dampness of the night."""
en,NIV,Song,Song,21,Song.5,Song 5,4,Song.5.3,Song 5:3,2,I have taken off my robe- must I put it on again? I have washed my feet- must I soil them again?
en,NIV,Song,Song,21,Song.5,Song 5,4,Song.5.4,Song 5:4,3,My lover thrust his hand through the latch-opening; my heart began to pound for him.
en,NIV,Song,Song,21,Song.5,Song 5,4,Song.5.5,Song 5:5,4,"I arose to open for my lover, and my hands dripped with myrrh, my fingers with flowing myrrh, on the handles of the lock."
en,NIV,Song,Song,21,Song.5,Song 5,4,Song.5.6,Song 5:6,5,"I opened for my lover, but my lover had left; he was gone. My heart sank at his departure. I looked for him but did not find him. I called him but he did not answer."
en,NIV,Song,Song,21,Song.5,Song 5,4,Song.5.7,Song 5:7,6,"The watchmen found me as they made their rounds in the city. They beat me, they bruised me; they took away my cloak, those watchmen of the walls!"
