languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.1,Jer 1:1,0,"The words of Jeremiah son of Hilkiah, one of the priests at Anathoth in the territory of Benjamin."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.2,Jer 1:2,1,"The word of the LORD came to him in the thirteenth year of the reign of Josiah son of Amon king of Judah,"
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.3,Jer 1:3,2,"and through the reign of Jehoiakim son of Josiah king of Judah, down to the fifth month of the eleventh year of Zedekiah son of Josiah king of Judah, when the people of Jerusalem went into exile."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.4,Jer 1:4,3,"The word of the LORD came to me, saying,"
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.5,Jer 1:5,4,"""Before I formed you in the womb I knew you, before you were born I set you apart; I appointed you as a prophet to the nations."""
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.6,Jer 1:6,5,"""Ah, Sovereign LORD,"" I said, ""I do not know how to speak; I am only a child."""
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.7,Jer 1:7,6,"But the LORD said to me, ""Do not say, 'I am only a child.' You must go to everyone I send you to and say whatever I command you."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.8,Jer 1:8,7,"Do not be afraid of them, for I am with you and will rescue you,"" declares the LORD."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.9,Jer 1:9,8,"Then the LORD reached out his hand and touched my mouth and said to me, ""Now, I have put my words in your mouth."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.10,Jer 1:10,9,"See, today I appoint you over nations and kingdoms to uproot and tear down, to destroy and overthrow, to build and to plant."""
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.11,Jer 1:11,10,"The word of the LORD came to me: ""What do you see, Jeremiah?I see the branch of an almond tree,"" I replied."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.12,Jer 1:12,11,"The LORD said to me, ""You have seen correctly, for I am watching to see that my word is fulfilled."""
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.13,Jer 1:13,12,"The word of the LORD came to me again: ""What do you see?I see a boiling pot, tilting away from the north,"" I answered."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.14,Jer 1:14,13,"The LORD said to me, ""From the north disaster will be poured out on all who live in the land."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.15,Jer 1:15,14,"I am about to summon all the peoples of the northern kingdoms,"" declares the LORD. ""Their kings will come and set up their thrones in the entrance of the gates of Jerusalem; they will come against all her surrounding walls and against all the towns of Judah."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.16,Jer 1:16,15,"I will pronounce my judgments on my people because of their wickedness in forsaking me, in burning incense to other gods and in worshiping what their hands have made."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.17,Jer 1:17,16,"""Get yourself ready! Stand up and say to them whatever I command you. Do not be terrified by them, or I will terrify you before them."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.18,Jer 1:18,17,"Today I have made you a fortified city, an iron pillar and a bronze wall to stand against the whole land-against the kings of Judah, its officials, its priests and the people of the land."
en,NIV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.19,Jer 1:19,18,"They will fight against you but will not overcome you, for I am with you and will rescue you,"" declares the LORD."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.1,Jer 2:1,0,The word of the LORD came to me:
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.2,Jer 2:2,1,"""Go and proclaim in the hearing of Jerusalem: ""'I remember the devotion of your youth, how as a bride you loved me and followed me through the desert, through a land not sown."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.3,Jer 2:3,2,"Israel was holy to the LORD, the firstfruits of his harvest; all who devoured her were held guilty, and disaster overtook them,'"" declares the LORD."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.4,Jer 2:4,3,"Hear the word of the LORD, O house of Jacob, all you clans of the house of Israel."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.5,Jer 2:5,4,"This is what the LORD says: ""What fault did your fathers find in me, that they strayed so far from me? They followed worthless idols and became worthless themselves."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.6,Jer 2:6,5,"They did not ask, 'Where is the LORD, who brought us up out of Egypt and led us through the barren wilderness, through a land of deserts and rifts, a land of drought and darkness, a land where no one travels and no one lives?'"
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.7,Jer 2:7,6,I brought you into a fertile land to eat its fruit and rich produce. But you came and defiled my land and made my inheritance detestable.
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.8,Jer 2:8,7,"The priests did not ask, 'Where is the LORD?' Those who deal with the law did not know me; the leaders rebelled against me. The prophets prophesied by Baal, following worthless idols."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.9,Jer 2:9,8,"""Therefore I bring charges against you again,"" declares the LORD. ""And I will bring charges against your children's children."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.10,Jer 2:10,9,"Cross over to the coasts of Kittim and look, send to Kedar and observe closely; see if there has ever been anything like this:"
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.11,Jer 2:11,10,Has a nation ever changed its gods? (Yet they are not gods at all.) But my people have exchanged their Glory for worthless idols.
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.12,Jer 2:12,11,"Be appalled at this, O heavens, and shudder with great horror,"" declares the LORD."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.13,Jer 2:13,12,"""My people have committed two sins: They have forsaken me, the spring of living water, and have dug their own cisterns, broken cisterns that cannot hold water."
en,NIV,Jer,Jer,23,Jer.2,Jer 2,1,Jer.2.14,Jer 2:14,13,"Is Israel a servant, a slave by birth? Why then has he become plunder?"
