languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.1,Lam 1:1,0,"How deserted lies the city, once so full of people! How like a widow is she, who once was great among the nations! She who was queen among the provinces has now become a slave."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.2,Lam 1:2,1,"Bitterly she weeps at night, tears are upon her cheeks. Among all her lovers there is none to comfort her. All her friends have betrayed her; they have become her enemies."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.3,Lam 1:3,2,"After affliction and harsh labor, Judah has gone into exile. She dwells among the nations; she finds no resting place. All who pursue her have overtaken her in the midst of her distress."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.4,Lam 1:4,3,"The roads to Zion mourn, for no one comes to her appointed feasts. All her gateways are desolate, her priests groan, her maidens grieve, and she is in bitter anguish."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.5,Lam 1:5,4,"Her foes have become her masters; her enemies are at ease. The LORD has brought her grief because of her many sins. Her children have gone into exile, captive before the foe."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.6,Lam 1:6,5,All the splendor has departed from the Daughter of Zion. Her princes are like deer that find no pasture; in weakness they have fled before the pursuer.
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.7,Lam 1:7,6,"In the days of her affliction and wandering Jerusalem remembers all the treasures that were hers in days of old. When her people fell into enemy hands, there was no one to help her. Her enemies looked at her and laughed at her destruction."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.8,Lam 1:8,7,"Jerusalem has sinned greatly and so has become unclean. All who honored her despise her, for they have seen her nakedness; she herself groans and turns away."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.9,Lam 1:9,8,"Her filthiness clung to her skirts; she did not consider her future. Her fall was astounding; there was none to comfort her. ""Look, O LORD, on my affliction, for the enemy has triumphed."""
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.10,Lam 1:10,9,The enemy laid hands on all her treasures; she saw pagan nations enter her sanctuary- those you had forbidden to enter your assembly.
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.11,Lam 1:11,10,"All her people groan as they search for bread; they barter their treasures for food to keep themselves alive. ""Look, O LORD, and consider, for I am despised."""
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.12,Lam 1:12,11,"""Is it nothing to you, all you who pass by? Look around and see. Is any suffering like my suffering that was inflicted on me, that the LORD brought on me in the day of his fierce anger?"
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.13,Lam 1:13,12,"""From on high he sent fire, sent it down into my bones. He spread a net for my feet and turned me back. He made me desolate, faint all the day long."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.14,Lam 1:14,13,"""My sins have been bound into a yoke; by his hands they were woven together. They have come upon my neck and the Lord has sapped my strength. He has handed me over to those I cannot withstand."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.15,Lam 1:15,14,"""The Lord has rejected all the warriors in my midst; he has summoned an army against me to crush my young men. In his winepress the Lord has trampled the Virgin Daughter of Judah."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.16,Lam 1:16,15,"""This is why I weep and my eyes overflow with tears. No one is near to comfort me, no one to restore my spirit. My children are destitute because the enemy has prevailed."""
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.17,Lam 1:17,16,"Zion stretches out her hands, but there is no one to comfort her. The LORD has decreed for Jacob that his neighbors become his foes; Jerusalem has become an unclean thing among them."
en,NIV,Lam,Lam,24,Lam.1,Lam 1,0,Lam.1.18,Lam 1:18,17,"""The LORD is righteous, yet I rebelled against his command. Listen, all you peoples; look upon my suffering. My young men and maidens have gone into exile."
