languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.1,Ezek 1:1,0,"In the thirtieth year, in the fourth month on the fifth day, while I was among the exiles by the Kebar River, the heavens were opened and I saw visions of God."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.2,Ezek 1:2,1,On the fifth of the month-it was the fifth year of the exile of King Jehoiachin-
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.3,Ezek 1:3,2,"the word of the LORD came to Ezekiel the priest, the son of Buzi, by the Kebar River in the land of the Babylonians. There the hand of the LORD was upon him."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.4,Ezek 1:4,3,"I looked, and I saw a windstorm coming out of the north-an immense cloud with flashing lightning and surrounded by brilliant light. The center of the fire looked like glowing metal,"
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.5,Ezek 1:5,4,"and in the fire was what looked like four living creatures. In appearance their form was that of a man,"
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.6,Ezek 1:6,5,but each of them had four faces and four wings.
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.7,Ezek 1:7,6,Their legs were straight; their feet were like those of a calf and gleamed like burnished bronze.
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.8,Ezek 1:8,7,"Under their wings on their four sides they had the hands of a man. All four of them had faces and wings,"
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.9,Ezek 1:9,8,and their wings touched one another. Each one went straight ahead; they did not turn as they moved.
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.10,Ezek 1:10,9,"Their faces looked like this: Each of the four had the face of a man, and on the right side each had the face of a lion, and on the left the face of an ox; each also had the face of an eagle."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.11,Ezek 1:11,10,"Such were their faces. Their wings were spread out upward; each had two wings, one touching the wing of another creature on either side, and two wings covering its body."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.12,Ezek 1:12,11,"Each one went straight ahead. Wherever the spirit would go, they would go, without turning as they went."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.13,Ezek 1:13,12,"The appearance of the living creatures was like burning coals of fire or like torches. Fire moved back and forth among the creatures; it was bright, and lightning flashed out of it."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.14,Ezek 1:14,13,The creatures sped back and forth like flashes of lightning.
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.15,Ezek 1:15,14,"As I looked at the living creatures, I saw a wheel on the ground beside each creature with its four faces."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.16,Ezek 1:16,15,"This was the appearance and structure of the wheels: They sparkled like chrysolite, and all four looked alike. Each appeared to be made like a wheel intersecting a wheel."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.17,Ezek 1:17,16,"As they moved, they would go in any one of the four directions the creatures faced; the wheels did not turn about as the creatures went."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.18,Ezek 1:18,17,"Their rims were high and awesome, and all four rims were full of eyes all around."
en,NIV,Ezek,Ezek,25,Ezek.1,Ezek 1,0,Ezek.1.19,Ezek 1:19,18,"When the living creatures moved, the wheels beside them moved; and when the living creatures rose from the ground, the wheels also rose."
