languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.1,Dan 1:1,0,"In the third year of the reign of Jehoiakim king of Judah, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.2,Dan 1:2,1,"And the Lord delivered Jehoiakim king of Judah into his hand, along with some of the articles from the temple of God. These he carried off to the temple of his god in Babylonia and put in the treasure house of his god."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.3,Dan 1:3,2,"Then the king ordered Ashpenaz, chief of his court officials, to bring in some of the Israelites from the royal family and the nobility-"
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.4,Dan 1:4,3,"young men without any physical defect, handsome, showing aptitude for every kind of learning, well informed, quick to understand, and qualified to serve in the king's palace. He was to teach them the language and literature of the Babylonians."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.5,Dan 1:5,4,"The king assigned them a daily amount of food and wine from the king's table. They were to be trained for three years, and after that they were to enter the king's service."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.6,Dan 1:6,5,"Among these were some from Judah: Daniel, Hananiah, Mishael and Azariah."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.7,Dan 1:7,6,"The chief official gave them new names: to Daniel, the name Belteshazzar; to Hananiah, Shadrach; to Mishael, Meshach; and to Azariah, Abednego."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.8,Dan 1:8,7,"But Daniel resolved not to defile himself with the royal food and wine, and he asked the chief official for permission not to defile himself this way."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.9,Dan 1:9,8,"Now God had caused the official to show favor and sympathy to Daniel,"
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.10,Dan 1:10,9,"but the official told Daniel, ""I am afraid of my lord the king, who has assigned your food and drink. Why should he see you looking worse than the other young men your age? The king would then have my head because of you."""
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.11,Dan 1:11,10,"Daniel then said to the guard whom the chief official had appointed over Daniel, Hananiah, Mishael and Azariah,"
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.12,Dan 1:12,11,"""Please test your servants for ten days: Give us nothing but vegetables to eat and water to drink."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.13,Dan 1:13,12,"Then compare our appearance with that of the young men who eat the royal food, and treat your servants in accordance with what you see."""
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.14,Dan 1:14,13,So he agreed to this and tested them for ten days.
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.15,Dan 1:15,14,At the end of the ten days they looked healthier and better nourished than any of the young men who ate the royal food.
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.16,Dan 1:16,15,So the guard took away their choice food and the wine they were to drink and gave them vegetables instead.
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.17,Dan 1:17,16,To these four young men God gave knowledge and understanding of all kinds of literature and learning. And Daniel could understand visions and dreams of all kinds.
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.18,Dan 1:18,17,"At the end of the time set by the king to bring them in, the chief official presented them to Nebuchadnezzar."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.19,Dan 1:19,18,"The king talked with them, and he found none equal to Daniel, Hananiah, Mishael and Azariah; so they entered the king's service."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.20,Dan 1:20,19,"In every matter of wisdom and understanding about which the king questioned them, he found them ten times better than all the magicians and enchanters in his whole kingdom."
en,NIV,Dan,Dan,26,Dan.1,Dan 1,0,Dan.1.21,Dan 1:21,20,And Daniel remained there until the first year of King Cyrus.
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.1,Dan 2:1,0,"In the second year of his reign, Nebuchadnezzar had dreams; his mind was troubled and he could not sleep."
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.2,Dan 2:2,1,"So the king summoned the magicians, enchanters, sorcerers and astrologers to tell him what he had dreamed. When they came in and stood before the king,"
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.3,Dan 2:3,2,"he said to them, ""I have had a dream that troubles me and I want to know what it means. """
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.4,Dan 2:4,3,"Then the astrologers answered the king in Aramaic, ""O king, live forever! Tell your servants the dream, and we will interpret it."""
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.5,Dan 2:5,4,"The king replied to the astrologers, ""This is what I have firmly decided: If you do not tell me what my dream was and interpret it, I will have you cut into pieces and your houses turned into piles of rubble."
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.6,Dan 2:6,5,"But if you tell me the dream and explain it, you will receive from me gifts and rewards and great honor. So tell me the dream and interpret it for me."""
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.7,Dan 2:7,6,"Once more they replied, ""Let the king tell his servants the dream, and we will interpret it."""
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.8,Dan 2:8,7,"Then the king answered, ""I am certain that you are trying to gain time, because you realize that this is what I have firmly decided:"
en,NIV,Dan,Dan,26,Dan.2,Dan 2,1,Dan.2.9,Dan 2:9,8,"If you do not tell me the dream, there is just one penalty for you. You have conspired to tell me misleading and wicked things, hoping the situation will change. So then, tell me the dream, and I will know that you can interpret it for me."""
