languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.1,Hos 1:1,0,"The word of the LORD that came to Hosea son of Beeri during the reigns of Uzziah, Jotham, Ahaz and Hezekiah, kings of Judah, and during the reign of Jeroboam son of Jehoash king of Israel:"
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.2,Hos 1:2,1,"When the LORD began to speak through Hosea, the LORD said to him, ""Go, take to yourself an adulterous wife and children of unfaithfulness, because the land is guilty of the vilest adultery in departing from the LORD."""
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.3,Hos 1:3,2,"So he married Gomer daughter of Diblaim, and she conceived and bore him a son."
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.4,Hos 1:4,3,"Then the LORD said to Hosea, ""Call him Jezreel, because I will soon punish the house of Jehu for the massacre at Jezreel, and I will put an end to the kingdom of Israel."
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.5,Hos 1:5,4,"In that day I will break Israel's bow in the Valley of Jezreel."""
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.6,Hos 1:6,5,"Gomer conceived again and gave birth to a daughter. Then the LORD said to Hosea, ""Call her Lo-Ruhamah, for I will no longer show love to the house of Israel, that I should at all forgive them."
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.7,Hos 1:7,6,"Yet I will show love to the house of Judah; and I will save them-not by bow, sword or battle, or by horses and horsemen, but by the LORD their God."""
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.8,Hos 1:8,7,"After she had weaned Lo-Ruhamah, Gomer had another son."
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.9,Hos 1:9,8,"Then the LORD said, ""Call him Lo-Ammi, for you are not my people, and I am not your God."
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.10,Hos 1:10,9,"""Yet the Israelites will be like the sand on the seashore, which cannot be measured or counted. In the place where it was said to them, 'You are not my people,' they will be called 'sons of the living God.'"
en,NIV,Hos,Hos,27,Hos.1,Hos 1,0,Hos.1.11,Hos 1:11,10,"The people of Judah and the people of Israel will be reunited, and they will appoint one leader and will come up out of the land, for great will be the day of Jezreel."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.1,Hos 2:1,0,"""Say of your brothers, 'My people,' and of your sisters, 'My loved one.'"
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.2,Hos 2:2,1,"""Rebuke your mother, rebuke her, for she is not my wife, and I am not her husband. Let her remove the adulterous look from her face and the unfaithfulness from between her breasts."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.3,Hos 2:3,2,"Otherwise I will strip her naked and make her as bare as on the day she was born; I will make her like a desert, turn her into a parched land, and slay her with thirst."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.4,Hos 2:4,3,"I will not show my love to her children, because they are the children of adultery."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.5,Hos 2:5,4,"Their mother has been unfaithful and has conceived them in disgrace. She said, 'I will go after my lovers, who give me my food and my water, my wool and my linen, my oil and my drink.'"
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.6,Hos 2:6,5,Therefore I will block her path with thornbushes; I will wall her in so that she cannot find her way.
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.7,Hos 2:7,6,"She will chase after her lovers but not catch them; she will look for them but not find them. Then she will say, 'I will go back to my husband as at first, for then I was better off than now.'"
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.8,Hos 2:8,7,"She has not acknowledged that I was the one who gave her the grain, the new wine and oil, who lavished on her the silver and gold- which they used for Baal."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.9,Hos 2:9,8,"""Therefore I will take away my grain when it ripens, and my new wine when it is ready. I will take back my wool and my linen, intended to cover her nakedness."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.10,Hos 2:10,9,So now I will expose her lewdness before the eyes of her lovers; no one will take her out of my hands.
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.11,Hos 2:11,10,"I will stop all her celebrations: her yearly festivals, her New Moons, her Sabbath days-all her appointed feasts."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.12,Hos 2:12,11,"I will ruin her vines and her fig trees, which she said were her pay from her lovers; I will make them a thicket, and wild animals will devour them."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.13,Hos 2:13,12,"I will punish her for the days she burned incense to the Baals; she decked herself with rings and jewelry, and went after her lovers, but me she forgot,"" declares the LORD."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.14,Hos 2:14,13,"""Therefore I am now going to allure her; I will lead her into the desert and speak tenderly to her."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.15,Hos 2:15,14,"There I will give her back her vineyards, and will make the Valley of Achor a door of hope. There she will sing as in the days of her youth, as in the day she came up out of Egypt."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.16,Hos 2:16,15,"""In that day,"" declares the LORD, ""you will call me 'my husband'; you will no longer call me 'my master. '"
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.17,Hos 2:17,16,I will remove the names of the Baals from her lips; no longer will their names be invoked.
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.18,Hos 2:18,17,"In that day I will make a covenant for them with the beasts of the field and the birds of the air and the creatures that move along the ground. Bow and sword and battle I will abolish from the land, so that all may lie down in safety."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.19,Hos 2:19,18,"I will betroth you to me forever; I will betroth you in righteousness and justice, in love and compassion."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.20,Hos 2:20,19,"I will betroth you in faithfulness, and you will acknowledge the LORD."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.21,Hos 2:21,20,"""In that day I will respond,"" declares the LORD - ""I will respond to the skies, and they will respond to the earth;"
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.22,Hos 2:22,21,"and the earth will respond to the grain, the new wine and oil, and they will respond to Jezreel."
en,NIV,Hos,Hos,27,Hos.2,Hos 2,1,Hos.2.23,Hos 2:23,22,"I will plant her for myself in the land; I will show my love to the one I called 'Not my loved one. 'I will say to those called 'Not my people, You are my people'; and they will say, 'You are my God.'"""
en,NIV,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.1,Hos 3:1,0,"The LORD said to me, ""Go, show your love to your wife again, though she is loved by another and is an adulteress. Love her as the LORD loves the Israelites, though they turn to other gods and love the sacred raisin cakes."""
en,NIV,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.2,Hos 3:2,1,So I bought her for fifteen shekels of silver and about a homer and a lethek of barley.
en,NIV,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.3,Hos 3:3,2,"Then I told her, ""You are to live with me many days; you must not be a prostitute or be intimate with any man, and I will live with you."""
en,NIV,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.4,Hos 3:4,3,"For the Israelites will live many days without king or prince, without sacrifice or sacred stones, without ephod or idol."
en,NIV,Hos,Hos,27,Hos.3,Hos 3,2,Hos.3.5,Hos 3:5,4,Afterward the Israelites will return and seek the LORD their God and David their king. They will come trembling to the LORD and to his blessings in the last days.
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.1,Hos 4:1,0,"Hear the word of the LORD, you Israelites, because the LORD has a charge to bring against you who live in the land: ""There is no faithfulness, no love, no acknowledgment of God in the land."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.2,Hos 4:2,1,"There is only cursing, lying and murder, stealing and adultery; they break all bounds, and bloodshed follows bloodshed."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.3,Hos 4:3,2,"Because of this the land mourns, and all who live in it waste away; the beasts of the field and the birds of the air and the fish of the sea are dying."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.4,Hos 4:4,3,"""But let no man bring a charge, let no man accuse another, for your people are like those who bring charges against a priest."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.5,Hos 4:5,4,"You stumble day and night, and the prophets stumble with you. So I will destroy your mother-"
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.6,Hos 4:6,5,"my people are destroyed from lack of knowledge. ""Because you have rejected knowledge, I also reject you as my priests; because you have ignored the law of your God, I also will ignore your children."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.7,Hos 4:7,6,"The more the priests increased, the more they sinned against me; they exchanged their Glory for something disgraceful."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.8,Hos 4:8,7,They feed on the sins of my people and relish their wickedness.
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.9,Hos 4:9,8,"And it will be: Like people, like priests. I will punish both of them for their ways and repay them for their deeds."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.10,Hos 4:10,9,"""They will eat but not have enough; they will engage in prostitution but not increase, because they have deserted the LORD to give themselves"
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.11,Hos 4:11,10,"to prostitution, to old wine and new, which take away the understanding"
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.12,Hos 4:12,11,of my people. They consult a wooden idol and are answered by a stick of wood. A spirit of prostitution leads them astray; they are unfaithful to their God.
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.13,Hos 4:13,12,"They sacrifice on the mountaintops and burn offerings on the hills, under oak, poplar and terebinth, where the shade is pleasant. Therefore your daughters turn to prostitution and your daughters-in-law to adultery."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.14,Hos 4:14,13,"""I will not punish your daughters when they turn to prostitution, nor your daughters-in-law when they commit adultery, because the men themselves consort with harlots and sacrifice with shrine prostitutes- a people without understanding will come to ruin!"
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.15,Hos 4:15,14,"""Though you commit adultery, O Israel, let not Judah become guilty. ""Do not go to Gilgal; do not go up to Beth Aven. And do not swear, 'As surely as the LORD lives!'"
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.16,Hos 4:16,15,"The Israelites are stubborn, like a stubborn heifer. How then can the LORD pasture them like lambs in a meadow?"
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.17,Hos 4:17,16,Ephraim is joined to idols; leave him alone!
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.18,Hos 4:18,17,"Even when their drinks are gone, they continue their prostitution; their rulers dearly love shameful ways."
en,NIV,Hos,Hos,27,Hos.4,Hos 4,3,Hos.4.19,Hos 4:19,18,"A whirlwind will sweep them away, and their sacrifices will bring them shame."
en,NIV,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.1,Hos 5:1,0,"""Hear this, you priests! Pay attention, you Israelites! Listen, O royal house! This judgment is against you: You have been a snare at Mizpah, a net spread out on Tabor."
en,NIV,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.2,Hos 5:2,1,The rebels are deep in slaughter. I will discipline all of them.
en,NIV,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.3,Hos 5:3,2,"I know all about Ephraim; Israel is not hidden from me. Ephraim, you have now turned to prostitution; Israel is corrupt."
en,NIV,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.4,Hos 5:4,3,"""Their deeds do not permit them to return to their God. A spirit of prostitution is in their heart; they do not acknowledge the LORD."
en,NIV,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.5,Hos 5:5,4,"Israel's arrogance testifies against them; the Israelites, even Ephraim, stumble in their sin; Judah also stumbles with them."
en,NIV,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.6,Hos 5:6,5,"When they go with their flocks and herds to seek the LORD, they will not find him; he has withdrawn himself from them."
en,NIV,Hos,Hos,27,Hos.5,Hos 5,4,Hos.5.7,Hos 5:7,6,They are unfaithful to the LORD; they give birth to illegitimate children. Now their New Moon festivals will devour them and their fields.
