languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.1,Joel 1:1,0,The word of the LORD that came to Joel son of Pethuel.
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.2,Joel 1:2,1,"Hear this, you elders; listen, all who live in the land. Has anything like this ever happened in your days or in the days of your forefathers?"
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.3,Joel 1:3,2,"Tell it to your children, and let your children tell it to their children, and their children to the next generation."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.4,Joel 1:4,3,What the locust swarm has left the great locusts have eaten; what the great locusts have left the young locusts have eaten; what the young locusts have left other locusts have eaten.
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.5,Joel 1:5,4,"Wake up, you drunkards, and weep! Wail, all you drinkers of wine; wail because of the new wine, for it has been snatched from your lips."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.6,Joel 1:6,5,"A nation has invaded my land, powerful and without number; it has the teeth of a lion, the fangs of a lioness."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.7,Joel 1:7,6,"It has laid waste my vines and ruined my fig trees. It has stripped off their bark and thrown it away, leaving their branches white."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.8,Joel 1:8,7,Mourn like a virgin in sackcloth grieving for the husband of her youth.
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.9,Joel 1:9,8,"Grain offerings and drink offerings are cut off from the house of the LORD. The priests are in mourning, those who minister before the LORD."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.10,Joel 1:10,9,"The fields are ruined, the ground is dried up; the grain is destroyed, the new wine is dried up, the oil fails."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.11,Joel 1:11,10,"Despair, you farmers, wail, you vine growers; grieve for the wheat and the barley, because the harvest of the field is destroyed."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.12,Joel 1:12,11,"The vine is dried up and the fig tree is withered; the pomegranate, the palm and the apple tree- all the trees of the field-are dried up. Surely the joy of mankind is withered away."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.13,Joel 1:13,12,"Put on sackcloth, O priests, and mourn; wail, you who minister before the altar. Come, spend the night in sackcloth, you who minister before my God; for the grain offerings and drink offerings are withheld from the house of your God."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.14,Joel 1:14,13,"Declare a holy fast; call a sacred assembly. Summon the elders and all who live in the land to the house of the LORD your God, and cry out to the LORD."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.15,Joel 1:15,14,Alas for that day! For the day of the LORD is near; it will come like destruction from the Almighty.
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.16,Joel 1:16,15,Has not the food been cut off before our very eyes- joy and gladness from the house of our God?
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.17,Joel 1:17,16,"The seeds are shriveled beneath the clods. The storehouses are in ruins, the granaries have been broken down, for the grain has dried up."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.18,Joel 1:18,17,How the cattle moan! The herds mill about because they have no pasture; even the flocks of sheep are suffering.
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.19,Joel 1:19,18,"To you, O LORD, I call, for fire has devoured the open pastures and flames have burned up all the trees of the field."
en,NIV,Joel,Joel,28,Joel.1,Joel 1,0,Joel.1.20,Joel 1:20,19,Even the wild animals pant for you; the streams of water have dried up and fire has devoured the open pastures.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.1,Joel 2:1,0,"Blow the trumpet in Zion; sound the alarm on my holy hill. Let all who live in the land tremble, for the day of the LORD is coming. It is close at hand-"
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.2,Joel 2:2,1,"a day of darkness and gloom, a day of clouds and blackness. Like dawn spreading across the mountains a large and mighty army comes, such as never was of old nor ever will be in ages to come."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.3,Joel 2:3,2,"Before them fire devours, behind them a flame blazes. Before them the land is like the garden of Eden, behind them, a desert waste- nothing escapes them."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.4,Joel 2:4,3,They have the appearance of horses; they gallop along like cavalry.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.5,Joel 2:5,4,"With a noise like that of chariots they leap over the mountaintops, like a crackling fire consuming stubble, like a mighty army drawn up for battle."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.6,Joel 2:6,5,"At the sight of them, nations are in anguish; every face turns pale."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.7,Joel 2:7,6,"They charge like warriors; they scale walls like soldiers. They all march in line, not swerving from their course."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.8,Joel 2:8,7,They do not jostle each other; each marches straight ahead. They plunge through defenses without breaking ranks.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.9,Joel 2:9,8,They rush upon the city; they run along the wall. They climb into the houses; like thieves they enter through the windows.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.10,Joel 2:10,9,"Before them the earth shakes, the sky trembles, the sun and moon are darkened, and the stars no longer shine."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.11,Joel 2:11,10,"The LORD thunders at the head of his army; his forces are beyond number, and mighty are those who obey his command. The day of the LORD is great; it is dreadful. Who can endure it?"
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.12,Joel 2:12,11,"""Even now,"" declares the LORD, ""return to me with all your heart, with fasting and weeping and mourning."""
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.13,Joel 2:13,12,"Rend your heart and not your garments. Return to the LORD your God, for he is gracious and compassionate, slow to anger and abounding in love, and he relents from sending calamity."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.14,Joel 2:14,13,Who knows? He may turn and have pity and leave behind a blessing- grain offerings and drink offerings for the LORD your God.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.15,Joel 2:15,14,"Blow the trumpet in Zion, declare a holy fast, call a sacred assembly."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.16,Joel 2:16,15,"Gather the people, consecrate the assembly; bring together the elders, gather the children, those nursing at the breast. Let the bridegroom leave his room and the bride her chamber."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.17,Joel 2:17,16,"Let the priests, who minister before the LORD, weep between the temple porch and the altar. Let them say, ""Spare your people, O LORD. Do not make your inheritance an object of scorn, a byword among the nations. Why should they say among the peoples, 'Where is their God?'"""
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.18,Joel 2:18,17,Then the LORD will be jealous for his land and take pity on his people.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.19,Joel 2:19,18,"The LORD will reply to them: ""I am sending you grain, new wine and oil, enough to satisfy you fully; never again will I make you an object of scorn to the nations."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.20,Joel 2:20,19,"""I will drive the northern army far from you, pushing it into a parched and barren land, with its front columns going into the eastern sea and those in the rear into the western sea. And its stench will go up; its smell will rise."" Surely he has done great things."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.21,Joel 2:21,20,"Be not afraid, O land; be glad and rejoice. Surely the LORD has done great things."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.22,Joel 2:22,21,"Be not afraid, O wild animals, for the open pastures are becoming green. The trees are bearing their fruit; the fig tree and the vine yield their riches."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.23,Joel 2:23,22,"Be glad, O people of Zion, rejoice in the LORD your God, for he has given you the autumn rains in righteousness. He sends you abundant showers, both autumn and spring rains, as before."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.24,Joel 2:24,23,The threshing floors will be filled with grain; the vats will overflow with new wine and oil.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.25,Joel 2:25,24,"""I will repay you for the years the locusts have eaten- the great locust and the young locust, the other locusts and the locust swarm - my great army that I sent among you."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.26,Joel 2:26,25,"You will have plenty to eat, until you are full, and you will praise the name of the LORD your God, who has worked wonders for you; never again will my people be shamed."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.27,Joel 2:27,26,"Then you will know that I am in Israel, that I am the LORD your God, and that there is no other; never again will my people be shamed."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.28,Joel 2:28,27,"""And afterward, I will pour out my Spirit on all people. Your sons and daughters will prophesy, your old men will dream dreams, your young men will see visions."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.29,Joel 2:29,28,"Even on my servants, both men and women, I will pour out my Spirit in those days."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.30,Joel 2:30,29,"I will show wonders in the heavens and on the earth, blood and fire and billows of smoke."
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.31,Joel 2:31,30,The sun will be turned to darkness and the moon to blood before the coming of the great and dreadful day of the LORD.
en,NIV,Joel,Joel,28,Joel.2,Joel 2,1,Joel.2.32,Joel 2:32,31,"And everyone who calls on the name of the LORD will be saved; for on Mount Zion and in Jerusalem there will be deliverance, as the LORD has said, among the survivors whom the LORD calls."
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.1,Joel 3:1,0,"""In those days and at that time, when I restore the fortunes of Judah and Jerusalem,"
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.2,Joel 3:2,1,"I will gather all nations and bring them down to the Valley of Jehoshaphat. There I will enter into judgment against them concerning my inheritance, my people Israel, for they scattered my people among the nations and divided up my land."
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.3,Joel 3:3,2,They cast lots for my people and traded boys for prostitutes; they sold girls for wine that they might drink.
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.4,Joel 3:4,3,"""Now what have you against me, O Tyre and Sidon and all you regions of Philistia? Are you repaying me for something I have done? If you are paying me back, I will swiftly and speedily return on your own heads what you have done."
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.5,Joel 3:5,4,For you took my silver and my gold and carried off my finest treasures to your temples.
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.6,Joel 3:6,5,"You sold the people of Judah and Jerusalem to the Greeks, that you might send them far from their homeland."
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.7,Joel 3:7,6,"""See, I am going to rouse them out of the places to which you sold them, and I will return on your own heads what you have done."
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.8,Joel 3:8,7,"I will sell your sons and daughters to the people of Judah, and they will sell them to the Sabeans, a nation far away."" The LORD has spoken."
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.9,Joel 3:9,8,Proclaim this among the nations: Prepare for war! Rouse the warriors! Let all the fighting men draw near and attack.
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.10,Joel 3:10,9,"Beat your plowshares into swords and your pruning hooks into spears. Let the weakling say, ""I am strong!"""
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.11,Joel 3:11,10,"Come quickly, all you nations from every side, and assemble there. Bring down your warriors, O LORD!"
en,NIV,Joel,Joel,28,Joel.3,Joel 3,2,Joel.3.12,Joel 3:12,11,"""Let the nations be roused; let them advance into the Valley of Jehoshaphat, for there I will sit to judge all the nations on every side."
