languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.1,Amos 1:1,0,"The words of Amos, one of the shepherds of Tekoa-what he saw concerning Israel two years before the earthquake, when Uzziah was king of Judah and Jeroboam son of Jehoash was king of Israel."
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.2,Amos 1:2,1,"He said: ""The LORD roars from Zion and thunders from Jerusalem; the pastures of the shepherds dry up, and the top of Carmel withers."""
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.3,Amos 1:3,2,"This is what the LORD says: ""For three sins of Damascus, even for four, I will not turn back my wrath. Because she threshed Gilead with sledges having iron teeth,"
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.4,Amos 1:4,3,I will send fire upon the house of Hazael that will consume the fortresses of Ben-Hadad.
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.5,Amos 1:5,4,"I will break down the gate of Damascus; I will destroy the king who is in the Valley of Aven and the one who holds the scepter in Beth Eden. The people of Aram will go into exile to Kir,"" says the LORD."
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.6,Amos 1:6,5,"This is what the LORD says: ""For three sins of Gaza, even for four, I will not turn back my wrath. Because she took captive whole communities and sold them to Edom,"
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.7,Amos 1:7,6,I will send fire upon the walls of Gaza that will consume her fortresses.
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.8,Amos 1:8,7,"I will destroy the king of Ashdod and the one who holds the scepter in Ashkelon. I will turn my hand against Ekron, till the last of the Philistines is dead,"" says the Sovereign LORD."
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.9,Amos 1:9,8,"This is what the LORD says: ""For three sins of Tyre, even for four, I will not turn back my wrath. Because she sold whole communities of captives to Edom, disregarding a treaty of brotherhood,"
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.10,Amos 1:10,9,"I will send fire upon the walls of Tyre that will consume her fortresses."""
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.11,Amos 1:11,10,"This is what the LORD says: ""For three sins of Edom, even for four, I will not turn back my wrath. Because he pursued his brother with a sword, stifling all compassion, because his anger raged continually and his fury flamed unchecked,"
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.12,Amos 1:12,11,"I will send fire upon Teman that will consume the fortresses of Bozrah."""
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.13,Amos 1:13,12,"This is what the LORD says: ""For three sins of Ammon, even for four, I will not turn back {my wrath}. Because he ripped open the pregnant women of Gilead in order to extend his borders,"
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.14,Amos 1:14,13,"I will set fire to the walls of Rabbah that will consume her fortresses amid war cries on the day of battle, amid violent winds on a stormy day."
en,NIV,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.15,Amos 1:15,14,"Her king will go into exile, he and his officials together,"" says the LORD."
en,NIV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.1,Amos 2:1,0,"This is what the LORD says: ""For three sins of Moab, even for four, I will not turn back {my wrath}. Because he burned, as if to lime, the bones of Edom's king,"
en,NIV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.2,Amos 2:2,1,I will send fire upon Moab that will consume the fortresses of Kerioth. Moab will go down in great tumult amid war cries and the blast of the trumpet.
en,NIV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.3,Amos 2:3,2,"I will destroy her ruler and kill all her officials with him,"" says the LORD."
en,NIV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.4,Amos 2:4,3,"This is what the LORD says: ""For three sins of Judah, even for four, I will not turn back {my wrath}. Because they have rejected the law of the LORD and have not kept his decrees, because they have been led astray by false gods, the gods their ancestors followed,"
en,NIV,Amos,Amos,29,Amos.2,Amos 2,1,Amos.2.5,Amos 2:5,4,"I will send fire upon Judah that will consume the fortresses of Jerusalem."""
